Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Hypertension,Mexican American,RIAGENDR,0.01804375802056438,0.018043758020564377,19
Has_Hypertension,Mexican American,INDFMPIR,0.08964155872149687,0.08964155872149686,4
Has_Hypertension,Mexican American,BMXBMI,0.09679121824572377,0.09679121824572375,3
Has_Hypertension,Mexican American,PAD680,0.13393690811331893,0.1339369081133189,1
Has_Hypertension,Mexican American,PAD800,0.07439591566148417,0.07439591566148415,6
Has_Hypertension,Mexican American,DR1TKCAL,0.018095357002527308,0.018095357002527304,18
Has_Hypertension,Mexican American,DR1TSODI,0.020844829579372132,0.02084482957937213,15
Has_Hypertension,Mexican American,DR1TCARB,0.023677583975144433,0.023677583975144426,12
Has_Hypertension,Mexican American,DR1TTFAT,0.02163990366762233,0.021639903667622327,14
Has_Hypertension,Mexican American,DR1TSFAT,0.020494549505373705,0.020494549505373702,16
Has_Hypertension,Mexican American,DR1TSUGR,0.02893096131814174,0.028930961318141733,11
Has_Hypertension,Mexican American,DR1TFIBE,0.02316733993515971,0.023167339935159705,13
Has_Hypertension,Mexican American,DR1TPROT,0.019624726221013133,0.01962472622101313,17
Has_Hypertension,Mexican American,SMQ020,0.030247795199393444,0.030247795199393437,9
Has_Hypertension,Mexican American,SMQ040,0.009309363542670604,0.009309363542670602,22
Has_Hypertension,Mexican American,ALQ121,0.016088121314049533,0.01608812131404953,20
Has_Hypertension,Mexican American,ALQ130,0.013321560388774223,0.013321560388774219,21
Has_Hypertension,Mexican American,LBXGH,0.08691673417117536,0.08691673417117535,5
Has_Hypertension,Mexican American,LBXTC,0.03488746472736565,0.03488746472736564,8
Has_Hypertension,Mexican American,LBDHDD,0.030127982592744067,0.03012798259274406,10
Has_Hypertension,Mexican American,BPXOSY1,0.11823646366643732,0.1182364636664373,2
Has_Hypertension,Mexican American,BPXODI1,0.0715799044304473,0.07157990443044729,7
Has_Hypertension,Non-Hispanic Asian,RIAGENDR,0.017105769109964315,0.017105769109964315,19
Has_Hypertension,Non-Hispanic Asian,INDFMPIR,0.06661302734837742,0.06661302734837742,6
Has_Hypertension,Non-Hispanic Asian,BMXBMI,0.09095427481829443,0.09095427481829443,4
Has_Hypertension,Non-Hispanic Asian,PAD680,0.12850243677541173,0.12850243677541173,2
Has_Hypertension,Non-Hispanic Asian,PAD800,0.055325423374142695,0.055325423374142695,7
Has_Hypertension,Non-Hispanic Asian,DR1TKCAL,0.020343465421066024,0.020343465421066024,15
Has_Hypertension,Non-Hispanic Asian,DR1TSODI,0.017820773903024157,0.017820773903024157,17
Has_Hypertension,Non-Hispanic Asian,DR1TCARB,0.02307884406283609,0.02307884406283609,10
Has_Hypertension,Non-Hispanic Asian,DR1TTFAT,0.016923727886139352,0.016923727886139352,20
Has_Hypertension,Non-Hispanic Asian,DR1TSFAT,0.022817309878710727,0.022817309878710727,12
Has_Hypertension,Non-Hispanic Asian,DR1TSUGR,0.022766558323280003,0.022766558323280003,13
Has_Hypertension,Non-Hispanic Asian,DR1TFIBE,0.01913968270932418,0.01913968270932418,16
Has_Hypertension,Non-Hispanic Asian,DR1TPROT,0.020886094656538727,0.020886094656538727,14
Has_Hypertension,Non-Hispanic Asian,SMQ020,0.022952863250561784,0.022952863250561784,11
Has_Hypertension,Non-Hispanic Asian,SMQ040,0.007086437098894277,0.007086437098894277,21
Has_Hypertension,Non-Hispanic Asian,ALQ121,0.01738520772844973,0.01738520772844973,18
Has_Hypertension,Non-Hispanic Asian,ALQ130,0.006656365707630555,0.006656365707630555,22
Has_Hypertension,Non-Hispanic Asian,LBXGH,0.09532218076601331,0.09532218076601331,3
Has_Hypertension,Non-Hispanic Asian,LBXTC,0.04839026248916756,0.04839026248916756,8
Has_Hypertension,Non-Hispanic Asian,LBDHDD,0.03734613438373984,0.03734613438373984,9
Has_Hypertension,Non-Hispanic Asian,BPXOSY1,0.1723933412704006,0.1723933412704006,1
Has_Hypertension,Non-Hispanic Asian,BPXODI1,0.07018981903803263,0.07018981903803263,5
Has_Hypertension,Non-Hispanic Black,RIAGENDR,0.017901835250980238,0.017901835250980238,21
Has_Hypertension,Non-Hispanic Black,INDFMPIR,0.08848511731228059,0.08848511731228059,3
Has_Hypertension,Non-Hispanic Black,BMXBMI,0.07850889837472665,0.07850889837472665,5
Has_Hypertension,Non-Hispanic Black,PAD680,0.14809264274070247,0.14809264274070247,1
Has_Hypertension,Non-Hispanic Black,PAD800,0.07601075378534353,0.07601075378534353,6
Has_Hypertension,Non-Hispanic Black,DR1TKCAL,0.019763819921790108,0.019763819921790108,18
Has_Hypertension,Non-Hispanic Black,DR1TSODI,0.020267416242638746,0.020267416242638746,17
Has_Hypertension,Non-Hispanic Black,DR1TCARB,0.0222698047681124,0.0222698047681124,14
Has_Hypertension,Non-Hispanic Black,DR1TTFAT,0.019045670968147698,0.019045670968147698,20
Has_Hypertension,Non-Hispanic Black,DR1TSFAT,0.019365342975945058,0.019365342975945058,19
Has_Hypertension,Non-Hispanic Black,DR1TSUGR,0.021961757668388704,0.021961757668388704,15
Has_Hypertension,Non-Hispanic Black,DR1TFIBE,0.0207552726723327,0.0207552726723327,16
