Feature,Importance,Importance_Normalized,Rank,Target
LBXGH,0.2940319435334494,0.29403194353344936,1,Has_Diabetes
PAD680,0.1020574635027742,0.10205746350277417,2,Has_Diabetes
BMXBMI,0.07617757405891006,0.07617757405891004,3,Has_Diabetes
INDFMPIR,0.0756724664144915,0.07567246641449149,4,Has_Diabetes
BPXOSY1,0.047989487911839115,0.0479894879118391,5,Has_Diabetes
PAD800,0.04775657352406885,0.047756573524068834,6,Has_Diabetes
LBXTC,0.039804366696981654,0.03980436669698165,7,Has_Diabetes
SMQ020,0.03515868054699504,0.03515868054699503,8,Has_Diabetes
LBDHDD,0.03404780098237652,0.03404780098237651,9,Has_Diabetes
RIDRETH3,0.033857775825448286,0.03385777582544828,10,Has_Diabetes
BPXODI1,0.027780603940283755,0.027780603940283748,11,Has_Diabetes
DR1TSUGR,0.021303258891754207,0.021303258891754204,12,Has_Diabetes
DR1TCARB,0.018976802425137107,0.018976802425137104,13,Has_Diabetes
DR1TPROT,0.017551295645799905,0.0175512956457999,14,Has_Diabetes
DR1TFIBE,0.017051009765266738,0.017051009765266734,15,Has_Diabetes
DR1TSFAT,0.016957337420086833,0.01695733742008683,16,Has_Diabetes
ALQ121,0.016903688469192782,0.01690368846919278,17,Has_Diabetes
DR1TTFAT,0.016327643353251854,0.01632764335325185,18,Has_Diabetes
DR1TSODI,0.01610086532187319,0.016100865321873187,19,Has_Diabetes
DR1TKCAL,0.015756757353968767,0.015756757353968764,20,Has_Diabetes
RIAGENDR,0.012477674489174055,0.012477674489174051,21,Has_Diabetes
SMQ040,0.00895748312886057,0.008957483128860569,22,Has_Diabetes
ALQ130,0.0073014467980158215,0.00730144679801582,23,Has_Diabetes
PAD680,0.1185961726252087,0.1185961726252087,1,Has_Hypertension
BPXOSY1,0.10949413261634013,0.10949413261634013,2,Has_Hypertension
LBXGH,0.08949137026603153,0.08949137026603153,3,Has_Hypertension
BMXBMI,0.08474876238380935,0.08474876238380935,4,Has_Hypertension
INDFMPIR,0.0846756775141149,0.0846756775141149,5,Has_Hypertension
PAD800,0.06326694070395071,0.06326694070395071,6,Has_Hypertension
SMQ020,0.04921470552660562,0.04921470552660562,7,Has_Hypertension
BPXODI1,0.04611774512033443,0.04611774512033443,8,Has_Hypertension
LBXTC,0.03734851138619081,0.03734851138619081,9,Has_Hypertension
RIDRETH3,0.034378787376631484,0.034378787376631484,10,Has_Hypertension
LBDHDD,0.030858865626073817,0.030858865626073817,11,Has_Hypertension
ALQ121,0.026886937921543765,0.026886937921543765,12,Has_Hypertension
DR1TSUGR,0.024514296076488647,0.024514296076488647,13,Has_Hypertension
DR1TFIBE,0.02447364048638705,0.02447364048638705,14,Has_Hypertension
DR1TPROT,0.02386683268390565,0.02386683268390565,15,Has_Hypertension
DR1TSODI,0.02384548926865804,0.02384548926865804,16,Has_Hypertension
DR1TCARB,0.02383080807889107,0.02383080807889107,17,Has_Hypertension
DR1TSFAT,0.023325863968336243,0.023325863968336243,18,Has_Hypertension
DR1TTFAT,0.023123541101051085,0.023123541101051085,19,Has_Hypertension
DR1TKCAL,0.0221687328840565,0.0221687328840565,20,Has_Hypertension
ALQ130,0.013252400686916412,0.013252400686916412,21,Has_Hypertension
RIAGENDR,0.013120316383032652,0.013120316383032652,22,Has_Hypertension
SMQ040,0.009399469315441515,0.009399469315441515,23,Has_Hypertension
