Feature,Importance,Importance_Normalized,Rank,Target
LBXGH,0.2552311754049255,0.25523117540492546,1,Has_Diabetes
RIDAGEYR,0.20836431028415311,0.20836431028415306,2,Has_Diabetes
PAD680,0.06053420423782753,0.060534204237827516,3,Has_Diabetes
BMXBMI,0.059190822323395044,0.05919082232339503,4,Has_Diabetes
INDFMPIR,0.04822317703954154,0.04822317703954153,5,Has_Diabetes
LBXTC,0.03888078586515623,0.038880785865156225,6,Has_Diabetes
BPXOSY1,0.03356957933234178,0.033569579332341774,7,Has_Diabetes
PAD800,0.032013609071571435,0.03201360907157143,8,Has_Diabetes
LBDHDD,0.031968568566384775,0.03196856856638477,9,Has_Diabetes
BPXODI1,0.024667285847961063,0.024667285847961056,10,Has_Diabetes
RIDRETH3,0.02338835996115407,0.023388359961154067,11,Has_Diabetes
SMQ020,0.02326355624767928,0.023263556247679278,12,Has_Diabetes
DR1TSUGR,0.018431035688601754,0.01843103568860175,13,Has_Diabetes
DR1TCARB,0.016219989909252355,0.01621998990925235,14,Has_Diabetes
DR1TFIBE,0.015940427545939113,0.01594042754593911,15,Has_Diabetes
DR1TSFAT,0.015633245294826632,0.01563324529482663,16,Has_Diabetes
DR1TPROT,0.015517362948304579,0.015517362948304575,17,Has_Diabetes
DR1TSODI,0.014939938169429626,0.014939938169429623,18,Has_Diabetes
DR1TKCAL,0.014406209708152899,0.014406209708152895,19,Has_Diabetes
DR1TTFAT,0.014237019818207968,0.014237019818207965,20,Has_Diabetes
ALQ121,0.01333417586736445,0.013334175867364446,21,Has_Diabetes
RIAGENDR,0.009327675520145956,0.009327675520145955,22,Has_Diabetes
SMQ040,0.006630576743347693,0.0066305767433476916,23,Has_Diabetes
ALQ130,0.006086908604335758,0.006086908604335756,24,Has_Diabetes
RIDAGEYR,0.28154436802775645,0.28154436802775645,1,Has_Hypertension
BPXOSY1,0.07446062906516174,0.07446062906516174,2,Has_Hypertension
PAD680,0.06628830882083901,0.06628830882083901,3,Has_Hypertension
BMXBMI,0.06565220359354491,0.06565220359354491,4,Has_Hypertension
LBXGH,0.06178343182493942,0.06178343182493942,5,Has_Hypertension
INDFMPIR,0.04888852521205715,0.04888852521205715,6,Has_Hypertension
BPXODI1,0.04055181820499479,0.04055181820499479,7,Has_Hypertension
PAD800,0.04014016282792571,0.04014016282792571,8,Has_Hypertension
LBXTC,0.034653380081300325,0.034653380081300325,9,Has_Hypertension
SMQ020,0.030793623217005153,0.030793623217005153,10,Has_Hypertension
LBDHDD,0.024834819185400443,0.024834819185400443,11,Has_Hypertension
RIDRETH3,0.024186558537034605,0.024186558537034605,12,Has_Hypertension
DR1TFIBE,0.02164997548601059,0.02164997548601059,13,Has_Hypertension
DR1TSUGR,0.020293764868189523,0.020293764868189523,14,Has_Hypertension
DR1TCARB,0.02025677895400916,0.02025677895400916,15,Has_Hypertension
DR1TSODI,0.019884224843541066,0.019884224843541066,16,Has_Hypertension
DR1TPROT,0.019824775313702844,0.019824775313702844,17,Has_Hypertension
ALQ121,0.019765493322214858,0.019765493322214858,18,Has_Hypertension
DR1TSFAT,0.01976133912689647,0.01976133912689647,19,Has_Hypertension
DR1TTFAT,0.019100353999014375,0.019100353999014375,20,Has_Hypertension
DR1TKCAL,0.018454240382563363,0.018454240382563363,21,Has_Hypertension
ALQ130,0.00996971450112371,0.00996971450112371,22,Has_Hypertension
RIAGENDR,0.009775134855853362,0.009775134855853362,23,Has_Hypertension
SMQ040,0.007486375748921026,0.007486375748921026,24,Has_Hypertension
