Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.056898418886723,0.0028424074377253975,Has_Diabetes,Mexican American,1,0.4579826622094576
INDFMPIR,Income-Poverty Ratio,0.028751353692874116,0.006175914615410841,Has_Diabetes,Mexican American,2,0.23142332887321787
PAD680,Moderate Activity (min/wk),0.01587123673380979,0.004280003674406535,Has_Diabetes,Mexican American,3,0.12774961754873784
PAD800,Vigorous Activity (min/wk),0.007270413688542365,0.0011835978326227294,Has_Diabetes,Mexican American,4,0.058520491106646394
RIAGENDR,Gender,0.007041368854234342,0.004191434120126579,Has_Diabetes,Mexican American,5,0.05667687989504926
BMXBMI,BMI (kg/m²),0.0030160277236300657,0.00309438723254672,Has_Diabetes,Mexican American,6,0.024276393495495624
SMQ020,Ever Smoked,0.001395386614684857,0.0006347213995178383,Has_Diabetes,Mexican American,7,0.011231645608239142
BPXOSY1,Systolic BP (mmHg),0.0012686809616634042,0.0005144206761536703,Has_Diabetes,Mexican American,8,0.010211775576291847
BPXODI1,Diastolic BP (mmHg),0.0004570067143166767,0.00040380692471389,Has_Diabetes,Mexican American,9,0.0036785055853140436
ALQ121,Alcohol Days/Year,0.00034221355858782276,0.00018286862626371532,Has_Diabetes,Mexican American,10,0.0027545207700454227
SMQ040,Smoking Frequency,0.0003308425384448754,9.605536029321109e-05,Has_Diabetes,Mexican American,11,0.0026629939723065914
DR1TSUGR,Daily Sugar (g),0.00028914879792070193,0.0003895039012092604,Has_Diabetes,Mexican American,12,0.0023273957139306094
DR1TSODI,Daily Sodium (mg),0.0002474550573965506,0.00020633121606163855,Has_Diabetes,Mexican American,13,0.0019917974555548057
LBXTC,Total Cholesterol (mg/dL),0.0002100931340697554,0.0005333964948906615,Has_Diabetes,Mexican American,14,0.0016910665486989016
DR1TCARB,Daily Carbohydrates (g),0.00020630279402209518,0.00029763960172969725,Has_Diabetes,Mexican American,15,0.0016605576161192019
DR1TTFAT,Daily Total Fat (g),0.00017814598223953038,0.00028492659331251356,Has_Diabetes,Mexican American,16,0.0014339198312418664
DR1TSFAT,Daily Saturated Fat (g),0.0001721897335932421,0.00024840526125555635,Has_Diabetes,Mexican American,17,0.0013859772229026191
DR1TFIBE,Daily Fiber (g),0.00013482781026641355,0.0002723952992265197,Has_Diabetes,Mexican American,18,0.001085246316046447
DR1TKCAL,Daily Calories (kcal),9.746588693956281e-05,0.00027464156600617916,Has_Diabetes,Mexican American,19,0.0007845154091900959
ALQ130,Avg Drinks/Day,5.360623781675011e-05,9.380066036968275e-05,Has_Diabetes,Mexican American,20,0.00043148347505447685
DR1TPROT,Daily Protein (g),4.6025557721451894e-05,0.00026507228401375537,Has_Diabetes,Mexican American,21,0.0003704656098952561
LBDHDD,HDL Cholesterol (mg/dL),-4.1152263374499844e-05,0.0003670815733572523,Has_Diabetes,Mexican American,22,-0.0003312398394359613
