Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Moderate Activity (min/wk),0.03241410488245927,0.00717353669602218,Has_Diabetes,Non-Hispanic Asian,1,0.407394630572865
LBXGH,HbA1c (%),0.030439485920950627,0.0024203371848752347,Has_Diabetes,Non-Hispanic Asian,2,0.38257675683354386
PAD800,Vigorous Activity (min/wk),0.008999612503229082,0.0028331004467496168,Has_Diabetes,Non-Hispanic Asian,3,0.11311106150693057
BPXOSY1,Systolic BP (mmHg),0.00224748127098936,0.0004126355452165846,Has_Diabetes,Non-Hispanic Asian,4,0.02824732644737082
INDFMPIR,Income-Poverty Ratio,0.002042430896409153,0.001243307919186127,Has_Diabetes,Non-Hispanic Asian,5,0.025670163761439727
RIAGENDR,Gender,0.0008508783260139152,0.000534129878351145,Has_Diabetes,Non-Hispanic Asian,6,0.010694210515635157
SMQ020,Ever Smoked,0.00047306897442515037,0.0002654040554705409,Has_Diabetes,Non-Hispanic Asian,7,0.005945737535257709
BMXBMI,BMI (kg/m²),0.0003180702660810497,0.00033026144278733554,Has_Diabetes,Non-Hispanic Asian,8,0.0039976460561286006
LBXTC,Total Cholesterol (mg/dL),0.00024380005166619868,0.00028577886850941926,Has_Diabetes,Non-Hispanic Asian,9,0.0030641855557129536
DR1TFIBE,Daily Fiber (g),0.00021473779385167147,0.0001333462696328765,Has_Diabetes,Non-Hispanic Asian,10,0.002698918403376141
ALQ121,Alcohol Days/Year,0.00015984241797981636,3.78305816128366e-05,Has_Diabetes,Non-Hispanic Asian,11,0.0020089693378514224
DR1TSODI,Daily Sodium (mg),0.00015338413846545108,0.00015823608548828623,Has_Diabetes,Non-Hispanic Asian,12,0.0019277988595540277
LBDHDD,HDL Cholesterol (mg/dL),0.00014692585895114129,0.00019832938961972693,Has_Diabetes,Non-Hispanic Asian,13,0.0018466283812573299
DR1TTFAT,Daily Total Fat (g),0.0001469258589511302,0.00011808456796194332,Has_Diabetes,Non-Hispanic Asian,14,0.0018466283812571906
DR1TSUGR,Daily Sugar (g),0.00012755102040812316,0.00015941782560059304,Has_Diabetes,Non-Hispanic Asian,15,0.0016031169463661217
DR1TSFAT,Daily Saturated Fat (g),0.00012432188065097938,0.00013643831980315063,Has_Diabetes,Non-Hispanic Asian,16,0.0015625317072179125
DR1TPROT,Daily Protein (g),0.00012432188065096826,0.00012147961964592271,Has_Diabetes,Non-Hispanic Asian,17,0.0015625317072177729
BPXODI1,Diastolic BP (mmHg),0.000114634461379437,0.00023380064550122947,Has_Diabetes,Non-Hispanic Asian,18,0.0014407759897718897
DR1TCARB,Daily Carbohydrates (g),0.00010010333247219005,8.866914374672772e-05,Has_Diabetes,Non-Hispanic Asian,19,0.0012581424136036928
DR1TKCAL,Daily Calories (kcal),9.525962283641886e-05,0.00012945790031907375,Has_Diabetes,Non-Hispanic Asian,20,0.0011972645548806813
SMQ040,Smoking Frequency,1.6145698785807737e-05,1.614569878587435e-05,Has_Diabetes,Non-Hispanic Asian,21,0.00020292619574216198
ALQ130,Avg Drinks/Day,1.1301989150058755e-05,1.7760268664437156e-05,Has_Diabetes,Non-Hispanic Asian,22,0.00014204833701942968
