Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.06441894498521669,0.0024659296389346313,Has_Diabetes,Non-Hispanic Black,1,0.43604547115832826
PAD680,Moderate Activity (min/wk),0.045454968608729975,0.004541606642687783,Has_Diabetes,Non-Hispanic Black,2,0.3076801895471777
INDFMPIR,Income-Poverty Ratio,0.016115116218450454,0.0026216971079880214,Has_Diabetes,Non-Hispanic Black,3,0.10908162879503899
PAD800,Vigorous Activity (min/wk),0.0071624600627080755,0.0013313030729238029,Has_Diabetes,Non-Hispanic Black,4,0.048481984195999736
RIAGENDR,Gender,0.0067617838284688815,0.00244733843487586,Has_Diabetes,Non-Hispanic Black,5,0.04576984637100325
SMQ020,Ever Smoked,0.0031938662277599117,0.0003612669809582328,Has_Diabetes,Non-Hispanic Black,6,0.021618964800181734
SMQ040,Smoking Frequency,0.0026939518741668556,0.00036170835109590737,Has_Diabetes,Non-Hispanic Black,7,0.018235093954403057
BMXBMI,BMI (kg/m²),0.0007916707007365909,0.00029886576258645486,Has_Diabetes,Non-Hispanic Black,8,0.00535874072113647
BPXOSY1,Systolic BP (mmHg),0.0005304491595481298,0.00018944089037502046,Has_Diabetes,Non-Hispanic Black,9,0.0035905579290965387
LBXTC,Total Cholesterol (mg/dL),0.00018749115607756827,6.125014028488863e-05,Has_Diabetes,Non-Hispanic Black,10,0.0012691091030538383
BPXODI1,Diastolic BP (mmHg),0.00015397734466353618,7.828329723386385e-05,Has_Diabetes,Non-Hispanic Black,11,0.0010422574262420464
LBDHDD,HDL Cholesterol (mg/dL),0.00010035524640102932,5.764280544092175e-05,Has_Diabetes,Non-Hispanic Black,12,0.0006792947433428036
DR1TSUGR,Daily Sugar (g),9.719005310083739e-05,6.220346016792209e-05,Has_Diabetes,Non-Hispanic Black,13,0.0006578698627551736
ALQ121,Alcohol Days/Year,3.463093846122201e-05,2.59356388095453e-05,Has_Diabetes,Non-Hispanic Black,14,0.00023441339937256079
DR1TSFAT,Daily Saturated Fat (g),2.0480662530841797e-05,2.4602171187306957e-05,Has_Diabetes,Non-Hispanic Black,15,0.00013863158027417345
DR1TPROT,Daily Protein (g),7.447513647595994e-06,2.6722982458134448e-05,Has_Diabetes,Non-Hispanic Black,16,5.0411483736179215e-05
DR1TTFAT,Daily Total Fat (g),4.468508188559817e-06,2.389015652046172e-05,Has_Diabetes,Non-Hispanic Black,17,3.0246890241722562e-05
DR1TCARB,Daily Carbohydrates (g),3.5375689826033786e-06,2.4846835422015595e-05,Has_Diabetes,Non-Hispanic Black,18,2.394545477465319e-05
DR1TKCAL,Daily Calories (kcal),2.42044193549118e-06,2.014015488347941e-05,Has_Diabetes,Non-Hispanic Black,19,1.6383732214410424e-05
DR1TSODI,Daily Sodium (mg),1.1171270471677098e-06,2.1523829834169327e-05,Has_Diabetes,Non-Hispanic Black,20,7.561722560618515e-06
DR1TFIBE,Daily Fiber (g),3.3306690738754695e-17,2.2404517596953133e-05,Has_Diabetes,Non-Hispanic Black,21,2.254496974335409e-16
ALQ130,Avg Drinks/Day,-1.8618784118795694e-06,1.4325578531565242e-05,Has_Diabetes,Non-Hispanic Black,22,-1.2602870933913292e-05
