Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.0812785671221089,0.0021533690899663864,Has_Diabetes,Non-Hispanic White,1,0.41208359619171486
PAD680,Moderate Activity (min/wk),0.03776865011169202,0.0029418178884987587,Has_Diabetes,Non-Hispanic White,2,0.1914876419751632
INDFMPIR,Income-Poverty Ratio,0.02775564836739064,0.003778577799323145,Has_Diabetes,Non-Hispanic White,3,0.1407215677988476
SMQ020,Ever Smoked,0.016658029970035203,0.001988456689822621,Has_Diabetes,Non-Hispanic White,4,0.08445647036578023
PAD800,Vigorous Activity (min/wk),0.01478945998799348,0.0017201673379636329,Has_Diabetes,Non-Hispanic White,5,0.0749827915695138
RIAGENDR,Gender,0.006945594930447041,0.0011324189400752738,Has_Diabetes,Non-Hispanic White,6,0.03521427404508231
BMXBMI,BMI (kg/m²),0.0035880724052550937,0.0006193304438879351,Has_Diabetes,Non-Hispanic White,7,0.018191582756773024
SMQ040,Smoking Frequency,0.002049763475823363,0.0003312742192297518,Has_Diabetes,Non-Hispanic White,8,0.010392332620612323
LBXTC,Total Cholesterol (mg/dL),0.001915575297394434,0.00022009839185553959,Has_Diabetes,Non-Hispanic White,9,0.009711996474302884
LBDHDD,HDL Cholesterol (mg/dL),0.0007458692005844148,0.00015589138002772843,Has_Diabetes,Non-Hispanic White,10,0.003781568417707241
BPXOSY1,Systolic BP (mmHg),0.0006499744924908124,0.00013448952866001795,Has_Diabetes,Non-Hispanic White,11,0.003295380760048383
BPXODI1,Diastolic BP (mmHg),0.0006001189062174838,9.558731579167675e-05,Has_Diabetes,Non-Hispanic White,12,0.0030426121642278606
DR1TSUGR,Daily Sugar (g),0.00036246750369094415,5.1773182396218565e-05,Has_Diabetes,Non-Hispanic White,13,0.001837715866708089
ALQ121,Alcohol Days/Year,0.00033203240741941364,7.313968927585328e-05,Has_Diabetes,Non-Hispanic White,14,0.0016834094564687062
DR1TSODI,Daily Sodium (mg),0.00029699178864329713,6.959992359363624e-05,Has_Diabetes,Non-Hispanic White,15,0.0015057529756851364
DR1TCARB,Daily Carbohydrates (g),0.0002724343696940745,6.484158477406439e-05,Has_Diabetes,Non-Hispanic White,16,0.0013812464806508568
DR1TPROT,Daily Protein (g),0.0002511942152061186,7.476349566339997e-05,Has_Diabetes,Non-Hispanic White,17,0.001273558567896258
DR1TTFAT,Daily Total Fat (g),0.00024707178946782317,5.999189839115242e-05,Has_Diabetes,Non-Hispanic White,18,0.0012526578054514932
DR1TKCAL,Daily Calories (kcal),0.00022599266723530854,5.563328600090982e-05,Has_Diabetes,Non-Hispanic White,19,0.0011457863287300913
DR1TFIBE,Daily Fiber (g),0.00021919710605721175,6.436053734221308e-05,Has_Diabetes,Non-Hispanic White,20,0.0011113327281369136
DR1TSFAT,Daily Saturated Fat (g),0.00021190234488736027,5.7125813003281145e-05,Has_Diabetes,Non-Hispanic White,21,0.0010743481758413997
ALQ130,Avg Drinks/Day,7.344681169025868e-05,5.8620627030933094e-05,Has_Diabetes,Non-Hispanic White,22,0.000372376474657421
