Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.0651890509435266,0.0038066241285411597,Has_Diabetes,Other Hispanic,1,0.5135145436527407
PAD680,Moderate Activity (min/wk),0.02222368148199346,0.0064298609395184,Has_Diabetes,Other Hispanic,2,0.1750628899996739
SMQ020,Ever Smoked,0.02098914771549034,0.003289722496862775,Has_Diabetes,Other Hispanic,3,0.16533808139218334
PAD800,Vigorous Activity (min/wk),0.004796087647750036,0.0008155718617982294,Has_Diabetes,Other Hispanic,4,0.037780282487721556
RIAGENDR,Gender,0.002744522015621731,0.0015114434149542026,Has_Diabetes,Other Hispanic,5,0.021619458329249455
INDFMPIR,Income-Poverty Ratio,0.0023857745213243463,0.000907028846386648,Has_Diabetes,Other Hispanic,6,0.018793492110163408
BPXOSY1,Systolic BP (mmHg),0.0017422409621897783,0.0004978870321976627,Has_Diabetes,Other Hispanic,7,0.013724176984982444
SMQ040,Smoking Frequency,0.0010869565217391352,0.00016886532254339372,Has_Diabetes,Other Hispanic,8,0.008562296492317158
BMXBMI,BMI (kg/m²),0.0009245178682518618,0.00027832670875936936,Has_Diabetes,Other Hispanic,9,0.007282716412384024
BPXODI1,Diastolic BP (mmHg),0.000605861616091774,0.00033752916326521486,Has_Diabetes,Other Hispanic,10,0.0047725614470688045
LBXTC,Total Cholesterol (mg/dL),0.0005833966959286285,0.000372018923781354,Has_Diabetes,Other Hispanic,11,0.004595598244524766
DR1TSFAT,Daily Saturated Fat (g),0.0004368562936337472,0.00021032091004041955,Has_Diabetes,Other Hispanic,12,0.00344125366177674
LBDHDD,HDL Cholesterol (mg/dL),0.00042925278219392294,0.00028947862691108383,Has_Diabetes,Other Hispanic,13,0.00338135842399268
DR1TSUGR,Daily Sugar (g),0.00041404575931427436,0.00020836148509710445,Has_Diabetes,Other Hispanic,14,0.003261567948424559
DR1TTFAT,Daily Total Fat (g),0.00034699661298125405,0.00018413289530730674,Has_Diabetes,Other Hispanic,15,0.0027334008516012877
DR1TCARB,Daily Carbohydrates (g),0.00034181240063592134,0.00023436844905605532,Has_Diabetes,Other Hispanic,16,0.002692563189475808
DR1TKCAL,Daily Calories (kcal),0.0003414667864795495,0.00020466545482278542,Has_Diabetes,Other Hispanic,17,0.0026898406786673144
DR1TPROT,Daily Protein (g),0.0003279878343816489,0.0002036805418451873,Has_Diabetes,Other Hispanic,18,0.0025836627571407867
DR1TFIBE,Daily Fiber (g),0.0002847860648371836,0.00020234343765487714,Has_Diabetes,Other Hispanic,19,0.002243348906094916
DR1TSODI,Daily Sodium (mg),0.0002796018524918287,0.00019987407816099962,Has_Diabetes,Other Hispanic,20,0.0022025112439692613
ALQ121,Alcohol Days/Year,0.00027891062417915167,0.00018568874404787031,Has_Diabetes,Other Hispanic,21,0.0021970662223527986
ALQ130,Avg Drinks/Day,0.00019388954171561945,9.962384260314293e-05,Has_Diabetes,Other Hispanic,22,0.0015273285634943327
