Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.0747608350951374,0.0038409676758424743,Has_Diabetes,Other/Multi-racial,1,0.5772012690899095
PAD680,Moderate Activity (min/wk),0.021987315010570784,0.0030603946180497808,Has_Diabetes,Other/Multi-racial,2,0.16975607765524453
INDFMPIR,Income-Poverty Ratio,0.019022859408033787,0.004593455497731987,Has_Diabetes,Other/Multi-racial,3,0.14686859206512784
RIAGENDR,Gender,0.005192917547568709,0.004718324042226304,Has_Diabetes,Other/Multi-racial,4,0.04009263132122068
SMQ020,Ever Smoked,0.0029314217758984904,0.001235677256492586,Has_Diabetes,Other/Multi-racial,5,0.022632443406139235
PAD800,Vigorous Activity (min/wk),0.0021128435517970058,0.000534076786575516,Has_Diabetes,Other/Multi-racial,6,0.01631249808718342
BMXBMI,BMI (kg/m²),0.002041490486257924,0.0028923736491096876,Has_Diabetes,Other/Multi-racial,7,0.015761606969792834
BPXOSY1,Systolic BP (mmHg),0.00030721458773783625,0.00010662304024650396,Has_Diabetes,Other/Multi-racial,8,0.0023718923109881905
LBDHDD,HDL Cholesterol (mg/dL),0.00023387949260040842,0.0001469377879983246,Has_Diabetes,Other/Multi-racial,9,0.001805698662558683
BPXODI1,Diastolic BP (mmHg),0.00021868393234669714,0.00013720614906042762,Has_Diabetes,Other/Multi-racial,10,0.0016883792579290681
SMQ040,Smoking Frequency,0.00021339852008452897,0.00015372766033555247,Has_Diabetes,Other/Multi-racial,11,0.0016475725084926205
ALQ121,Alcohol Days/Year,0.000116939746300182,7.642459858335622e-05,Has_Diabetes,Other/Multi-racial,12,0.00090284933127917
DR1TCARB,Daily Carbohydrates (g),0.00010042283298097309,7.332021352539533e-05,Has_Diabetes,Other/Multi-racial,13,0.0007753282392907861
LBXTC,Total Cholesterol (mg/dL),8.258456659617774e-05,0.00010988899922443715,Has_Diabetes,Other/Multi-racial,14,0.0006376054599429476
DR1TSUGR,Daily Sugar (g),7.46564482029033e-05,9.592559132973671e-05,Has_Diabetes,Other/Multi-racial,15,0.0005763953357881052
DR1TPROT,Daily Protein (g),4.690803382659814e-05,9.635237333028914e-05,Has_Diabetes,Other/Multi-racial,16,0.00036215990124735634
DR1TFIBE,Daily Fiber (g),2.4445031712438946e-05,8.409298951111077e-05,Has_Diabetes,Other/Multi-racial,17,0.00018873121614288346
DR1TKCAL,Daily Calories (kcal),1.9159619450292985e-05,6.868812150303385e-05,Has_Diabetes,Other/Multi-racial,18,0.0001479244667066075
ALQ130,Avg Drinks/Day,1.3874207188147025e-05,6.913152047327579e-05,Has_Diabetes,Other/Multi-racial,19,0.00010711771727033155
DR1TTFAT,Daily Total Fat (g),7.928118393230044e-06,5.666432780760223e-05,Has_Diabetes,Other/Multi-racial,20,6.121012415449966e-05
DR1TSFAT,Daily Saturated Fat (g),7.267441860447921e-06,4.552919438165968e-05,Has_Diabetes,Other/Multi-racial,21,5.610928047485802e-05
DR1TSODI,Daily Sodium (mg),5.946088794905879e-06,7.252110004680582e-05,Has_Diabetes,Other/Multi-racial,22,4.590759311574617e-05
