Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.058806646855446364,0.0006978377226137322,Has_Diabetes,with_age,1,0.46372959305966927
RIDAGEYR,Age (Years),0.05235279134227853,0.0021778858242197598,Has_Diabetes,with_age,2,0.41283664216342136
PAD680,Moderate Activity (min/wk),0.004175910538423211,0.0002460402133125435,Has_Diabetes,with_age,3,0.03292983698588882
INDFMPIR,Income-Poverty Ratio,0.003984773876477499,0.0006885270744017537,Has_Diabetes,with_age,4,0.03142259705294815
RIDRETH3,Race Code,0.0014392384277641778,0.0001408919971735627,Has_Diabetes,with_age,5,0.011349353961015848
PAD800,Vigorous Activity (min/wk),0.0013185990792968006,6.907865730545242e-05,Has_Diabetes,with_age,6,0.010398032316894948
SMQ020,Ever Smoked,0.0011967957193029122,0.00017612422201437327,Has_Diabetes,with_age,7,0.009437531666311857
BMXBMI,BMI (kg/m²),0.0011198984743178264,0.00012119380227716137,Has_Diabetes,with_age,8,0.008831145653315761
LBXTC,Total Cholesterol (mg/dL),0.0010478917832554945,8.694520822247435e-05,Has_Diabetes,with_age,9,0.008263324916554677
RIAGENDR,Gender,0.0007097613580237305,0.00023413549642744086,Has_Diabetes,with_age,10,0.005596941218819719
BPXOSY1,Systolic BP (mmHg),0.0001555213202569017,3.106406679604554e-05,Has_Diabetes,with_age,11,0.0012263892333823172
LBDHDD,HDL Cholesterol (mg/dL),0.00014313077997821778,2.513240781747287e-05,Has_Diabetes,with_age,12,0.0011286815675236
BPXODI1,Diastolic BP (mmHg),0.00013775415530803414,2.103264317972305e-05,Has_Diabetes,with_age,13,0.0010862832995783512
SMQ040,Smoking Frequency,5.797459606676769e-05,2.4354156667419415e-05,Has_Diabetes,with_age,14,0.00045716831819923734
DR1TSUGR,Daily Sugar (g),3.216168111581652e-05,9.181649736402085e-06,Has_Diabetes,with_age,15,0.00025361628478177983
DR1TCARB,Daily Carbohydrates (g),1.9754085723167057e-05,9.14484669325997e-06,Has_Diabetes,with_age,16,0.0001557741279856986
DR1TFIBE,Daily Fiber (g),1.9297861425204844e-05,5.801158556590405e-06,Has_Diabetes,with_age,17,0.00015217649541606745
DR1TSFAT,Daily Saturated Fat (g),1.7438854005558112e-05,5.364538269232178e-06,Has_Diabetes,with_age,18,0.00013751698326386517
DR1TSODI,Daily Sodium (mg),1.5430614338951543e-05,4.218402811460203e-06,Has_Diabetes,with_age,19,0.00012168067541160917
DR1TTFAT,Daily Total Fat (g),1.5034082939779924e-05,4.1424182460117744e-06,Has_Diabetes,with_age,20,0.00011855376112205204
ALQ121,Alcohol Days/Year,1.4761201116708644e-05,4.160180707527738e-06,Has_Diabetes,with_age,21,0.00011640190612720282
DR1TPROT,Daily Protein (g),1.40619414450871e-05,6.34569429843928e-06,Has_Diabetes,with_age,22,0.0001108877777028908
DR1TKCAL,Daily Calories (kcal),1.331578021015467e-05,5.398928587377614e-06,Has_Diabetes,with_age,23,0.0001050037992015716
ALQ130,Avg Drinks/Day,4.42153828945635e-06,1.9934293034457434e-06,Has_Diabetes,with_age,24,3.4866775463451585e-05
