Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.08137486048916806,0.0009015077798182923,Has_Diabetes,without_age,1,0.40338006340192023
PAD680,Moderate Activity (min/wk),0.04523518916850178,0.0026730387428356584,Has_Diabetes,without_age,2,0.22423354541071056
INDFMPIR,Income-Poverty Ratio,0.020507563601930935,0.001721187307768253,Has_Diabetes,without_age,3,0.10165722258985571
SMQ020,Ever Smoked,0.014711954475125433,0.0015430097010962975,Has_Diabetes,without_age,4,0.07292804059224425
PAD800,Vigorous Activity (min/wk),0.011001925692915238,0.0009446395426403934,Has_Diabetes,without_age,5,0.05453720543265457
RIDRETH3,Race Code,0.010759691909599745,0.0008042404202575223,Has_Diabetes,without_age,6,0.05333643804227732
RIAGENDR,Gender,0.006289034892034295,0.0010205693650026323,Has_Diabetes,without_age,7,0.031175123106028175
BMXBMI,BMI (kg/m²),0.003815237516338854,0.0007401569930056793,Has_Diabetes,without_age,8,0.018912361163912646
SMQ040,Smoking Frequency,0.0016750680157944452,0.0003807456267358479,Has_Diabetes,without_age,9,0.00830341260620206
LBXTC,Total Cholesterol (mg/dL),0.00142107899519458,0.00011579933724966532,Has_Diabetes,without_age,10,0.007044373799658077
BPXOSY1,Systolic BP (mmHg),0.0013976921702018807,0.0001402800140436779,Has_Diabetes,without_age,11,0.0069284439056881775
LBDHDD,HDL Cholesterol (mg/dL),0.0006866388872971308,5.645096185704906e-05,Has_Diabetes,without_age,12,0.0034037101412789437
BPXODI1,Diastolic BP (mmHg),0.0005795114528501677,6.290645681059083e-05,Has_Diabetes,without_age,13,0.0028726730244158904
DR1TSUGR,Daily Sugar (g),0.0003627409546498539,3.722670420350372e-05,Has_Diabetes,without_age,14,0.0017981286653586137
DR1TCARB,Daily Carbohydrates (g),0.00030870608990370976,3.964076752529378e-05,Has_Diabetes,without_age,15,0.0015302746004030713
ALQ121,Alcohol Days/Year,0.0002555538273040558,3.965541936602704e-05,Has_Diabetes,without_age,16,0.00126679564721632
DR1TTFAT,Daily Total Fat (g),0.00022622755888116464,3.580094903408502e-05,Has_Diabetes,without_age,17,0.001121423575981344
DR1TFIBE,Daily Fiber (g),0.00021859113161365462,3.110402324485866e-05,Has_Diabetes,without_age,18,0.0010835693480685062
DR1TSFAT,Daily Saturated Fat (g),0.00021484753410342395,2.9595779629918882e-05,Has_Diabetes,without_age,19,0.001065012110711041
DR1TPROT,Daily Protein (g),0.00021171365691665666,3.494692936874038e-05,Has_Diabetes,without_age,20,0.0010494772935612127
DR1TSODI,Daily Sodium (mg),0.0002005382935062694,2.926055101249962e-05,Has_Diabetes,without_age,21,0.000994080346962188
DR1TKCAL,Daily Calories (kcal),0.0001983850853711444,3.640773912402409e-05,Has_Diabetes,without_age,22,0.0009834067651109495
ALQ130,Avg Drinks/Day,7.972839389946973e-05,1.5577952041421372e-05,Has_Diabetes,without_age,23,0.00039521842978007136
