Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Moderate Activity (min/wk),0.04441124608150456,0.010229165412446594,Has_Hypertension,Mexican American,1,0.3890748369378718
PAD800,Vigorous Activity (min/wk),0.02180316091954011,0.0027396408183099894,Has_Hypertension,Mexican American,2,0.19101155738643166
INDFMPIR,Income-Poverty Ratio,0.019672152560083513,0.005515812073603712,Has_Hypertension,Mexican American,3,0.17234237326925572
RIAGENDR,Gender,0.013386886102403272,0.004970775604332377,Has_Hypertension,Mexican American,4,0.11727886485868136
BMXBMI,BMI (kg/m²),0.0032402690700103266,0.0013133391428406132,Has_Hypertension,Mexican American,5,0.028387115230575112
SMQ020,Ever Smoked,0.003075692267502472,0.0010930136450340677,Has_Hypertension,Mexican American,6,0.026945302666208294
BPXOSY1,Systolic BP (mmHg),0.002687108150470108,0.0008125400102293734,Has_Hypertension,Mexican American,7,0.023541023000342814
LBXGH,HbA1c (%),0.002035658307209898,0.00036285245299491116,Has_Hypertension,Mexican American,8,0.017833848266391245
BPXODI1,Diastolic BP (mmHg),0.0008561912225704349,0.0004580078676459513,Has_Hypertension,Mexican American,9,0.007500858221763805
LBXTC,Total Cholesterol (mg/dL),0.0005587121212120127,0.00021290616325254233,Has_Hypertension,Mexican American,10,0.004894724796886669
LBDHDD,HDL Cholesterol (mg/dL),0.00034874608150454734,0.00019742546130515975,Has_Hypertension,Mexican American,11,0.003055269481632763
DR1TSUGR,Daily Sugar (g),0.00033111285266448356,0.00022327974522874574,Has_Hypertension,Mexican American,12,0.0029007895640225886
DR1TSODI,Daily Sodium (mg),0.0002449059561127287,9.721940473319063e-05,Has_Hypertension,Mexican American,13,0.0021455544112588295
DR1TTFAT,Daily Total Fat (g),0.00023739550679197086,0.00011724650796252164,Has_Hypertension,Mexican American,14,0.0020797574093138435
DR1TCARB,Daily Carbohydrates (g),0.0002331504702193121,0.00011134243482323079,Has_Hypertension,Mexican American,15,0.0020425677995183564
DR1TPROT,Daily Protein (g),0.00017045454545442374,0.00014608334060941044,Has_Hypertension,Mexican American,16,0.0014933058702358347
DR1TKCAL,Daily Calories (kcal),0.00016229101358400388,0.00010439162463662339,Has_Hypertension,Mexican American,17,0.0014217873898605792
DR1TSFAT,Daily Saturated Fat (g),0.00016065830720992657,0.00010087747383898746,Has_Hypertension,Mexican American,18,0.0014074836937855864
DR1TFIBE,Daily Fiber (g),0.00015576018808768354,0.0001647403158665467,Has_Hypertension,Mexican American,19,0.0013645726055605111
SMQ040,Smoking Frequency,0.00015314785788913542,0.00010191488678276826,Has_Hypertension,Mexican American,20,0.0013416866918403087
ALQ121,Alcohol Days/Year,0.00013322884012529902,3.4148162127505925e-05,Has_Hypertension,Mexican American,21,0.0011671815997245808
ALQ130,Avg Drinks/Day,8.783960292571002e-05,1.9940418809788172e-05,Has_Hypertension,Mexican American,22,0.000769538848837682
