Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.0573100240620506,0.005106505838540508,Has_Hypertension,Non-Hispanic Asian,1,0.41404007982945995
PAD680,Moderate Activity (min/wk),0.04235861865010558,0.005016081197904314,Has_Hypertension,Non-Hispanic Asian,2,0.3060226571946031
PAD800,Vigorous Activity (min/wk),0.00933849524808118,0.0038739617709064146,Has_Hypertension,Non-Hispanic Asian,3,0.06746657990958478
INDFMPIR,Income-Poverty Ratio,0.007932411178771692,0.0025962428460780855,Has_Hypertension,Non-Hispanic Asian,4,0.05730823204929598
BMXBMI,BMI (kg/m²),0.005669368606417524,0.0024371365796924775,Has_Hypertension,Non-Hispanic Asian,5,0.04095873049786599
RIAGENDR,Gender,0.00523181567662756,0.002960500017203825,Has_Hypertension,Non-Hispanic Asian,6,0.037797600260270896
SMQ020,Ever Smoked,0.0034533747361912615,0.0009200584042913461,Has_Hypertension,Non-Hispanic Asian,7,0.024949135423596423
LBXGH,HbA1c (%),0.0023746152088290782,0.00040838452650319545,Has_Hypertension,Non-Hispanic Asian,8,0.017155565482983012
BPXODI1,Diastolic BP (mmHg),0.0011090051215873697,0.0005237138155656084,Has_Hypertension,Non-Hispanic Asian,9,0.008012081247360147
LBXTC,Total Cholesterol (mg/dL),0.0007010256617064669,0.00020814269597401562,Has_Hypertension,Non-Hispanic Asian,10,0.005064606509695122
LBDHDD,HDL Cholesterol (mg/dL),0.0005289618367813942,0.00016499385690020056,Has_Hypertension,Non-Hispanic Asian,11,0.0038215199646501386
DR1TSUGR,Daily Sugar (g),0.0003185869258379048,0.00017894670913688634,Has_Hypertension,Non-Hispanic Asian,12,0.002301652431060392
DR1TCARB,Daily Carbohydrates (g),0.0003158984285734134,0.00019403333828640266,Has_Hypertension,Non-Hispanic Asian,13,0.0022822292037937963
DR1TPROT,Daily Protein (g),0.0002722103480260585,0.00015535379725136646,Has_Hypertension,Non-Hispanic Asian,14,0.001966601760716162
DR1TFIBE,Daily Fiber (g),0.00026817760212936024,0.000156662648105701,Has_Hypertension,Non-Hispanic Asian,15,0.0019374669198165486
ALQ121,Alcohol Days/Year,0.0002634727319165586,6.977155447491671e-05,Has_Hypertension,Non-Hispanic Asian,16,0.0019034762721004265
DR1TSFAT,Daily Saturated Fat (g),0.0002587678617037792,0.00015535379725136866,Has_Hypertension,Non-Hispanic Asian,17,0.0018694856243844653
DR1TKCAL,Daily Calories (kcal),0.00020634216504691327,0.00016616702066781462,Has_Hypertension,Non-Hispanic Asian,18,0.0014907326926910153
DR1TSODI,Daily Sodium (mg),0.00018348993829906402,0.000215395657668037,Has_Hypertension,Non-Hispanic Asian,19,0.0013256352609273148
DR1TTFAT,Daily Total Fat (g),0.00013980185775167576,0.00012519567100186037,Has_Hypertension,Non-Hispanic Asian,20,0.0010100078178494401
ALQ130,Avg Drinks/Day,9.409740425598833e-05,5.6233954815337704e-05,Has_Hypertension,Non-Hispanic Asian,21,0.0006798129543221195
SMQ040,Smoking Frequency,8.804828541094655e-05,4.391497956451349e-05,Has_Hypertension,Non-Hispanic Asian,22,0.0006361106929727395
