Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Moderate Activity (min/wk),0.06019316581866411,0.005858525407015174,Has_Hypertension,Non-Hispanic Black,1,0.4562037691160533
INDFMPIR,Income-Poverty Ratio,0.01839247003434231,0.0020301855286788467,Has_Hypertension,Non-Hispanic Black,2,0.1393964586992917
BPXOSY1,Systolic BP (mmHg),0.012427367268338929,0.0010976467960406922,Has_Hypertension,Non-Hispanic Black,3,0.09418696808679525
PAD800,Vigorous Activity (min/wk),0.012405391211067086,0.0007843251265759519,Has_Hypertension,Non-Hispanic Black,4,0.09402041163439119
LBXGH,HbA1c (%),0.008274730513941874,0.0008858136721601161,Has_Hypertension,Non-Hispanic Black,5,0.06271415031155242
RIAGENDR,Gender,0.006684446166109248,0.0012398781133847014,Has_Hypertension,Non-Hispanic Black,6,0.05066139143801008
BMXBMI,BMI (kg/m²),0.004143511103496122,0.0011750577863450047,Has_Hypertension,Non-Hispanic Black,7,0.03140365450263503
SMQ020,Ever Smoked,0.003999269947927975,0.0007856966202993989,Has_Hypertension,Non-Hispanic Black,8,0.03031045134681364
SMQ040,Smoking Frequency,0.0014424115556814555,0.00026082764738895905,Has_Hypertension,Non-Hispanic Black,9,0.010932031558213762
BPXODI1,Diastolic BP (mmHg),0.0006449414095965556,0.00046477504871575756,Has_Hypertension,Non-Hispanic Black,10,0.004888008429450951
LBDHDD,HDL Cholesterol (mg/dL),0.0004976273307658263,0.0001966044704944861,Has_Hypertension,Non-Hispanic Black,11,0.00377151560020023
LBXTC,Total Cholesterol (mg/dL),0.0004289987112346738,0.00026001022667295474,Has_Hypertension,Non-Hispanic Black,12,0.0032513795602773137
DR1TCARB,Daily Carbohydrates (g),0.0003155799071791421,5.721994581192769e-05,Has_Hypertension,Non-Hispanic Black,13,0.002391778886429304
DR1TSUGR,Daily Sugar (g),0.00029071716441823046,0.00010190099804584532,Has_Hypertension,Non-Hispanic Black,14,0.0022033442559554603
DR1TKCAL,Daily Calories (kcal),0.0002799153735557836,5.053053295923746e-05,Has_Hypertension,Non-Hispanic Black,15,0.0021214775251126765
DR1TTFAT,Daily Total Fat (g),0.00027628373697276,7.955105673945809e-05,Has_Hypertension,Non-Hispanic Black,16,0.002093953365605496
DR1TPROT,Daily Protein (g),0.0002739557648040791,7.849518958462496e-05,Has_Hypertension,Non-Hispanic Black,17,0.0020763096736131368
DR1TSFAT,Daily Saturated Fat (g),0.0002612915962067697,6.121559407940282e-05,Has_Hypertension,Non-Hispanic Black,18,0.0019803279891770892
DR1TFIBE,Daily Fiber (g),0.00023950177670841732,4.618133529139115e-05,Has_Hypertension,Non-Hispanic Black,19,0.0018151830321324052
DR1TSODI,Daily Sodium (mg),0.00022097111824617154,4.832331932630008e-05,Has_Hypertension,Non-Hispanic Black,20,0.0016747392438766701
ALQ121,Alcohol Days/Year,0.0001700350871965628,0.0003409967861135911,Has_Hypertension,Non-Hispanic Black,21,0.0012886952630924153
ALQ130,Avg Drinks/Day,8.101343146830198e-05,0.00012266836213891598,Has_Hypertension,Non-Hispanic Black,22,0.0006140004813205002
