Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Moderate Activity (min/wk),0.059276544362693716,0.002208354909230512,Has_Hypertension,Non-Hispanic White,1,0.22495928993045775
PAD800,Vigorous Activity (min/wk),0.04618016840274978,0.002239866892220755,Has_Hypertension,Non-Hispanic White,2,0.17525748176524536
SMQ020,Ever Smoked,0.0340758552959927,0.0011385647936245883,Has_Hypertension,Non-Hispanic White,3,0.12932063252971976
BPXOSY1,Systolic BP (mmHg),0.03249951539935272,0.0015083166418363258,Has_Hypertension,Non-Hispanic White,4,0.12333829486733132
INDFMPIR,Income-Poverty Ratio,0.027563202550190714,0.0010218038766205964,Has_Hypertension,Non-Hispanic White,5,0.1046045875407456
BMXBMI,BMI (kg/m²),0.02100251477146483,0.0013956158595762533,Has_Hypertension,Non-Hispanic White,6,0.07970624570882073
LBXGH,HbA1c (%),0.018497409559995404,0.0011777343466765108,Has_Hypertension,Non-Hispanic White,7,0.07019916840476782
RIAGENDR,Gender,0.012142198895561262,0.0008328803399119913,Has_Hypertension,Non-Hispanic White,8,0.04608062887449537
SMQ040,Smoking Frequency,0.002594928597877977,0.0002900612699647283,Has_Hypertension,Non-Hispanic White,9,0.009847964335219563
LBXTC,Total Cholesterol (mg/dL),0.0019619016952971855,0.00019430229551964314,Has_Hypertension,Non-Hispanic White,10,0.007445575936190755
BPXODI1,Diastolic BP (mmHg),0.0015644261265756354,0.00021238026806792075,Has_Hypertension,Non-Hispanic White,11,0.0059371239394414395
ALQ121,Alcohol Days/Year,0.0008810909149452817,0.00015868232402234126,Has_Hypertension,Non-Hispanic White,12,0.0033438114303271206
LBDHDD,HDL Cholesterol (mg/dL),0.0007069115966061079,0.0001201858027395738,Has_Hypertension,Non-Hispanic White,13,0.00268278680084801
DR1TFIBE,Daily Fiber (g),0.0006658316294494649,6.952009016712664e-05,Has_Hypertension,Non-Hispanic White,14,0.0025268849961581088
DR1TCARB,Daily Carbohydrates (g),0.0005769484648945778,8.434354658817017e-05,Has_Hypertension,Non-Hispanic White,15,0.0021895661831264983
DR1TTFAT,Daily Total Fat (g),0.0005294479416546371,6.285399323238923e-05,Has_Hypertension,Non-Hispanic White,16,0.002009297847745811
DR1TSUGR,Daily Sugar (g),0.0005288747927164383,9.458979784532899e-05,Has_Hypertension,Non-Hispanic White,17,0.002007122701074428
DR1TSODI,Daily Sodium (mg),0.0005152802150918179,8.901146819794465e-05,Has_Hypertension,Non-Hispanic White,18,0.0019555301772149597
DR1TPROT,Daily Protein (g),0.0005083444689516603,9.667480436486537e-05,Has_Hypertension,Non-Hispanic White,19,0.0019292084585047556
DR1TKCAL,Daily Calories (kcal),0.0005070500539338663,9.032742948590218e-05,Has_Hypertension,Non-Hispanic White,20,0.0019242960486062204
DR1TSFAT,Daily Saturated Fat (g),0.0004955484359150941,6.791911936736724e-05,Has_Hypertension,Non-Hispanic White,21,0.0018806464760750873
ALQ130,Avg Drinks/Day,0.00022498993769413112,0.00010980178844645944,Has_Hypertension,Non-Hispanic White,22,0.0008538550478833888
