Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Moderate Activity (min/wk),0.03520114649768051,0.002711422153818593,Has_Hypertension,Other Hispanic,1,0.3223578329308541
INDFMPIR,Income-Poverty Ratio,0.01463618395582451,0.002089046285067987,Has_Hypertension,Other Hispanic,2,0.13403224075919834
SMQ020,Ever Smoked,0.01279757659731986,0.0018724960915258168,Has_Hypertension,Other Hispanic,3,0.1171950197403507
LBXGH,HbA1c (%),0.01213738954432152,0.0010586834321459132,Has_Hypertension,Other Hispanic,4,0.11114929427661971
PAD800,Vigorous Activity (min/wk),0.01077999877743141,0.0014042177478715994,Has_Hypertension,Other Hispanic,5,0.09871885977120158
BPXOSY1,Systolic BP (mmHg),0.009540619842288656,0.0011991713601184376,Has_Hypertension,Other Hispanic,6,0.0873691297918359
RIAGENDR,Gender,0.005586629174562452,0.0014823760108681723,Has_Hypertension,Other Hispanic,7,0.05116008577217517
BMXBMI,BMI (kg/m²),0.0052887978754474485,0.0007878029137486206,Has_Hypertension,Other Hispanic,8,0.04843266744311535
BPXODI1,Diastolic BP (mmHg),0.0010118453314859389,0.0002839474588107813,Has_Hypertension,Other Hispanic,9,0.009266069454314551
SMQ040,Smoking Frequency,0.0007622375722504237,0.00015794697031947574,Has_Hypertension,Other Hispanic,10,0.006980262758922145
LBXTC,Total Cholesterol (mg/dL),0.0002800021734553404,0.00011955125755413557,Has_Hypertension,Other Hispanic,11,0.002564146422246223
ALQ121,Alcohol Days/Year,0.0002760967459298325,3.827275281396947e-05,Has_Hypertension,Other Hispanic,12,0.0025283820998008113
DR1TCARB,Daily Carbohydrates (g),0.00013736916817791434,4.0120900428882404e-05,Has_Hypertension,Other Hispanic,13,0.0012579711677363793
LBDHDD,HDL Cholesterol (mg/dL),0.00011970984371501014,7.582436269777506e-05,Has_Hypertension,Other Hispanic,14,0.0010962542314638714
DR1TPROT,Daily Protein (g),9.848469412014893e-05,5.0576819259892556e-05,Has_Hypertension,Other Hispanic,15,0.0009018829138284217
DR1TSODI,Daily Sodium (mg),9.050403787245199e-05,3.4766147131993924e-05,Has_Hypertension,Other Hispanic,16,0.0008287992983972258
DR1TTFAT,Daily Total Fat (g),8.659861034699956e-05,2.2894843872108362e-05,Has_Hypertension,Other Hispanic,17,0.0007930349759523217
DR1TFIBE,Daily Fiber (g),8.405159239562864e-05,2.508521762177596e-05,Has_Hypertension,Other Hispanic,18,0.0007697104178361816
DR1TKCAL,Daily Calories (kcal),8.388179119888095e-05,3.34314365987468e-05,Has_Hypertension,Other Hispanic,19,0.0007681554472952006
DR1TSUGR,Daily Sugar (g),7.641053854153811e-05,2.2048016841721353e-05,Has_Hypertension,Other Hispanic,20,0.0006997367434879647
DR1TSFAT,Daily Saturated Fat (g),7.556153255769971e-05,2.36536175413785e-05,Has_Hypertension,Other Hispanic,21,0.0006919618907821442
ALQ130,Avg Drinks/Day,4.788393748601516e-05,2.519474430112033e-05,Has_Hypertension,Other Hispanic,22,0.00043850169258565023
