Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Moderate Activity (min/wk),0.02293339763617187,0.0048801429655866944,Has_Hypertension,Other/Multi-racial,1,0.2919289473332913
INDFMPIR,Income-Poverty Ratio,0.015320151251459135,0.0029056489044456202,Has_Hypertension,Other/Multi-racial,2,0.19501670440541927
PAD800,Vigorous Activity (min/wk),0.010705374179614724,0.0023481602711218365,Has_Hypertension,Other/Multi-racial,3,0.13627324937385923
SMQ020,Ever Smoked,0.009552116751588503,0.0018469829172693502,Has_Hypertension,Other/Multi-racial,4,0.12159294633681689
LBXGH,HbA1c (%),0.005791099648431353,0.0010279471858380754,Has_Hypertension,Other/Multi-racial,5,0.07371736412934572
RIAGENDR,Gender,0.004992206775562225,0.0022147232910775467,Has_Hypertension,Other/Multi-racial,6,0.06354791784368477
BMXBMI,BMI (kg/m²),0.0033566780594523225,0.0015371667734146756,Has_Hypertension,Other/Multi-racial,7,0.042728578991152136
BPXOSY1,Systolic BP (mmHg),0.0019776617530912312,0.0005881322168246884,Has_Hypertension,Other/Multi-racial,8,0.025174495420191293
SMQ040,Smoking Frequency,0.0007953981533903587,0.000349807978347618,Has_Hypertension,Other/Multi-racial,9,0.010124960518883274
LBXTC,Total Cholesterol (mg/dL),0.00046270085900218527,0.00025375706571509625,Has_Hypertension,Other/Multi-racial,10,0.005889915521530413
BPXODI1,Diastolic BP (mmHg),0.00040503798760088694,0.00026487783596548505,Has_Hypertension,Other/Multi-racial,11,0.005155900369678458
LBDHDD,HDL Cholesterol (mg/dL),0.0003893117499459864,0.00012443557112393216,Has_Hypertension,Other/Multi-racial,12,0.004955714419173366
DR1TCARB,Daily Carbohydrates (g),0.0002334472611884908,0.0001470674955228331,Has_Hypertension,Other/Multi-racial,13,0.002971649220833546
ALQ121,Alcohol Days/Year,0.00022610835028287203,0.00040333680760210825,Has_Hypertension,Other/Multi-racial,14,0.0028782291105978555
DR1TSUGR,Daily Sugar (g),0.00021352736015893824,9.944242545931642e-05,Has_Hypertension,Other/Multi-racial,15,0.0027180803501936127
DR1TPROT,Daily Protein (g),0.00019954848224348342,5.836181529708333e-05,Has_Hypertension,Other/Multi-racial,16,0.0025401372830781326
DR1TFIBE,Daily Fiber (g),0.00019430640302515735,8.62594183560523e-05,Has_Hypertension,Other/Multi-racial,17,0.002473408632909439
DR1TKCAL,Daily Calories (kcal),0.0001876664360153213,9.355214568431688e-05,Has_Hypertension,Other/Multi-racial,18,0.00238888567602965
DR1TSFAT,Daily Saturated Fat (g),0.00018591907627589775,6.961074174483361e-05,Has_Hypertension,Other/Multi-racial,19,0.0023666427926403205
DR1TTFAT,Daily Total Fat (g),0.00016774653498574654,5.598099930291298e-05,Has_Hypertension,Other/Multi-racial,20,0.0021353168053894335
DR1TSODI,Daily Sodium (mg),0.00014468138642523832,0.00011020507973239544,Has_Hypertension,Other/Multi-racial,21,0.001841710744648793
ALQ130,Avg Drinks/Day,0.00012406254149992523,3.571630663222894e-05,Has_Hypertension,Other/Multi-racial,22,0.0015792447206532407
