Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
RIDAGEYR,Age (Years),0.18583562405928306,0.0031989186156698222,Has_Hypertension,with_age,1,0.8367840385231796
PAD680,Moderate Activity (min/wk),0.007221458929057134,0.00036701177665176773,Has_Hypertension,with_age,2,0.03251691701887041
BMXBMI,BMI (kg/m²),0.007074429742508037,0.00029108270379395423,Has_Hypertension,with_age,3,0.03185487131517862
BPXOSY1,Systolic BP (mmHg),0.005933687156426337,0.00031020571300391424,Has_Hypertension,with_age,4,0.026718314786101555
INDFMPIR,Income-Poverty Ratio,0.0045686472340473626,0.00020516083373512013,Has_Hypertension,with_age,5,0.020571788118914962
PAD800,Vigorous Activity (min/wk),0.003448458449813274,0.00026068016180371496,Has_Hypertension,with_age,6,0.01552778162379459
SMQ020,Ever Smoked,0.002307435593165497,0.000277692503097078,Has_Hypertension,with_age,7,0.010389963087299151
RIDRETH3,Race Code,0.00164868314028076,0.0001807119856818141,Has_Hypertension,with_age,8,0.007423720523730754
LBXGH,HbA1c (%),0.001504509327686554,0.0001399654428823855,Has_Hypertension,with_age,9,0.006774532049978391
LBXTC,Total Cholesterol (mg/dL),0.0008448916099669912,7.586467956812121e-05,Has_Hypertension,with_age,10,0.003804393356125271
RIAGENDR,Gender,0.0008408850575797433,0.00016299228409157656,Has_Hypertension,with_age,11,0.0037863525789377577
BPXODI1,Diastolic BP (mmHg),0.0004873021068784511,5.047273915310376e-05,Has_Hypertension,with_age,12,0.002194232817516859
SMQ040,Smoking Frequency,0.00023074355931647085,2.0705982227130525e-05,Has_Hypertension,with_age,13,0.00103899630872956
LBDHDD,HDL Cholesterol (mg/dL),3.5511597426707286e-05,1.0721368685251372e-05,Has_Hypertension,with_age,14,0.00015990226879024003
ALQ121,Alcohol Days/Year,2.393209672434393e-05,4.26837759442766e-06,Has_Hypertension,with_age,15,0.00010776188176350633
DR1TFIBE,Daily Fiber (g),1.6932856615003987e-05,3.0422959489374353e-06,Has_Hypertension,with_age,16,7.624557570036681e-05
DR1TSUGR,Daily Sugar (g),8.861440514662534e-06,2.420918988115412e-06,Has_Hypertension,with_age,17,3.990145602345198e-05
DR1TCARB,Daily Carbohydrates (g),8.746698873496328e-06,3.7581441416003642e-06,Has_Hypertension,with_age,18,3.9384795268185785e-05
DR1TSODI,Daily Sodium (mg),8.489000433598015e-06,2.808960930195788e-06,Has_Hypertension,with_age,19,3.8224426031389486e-05
DR1TPROT,Daily Protein (g),7.708381071758197e-06,2.6891056780876394e-06,Has_Hypertension,with_age,20,3.4709438926757004e-05
DR1TSFAT,Daily Saturated Fat (g),7.531566083740504e-06,2.3800276657668667e-06,Has_Hypertension,with_age,21,3.3913273172780395e-05
DR1TTFAT,Daily Total Fat (g),7.082004571801192e-06,2.6527350447888766e-06,Has_Hypertension,with_age,22,3.188897939472007e-05
DR1TKCAL,Daily Calories (kcal),6.604227902118342e-06,2.2831229506791407e-06,Has_Hypertension,with_age,23,2.9737637889595996e-05
ALQ130,Avg Drinks/Day,4.980915831587218e-06,7.310721037198302e-07,Has_Hypertension,with_age,24,2.2428158681620614e-05
