Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Moderate Activity (min/wk),0.051303203582858524,0.0017470753079210071,Has_Hypertension,without_age,1,0.23048570196175228
BPXOSY1,Systolic BP (mmHg),0.03671177053989173,0.0006307784275514892,Has_Hypertension,without_age,2,0.16493196549567718
SMQ020,Ever Smoked,0.026904337862292516,0.0008981762032481443,Has_Hypertension,without_age,3,0.12087091575073776
PAD800,Vigorous Activity (min/wk),0.023052519280639873,0.001361545267861517,Has_Hypertension,without_age,4,0.10356616580100636
INDFMPIR,Income-Poverty Ratio,0.020705277743052208,0.0008217672961051372,Has_Hypertension,without_age,5,0.09302090594036411
LBXGH,HbA1c (%),0.016636979304783785,0.000863406095174488,Has_Hypertension,without_age,6,0.07474359466447533
BMXBMI,BMI (kg/m²),0.01636789134621176,0.0004640413871492046,Has_Hypertension,without_age,7,0.0735346852262809
RIDRETH3,Race Code,0.011410380928329055,0.0005882469124736848,Has_Hypertension,without_age,8,0.05126248409944574
RIAGENDR,Gender,0.010042542062310634,0.0007250341269734192,Has_Hypertension,without_age,9,0.04511730642656138
SMQ040,Smoking Frequency,0.002336489681509879,0.00018277956800148346,Has_Hypertension,without_age,10,0.010496955877217945
BPXODI1,Diastolic BP (mmHg),0.0013285596045393589,0.0001773365949271103,Has_Hypertension,without_age,11,0.005968710951075863
LBXTC,Total Cholesterol (mg/dL),0.0011521339857329504,0.00014481043136936383,Has_Hypertension,without_age,12,0.005176098019430048
ALQ121,Alcohol Days/Year,0.0006717013292385943,9.209835279017636e-05,Has_Hypertension,without_age,13,0.003017697562066617
LBDHDD,HDL Cholesterol (mg/dL),0.0005706647306804924,0.00010316254857406684,Has_Hypertension,without_age,14,0.0025637787087365153
DR1TCARB,Daily Carbohydrates (g),0.0004372051539536792,5.614586832150547e-05,Has_Hypertension,without_age,15,0.0019641957962246814
DR1TFIBE,Daily Fiber (g),0.00043421999027366543,6.172265193667934e-05,Has_Hypertension,without_age,16,0.00195078459578868
DR1TKCAL,Daily Calories (kcal),0.0004045244773452028,4.9235776942184564e-05,Has_Hypertension,without_age,17,0.0018173739963633089
DR1TSFAT,Daily Saturated Fat (g),0.0003961934817944601,5.407844619219043e-05,Has_Hypertension,without_age,18,0.0017799460148055501
DR1TTFAT,Daily Total Fat (g),0.0003955953204520801,4.287119662336499e-05,Has_Hypertension,without_age,19,0.0017772587043208908
DR1TSODI,Daily Sodium (mg),0.00039162826928561544,5.04155260381501e-05,Has_Hypertension,without_age,20,0.0017594362583727725
DR1TSUGR,Daily Sugar (g),0.00039023820251838927,4.700369978167617e-05,Has_Hypertension,without_age,21,0.0017531912192281823
DR1TPROT,Daily Protein (g),0.0003738000516675832,6.493985553280639e-05,Has_Hypertension,without_age,22,0.0016793408848785531
ALQ130,Avg Drinks/Day,0.00016950161911739593,6.963411777049639e-05,Has_Hypertension,without_age,23,0.0007615060451893477
