Feature,Importance,Importance_Normalized,Rank,Target,Model
LBXGH,0.34082296,0.34082296,1,Has_Diabetes,XGBoost
RIDAGEYR,0.08412044,0.08412044,2,Has_Diabetes,XGBoost
LBXTC,0.06358765,0.06358765,3,Has_Diabetes,XGBoost
BMXBMI,0.031649448,0.031649448,4,Has_Diabetes,XGBoost
DR1TTFAT,0.030929836,0.030929836,5,Has_Diabetes,XGBoost
DR1TSFAT,0.030560607,0.030560607,6,Has_Diabetes,XGBoost
BPXODI1,0.029225169,0.029225169,7,Has_Diabetes,XGBoost
DR1TSUGR,0.02668331,0.02668331,8,Has_Diabetes,XGBoost
DR1TCARB,0.026517529,0.026517529,9,Has_Diabetes,XGBoost
PAD680,0.025386008,0.025386008,10,Has_Diabetes,XGBoost
DR1TFIBE,0.025302637,0.025302637,11,Has_Diabetes,XGBoost
RIDRETH3,0.025167694,0.025167694,12,Has_Diabetes,XGBoost
ALQ121,0.024987664,0.024987664,13,Has_Diabetes,XGBoost
ALQ130,0.024701448,0.024701448,14,Has_Diabetes,XGBoost
LBDHDD,0.024444062,0.024444062,15,Has_Diabetes,XGBoost
INDFMPIR,0.024071433,0.024071433,16,Has_Diabetes,XGBoost
PAD800,0.023383914,0.023383914,17,Has_Diabetes,XGBoost
DR1TPROT,0.022432808,0.022432808,18,Has_Diabetes,XGBoost
SMQ040,0.021659374,0.021659374,19,Has_Diabetes,XGBoost
BPXOSY1,0.021488208,0.021488208,20,Has_Diabetes,XGBoost
DR1TKCAL,0.020950014,0.020950014,21,Has_Diabetes,XGBoost
DR1TSODI,0.020052413,0.020052413,22,Has_Diabetes,XGBoost
RIAGENDR,0.018162383,0.018162383,23,Has_Diabetes,XGBoost
SMQ020,0.013713006,0.013713006,24,Has_Diabetes,XGBoost
RIDAGEYR,0.3102299,0.3102299,1,Has_Hypertension,XGBoost
BPXOSY1,0.04679207,0.04679207,2,Has_Hypertension,XGBoost
BMXBMI,0.039573472,0.039573472,3,Has_Hypertension,XGBoost
LBXTC,0.037986998,0.037986998,4,Has_Hypertension,XGBoost
LBXGH,0.035324566,0.035324566,5,Has_Hypertension,XGBoost
RIDRETH3,0.033919394,0.033919394,6,Has_Hypertension,XGBoost
BPXODI1,0.03299804,0.03299804,7,Has_Hypertension,XGBoost
DR1TFIBE,0.030873451,0.030873451,8,Has_Hypertension,XGBoost
RIAGENDR,0.029708518,0.029708518,9,Has_Hypertension,XGBoost
PAD680,0.029100388,0.029100388,10,Has_Hypertension,XGBoost
INDFMPIR,0.028921701,0.028921701,11,Has_Hypertension,XGBoost
DR1TCARB,0.02852676,0.02852676,12,Has_Hypertension,XGBoost
DR1TKCAL,0.028444385,0.028444385,13,Has_Hypertension,XGBoost
PAD800,0.02824925,0.02824925,14,Has_Hypertension,XGBoost
