Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Diabetes,Mexican American,RIAGENDR,0.028225653,0.028225653,13
Has_Diabetes,Mexican American,INDFMPIR,0.028062081,0.028062081,14
Has_Diabetes,Mexican American,BMXBMI,0.08274711,0.08274711,3
Has_Diabetes,Mexican American,PAD680,0.03243752,0.03243752,9
Has_Diabetes,Mexican American,PAD800,0.023668606,0.023668606,17
Has_Diabetes,Mexican American,DR1TKCAL,0.04748507,0.04748507,7
Has_Diabetes,Mexican American,DR1TSODI,0.040850643,0.040850643,8
Has_Diabetes,Mexican American,DR1TCARB,0.030989079,0.030989079,10
Has_Diabetes,Mexican American,DR1TTFAT,0.027910277,0.027910277,15
Has_Diabetes,Mexican American,DR1TSFAT,0.016960237,0.016960237,20
Has_Diabetes,Mexican American,DR1TSUGR,0.0835825,0.0835825,2
Has_Diabetes,Mexican American,DR1TFIBE,0.021002429,0.021002429,18
Has_Diabetes,Mexican American,DR1TPROT,0.024405986,0.024405986,16
Has_Diabetes,Mexican American,SMQ020,0.02965133,0.02965133,12
Has_Diabetes,Mexican American,SMQ040,0.02086126,0.02086126,19
Has_Diabetes,Mexican American,ALQ121,0.048184548,0.048184548,6
Has_Diabetes,Mexican American,ALQ130,0.061983068,0.061983068,4
Has_Diabetes,Mexican American,LBXGH,0.26109442,0.26109442,1
Has_Diabetes,Mexican American,LBXTC,0.058943246,0.058943246,5
Has_Diabetes,Mexican American,LBDHDD,0.030954959,0.030954959,11
Has_Diabetes,Non-Hispanic Asian,RIAGENDR,0.01626373,0.016263729,17
Has_Diabetes,Non-Hispanic Asian,INDFMPIR,0.029128496,0.029128492,14
Has_Diabetes,Non-Hispanic Asian,BMXBMI,0.049103614,0.049103606,9
Has_Diabetes,Non-Hispanic Asian,PAD680,0.0319511,0.031951096,13
Has_Diabetes,Non-Hispanic Asian,PAD800,0.0140213305,0.014021329,18
Has_Diabetes,Non-Hispanic Asian,DR1TKCAL,0.075223304,0.0752233,3
Has_Diabetes,Non-Hispanic Asian,DR1TSODI,0.037070625,0.03707062,12
Has_Diabetes,Non-Hispanic Asian,DR1TCARB,0.06036265,0.06036264,6
Has_Diabetes,Non-Hispanic Asian,DR1TTFAT,0.05709312,0.057093114,7
Has_Diabetes,Non-Hispanic Asian,DR1TSFAT,0.07336782,0.07336781,4
Has_Diabetes,Non-Hispanic Asian,DR1TSUGR,0.076501295,0.07650129,2
Has_Diabetes,Non-Hispanic Asian,DR1TFIBE,0.068037815,0.06803781,5
Has_Diabetes,Non-Hispanic Asian,DR1TPROT,0.050185315,0.050185308,8
Has_Diabetes,Non-Hispanic Asian,SMQ020,0.02057453,0.020574529,16
Has_Diabetes,Non-Hispanic Asian,SMQ040,0.010726174,0.010726173,19
Has_Diabetes,Non-Hispanic Asian,ALQ121,0.04002269,0.040022686,11
Has_Diabetes,Non-Hispanic Asian,ALQ130,0.0,0.0,20
Has_Diabetes,Non-Hispanic Asian,LBXGH,0.21859054,0.21859051,1
Has_Diabetes,Non-Hispanic Asian,LBXTC,0.028127264,0.02812726,15
Has_Diabetes,Non-Hispanic Asian,LBDHDD,0.043648664,0.04364866,10
Has_Diabetes,Non-Hispanic Black,RIAGENDR,0.014510373,0.014510373,20
Has_Diabetes,Non-Hispanic Black,INDFMPIR,0.021040479,0.021040479,18
Has_Diabetes,Non-Hispanic Black,BMXBMI,0.036428627,0.036428627,7
Has_Diabetes,Non-Hispanic Black,PAD680,0.032385137,0.032385137,12
Has_Diabetes,Non-Hispanic Black,PAD800,0.034167126,0.034167126,9
Has_Diabetes,Non-Hispanic Black,DR1TKCAL,0.020631729,0.020631729,19
Has_Diabetes,Non-Hispanic Black,DR1TSODI,0.027704276,0.027704276,17
Has_Diabetes,Non-Hispanic Black,DR1TCARB,0.039555233,0.039555233,5
Has_Diabetes,Non-Hispanic Black,DR1TTFAT,0.03296406,0.03296406,10
Has_Diabetes,Non-Hispanic Black,DR1TSFAT,0.027821664,0.027821664,16
