Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.20827271005691522,0.005526257435749196,Has_Diabetes,Non-Hispanic White,1,0.6525175217495712
DR1TKCAL,Daily Calories (kcal),0.026042088034401667,0.003595113901195948,Has_Diabetes,Non-Hispanic White,2,0.08158975192068245
SMQ020,Ever Smoked,0.01733785984267794,0.002735808753532371,Has_Diabetes,Non-Hispanic White,3,0.05431944172567791
PAD680,Moderate Activity (min/wk),0.015078561196121887,0.0019340608452146349,Has_Diabetes,Non-Hispanic White,4,0.04724106859969301
LBXTC,Total Cholesterol (mg/dL),0.011488765745733941,0.0018970934939531866,Has_Diabetes,Non-Hispanic White,5,0.03599425460166651
DR1TCARB,Daily Carbohydrates (g),0.007090427340958083,0.0018204052795350134,Has_Diabetes,Non-Hispanic White,6,0.02221427893939172
BMXBMI,BMI (kg/m²),0.006890457486196322,0.0020756077326295388,Has_Diabetes,Non-Hispanic White,7,0.021587774228245895
BPXODI1,Diastolic BP (mmHg),0.005931687540741137,0.0012501607516475315,Has_Diabetes,Non-Hispanic White,8,0.018583952034904167
BPXOSY1,Systolic BP (mmHg),0.005491183806081113,0.0011274379611040948,Has_Diabetes,Non-Hispanic White,9,0.017203855693029894
DR1TSUGR,Daily Sugar (g),0.004841998371641831,0.0015495753822025735,Has_Diabetes,Non-Hispanic White,10,0.015169960466331787
LBDHDD,HDL Cholesterol (mg/dL),0.0026511223304072963,0.0013810815607821784,Has_Diabetes,Non-Hispanic White,11,0.008305955074092911
DR1TPROT,Daily Protein (g),0.0020947880944344522,0.0014977291041478678,Has_Diabetes,Non-Hispanic White,12,0.006562962260381319
INDFMPIR,Income-Poverty Ratio,0.0017554448226197784,0.0009272050245414517,Has_Diabetes,Non-Hispanic White,13,0.005499801221729678
SMQ040,Smoking Frequency,0.0013287415522478918,0.000769250747644129,Has_Diabetes,Non-Hispanic White,14,0.004162941676235633
DR1TTFAT,Daily Total Fat (g),0.001109045246199003,0.001028990944501661,Has_Diabetes,Non-Hispanic White,15,0.0034746340764479264
PAD800,Vigorous Activity (min/wk),0.0008248394186349594,0.0003675425032255378,Has_Diabetes,Non-Hispanic White,16,0.0025842184179672863
DR1TFIBE,Daily Fiber (g),0.0006678651760662402,0.0005446681945746862,Has_Diabetes,Non-Hispanic White,17,0.002092418778391531
ALQ130,Avg Drinks/Day,0.00019454306775468222,0.00036950427393742455,Has_Diabetes,Non-Hispanic White,18,0.0006095026103523317
DR1TSODI,Daily Sodium (mg),7.814895354798512e-05,0.00019036073812732455,Has_Diabetes,Non-Hispanic White,19,0.0002448403416967997
DR1TSFAT,Daily Saturated Fat (g),1.895349646111599e-05,7.945759834206403e-05,Has_Diabetes,Non-Hispanic White,20,5.93812244336619e-05
ALQ121,Alcohol Days/Year,4.0258063851550395e-06,0.00016301014523278635,Has_Diabetes,Non-Hispanic White,21,1.261283441679471e-05
RIAGENDR,Gender,-9.935690158513478e-06,9.104508098952126e-05,Has_Diabetes,Non-Hispanic White,22,-3.112847534049533e-05
