Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.3372066596194501,0.02580008218267218,Has_Diabetes,Other/Multi-racial,1,0.813140349060444
SMQ020,Ever Smoked,0.03266913319238879,0.011052322156530582,Has_Diabetes,Other/Multi-racial,2,0.07877836813051158
DR1TTFAT,Daily Total Fat (g),0.01157108879492581,0.0029042459665539998,Has_Diabetes,Other/Multi-racial,3,0.02790253072799235
RIAGENDR,Gender,0.006933139534883515,0.006273536248703032,Has_Diabetes,Other/Multi-racial,4,0.01671857699323672
PAD800,Vigorous Activity (min/wk),0.005356765327695379,0.0042043855769205545,Has_Diabetes,Other/Multi-racial,5,0.012917307248062015
DR1TKCAL,Daily Calories (kcal),0.004301004228329619,0.001864356129722217,Has_Diabetes,Other/Multi-racial,6,0.010371444275392555
LBDHDD,HDL Cholesterol (mg/dL),0.0037063953488369883,0.002336453391232266,Has_Diabetes,Other/Multi-racial,7,0.008937604052987918
DR1TPROT,Daily Protein (g),0.0036152219873148315,0.0019803260825890148,Has_Diabetes,Other/Multi-racial,8,0.008717748552219318
DR1TSFAT,Daily Saturated Fat (g),0.0029505813953486838,0.0016119483859995474,Has_Diabetes,Other/Multi-racial,9,0.007115033814731612
BPXOSY1,Systolic BP (mmHg),0.0017428646934459003,0.001613844399495097,Has_Diabetes,Other/Multi-racial,10,0.00420274500744759
LBXTC,Total Cholesterol (mg/dL),0.0014818974630019578,0.003436453018082187,Has_Diabetes,Other/Multi-racial,11,0.0035734484653923313
ALQ121,Alcohol Days/Year,0.0007419397463000133,0.0014865810711856345,Has_Diabetes,Other/Multi-racial,12,0.0017891139663998839
DR1TSODI,Daily Sodium (mg),0.0007016384778010365,0.001970389090942538,Has_Diabetes,Other/Multi-racial,13,0.0016919314624368263
PAD680,Moderate Activity (min/wk),0.0005609143763211644,0.0015470512349176884,Has_Diabetes,Other/Multi-racial,14,0.0013525892764678505
DR1TCARB,Daily Carbohydrates (g),0.0005364693446086699,0.0007746713375672773,Has_Diabetes,Other/Multi-racial,15,0.0012936425117689458
BMXBMI,BMI (kg/m²),0.00040433403805480996,0.0007428296257600618,Has_Diabetes,Other/Multi-racial,16,0.0009750113512347219
INDFMPIR,Income-Poverty Ratio,0.0003574260042281674,0.0005106516757656939,Has_Diabetes,Other/Multi-racial,17,0.0008618972892450186
DR1TFIBE,Daily Fiber (g),0.0001275105708243296,0.0007443103939340306,Has_Diabetes,Other/Multi-racial,18,0.0003074790699151759
SMQ040,Smoking Frequency,7.069238900617725e-05,0.0008340870495186449,Has_Diabetes,Other/Multi-racial,19,0.0001704676708854775
BPXODI1,Diastolic BP (mmHg),6.078224101458973e-05,0.0006350802786228543,Has_Diabetes,Other/Multi-racial,20,0.0001465703338452949
ALQ130,Avg Drinks/Day,-6.0121564482173985e-05,0.000866426076969574,Has_Diabetes,Other/Multi-racial,21,-0.00014497717804347633
DR1TSUGR,Daily Sugar (g),-0.0003395877378437384,0.0014433331331218512,Has_Diabetes,Other/Multi-racial,22,-0.0008188820825737233
