Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.20464481531358217,0.00244254313277306,Has_Diabetes,without_age,1,0.6575459583710132
SMQ020,Ever Smoked,0.02738528986189457,0.002202119676309557,Has_Diabetes,without_age,2,0.08799190265296858
BPXOSY1,Systolic BP (mmHg),0.01574748982833011,0.001889721699515438,Has_Diabetes,without_age,3,0.05059839055898069
BMXBMI,BMI (kg/m²),0.012073238411391251,0.0024027795314849236,Has_Diabetes,without_age,4,0.03879262276786887
PAD680,Moderate Activity (min/wk),0.009629632851151182,0.0012632766681658393,Has_Diabetes,without_age,5,0.03094105341573708
LBXTC,Total Cholesterol (mg/dL),0.008451742725652822,0.0017938571517922292,Has_Diabetes,without_age,6,0.027156364855512573
DR1TKCAL,Daily Calories (kcal),0.008368296316914048,0.0016246795482572811,Has_Diabetes,without_age,7,0.026888242505465842
BPXODI1,Diastolic BP (mmHg),0.006941844960827848,0.0014305066571326313,Has_Diabetes,without_age,8,0.022304899787644834
DR1TSUGR,Daily Sugar (g),0.005413284637572036,0.0019108981697787233,Has_Diabetes,without_age,9,0.017393469898043128
SMQ040,Smoking Frequency,0.0026029045882350554,0.0006760103748093072,Has_Diabetes,without_age,10,0.008363414384071784
PAD800,Vigorous Activity (min/wk),0.002206381716645012,0.00047787881622284864,Has_Diabetes,without_age,11,0.007089343446989037
DR1TFIBE,Daily Fiber (g),0.0016169313961453048,0.0008951466084859614,Has_Diabetes,without_age,12,0.005195375718995703
DR1TCARB,Daily Carbohydrates (g),0.001247052876310928,0.0008280249091828257,Has_Diabetes,without_age,13,0.004006915970173494
RIAGENDR,Gender,0.001228172865177335,0.0005430106754886424,Has_Diabetes,without_age,14,0.003946252449351474
LBDHDD,HDL Cholesterol (mg/dL),0.0011831857383773237,0.0007001926147455381,Has_Diabetes,without_age,15,0.0038017039380161453
INDFMPIR,Income-Poverty Ratio,0.0010138881498339748,0.0005218099599270184,Has_Diabetes,without_age,16,0.0032577324480076737
DR1TSFAT,Daily Saturated Fat (g),0.0004410367189781828,0.0006035229185857254,Has_Diabetes,without_age,17,0.0014170987504029335
DR1TPROT,Daily Protein (g),0.00039706010767922575,0.0004127210430312739,Has_Diabetes,without_age,18,0.0012757971348297632
RIDRETH3,Race Code,0.00033640359494515606,0.0001679279646461527,Has_Diabetes,without_age,19,0.0010809011892078254
ALQ130,Avg Drinks/Day,0.00019434302336694963,0.00021863198873550038,Has_Diabetes,without_age,20,0.0006244451849743969
ALQ121,Alcohol Days/Year,8.108853923635139e-05,0.00012142328721542295,Has_Diabetes,without_age,21,0.00026054625993514427
DR1TSODI,Daily Sodium (mg),2.640984393892376e-05,9.507630642775457e-05,Has_Diabetes,without_age,22,8.485768924386704e-05
DR1TTFAT,Daily Total Fat (g),-5.3808884486028495e-06,1.1676087827866754e-05,Has_Diabetes,without_age,23,-1.7289377433786604e-05
