Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.09909450104493213,0.014978020003774234,Has_Hypertension,Mexican American,1,0.2662948955326031
DR1TKCAL,Daily Calories (kcal),0.07448145245559044,0.009054595737812862,Has_Hypertension,Mexican American,2,0.20015268649251
BMXBMI,BMI (kg/m²),0.05939328631138983,0.010022877294029928,Has_Hypertension,Mexican American,3,0.15960652515378307
DR1TTFAT,Daily Total Fat (g),0.04223092998955071,0.005189417281330372,Has_Hypertension,Mexican American,4,0.11348642932984643
DR1TSODI,Daily Sodium (mg),0.024035397074190234,0.00453161745728246,Has_Hypertension,Mexican American,5,0.06458989636623692
LBXGH,HbA1c (%),0.015010122779519386,0.005087965347322062,Has_Hypertension,Mexican American,6,0.040336436788669626
SMQ020,Ever Smoked,0.014482432079414864,0.004389518245506852,Has_Hypertension,Mexican American,7,0.03891838292719306
INDFMPIR,Income-Poverty Ratio,0.007766131138976029,0.0015652094788333737,Has_Hypertension,Mexican American,8,0.020869786502163163
DR1TFIBE,Daily Fiber (g),0.006504702194357415,0.003949533120187558,Has_Hypertension,Mexican American,9,0.017479970866715298
LBXTC,Total Cholesterol (mg/dL),0.0060295846394984535,0.004078718624767691,Has_Hypertension,Mexican American,10,0.016203195886239793
DR1TSUGR,Daily Sugar (g),0.005429075235109759,0.0027543086600122727,Has_Hypertension,Mexican American,11,0.014589457611948221
PAD680,Moderate Activity (min/wk),0.0035795454545455075,0.0035888552345313064,Has_Hypertension,Mexican American,12,0.009619249028159362
PAD800,Vigorous Activity (min/wk),0.0034606844305120955,0.0018369354700476176,Has_Hypertension,Mexican American,13,0.009299835905896163
DR1TSFAT,Daily Saturated Fat (g),0.0026384535005225087,0.0030838340852008005,Has_Hypertension,Mexican American,14,0.007090269307382572
DR1TPROT,Daily Protein (g),0.002437957157784798,0.002821223714921452,Has_Hypertension,Mexican American,15,0.006551479040707748
RIAGENDR,Gender,0.002233868861024113,0.0013247167793675179,Has_Hypertension,Mexican American,16,0.0060030361796788514
ALQ130,Avg Drinks/Day,0.0013123693834900974,0.0018722627496443598,Has_Hypertension,Mexican American,17,0.0035267069735607204
BPXODI1,Diastolic BP (mmHg),0.0013097570532915937,0.0023778230030424203,Has_Hypertension,Mexican American,18,0.00351968690493964
DR1TCARB,Daily Carbohydrates (g),0.000886886102403428,0.001301943609163873,Has_Hypertension,Mexican American,19,0.002383313296887696
ALQ121,Alcohol Days/Year,0.0002821316614420533,0.0002604325837878217,Has_Hypertension,Mexican American,20,0.0007581674110865674
LBDHDD,HDL Cholesterol (mg/dL),-0.00019690438871470262,0.00027797102930183945,Has_Hypertension,Mexican American,21,-0.0005291376723206622
SMQ040,Smoking Frequency,-0.00027919278996862973,0.00035058810131030095,Has_Hypertension,Mexican American,22,-0.000750269833887564
