Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.1160056220114952,0.004091434175955849,Has_Hypertension,Non-Hispanic White,1,0.3553555984776177
BMXBMI,BMI (kg/m²),0.07345320303318148,0.00298286389100536,Has_Hypertension,Non-Hispanic White,2,0.22500639599490854
SMQ020,Ever Smoked,0.04213120602772367,0.0028626505376453644,Has_Hypertension,Non-Hispanic White,3,0.12905891691250965
DR1TKCAL,Daily Calories (kcal),0.029459752386779003,0.0016964332761461893,Has_Hypertension,Non-Hispanic White,4,0.09024293615156788
LBXGH,HbA1c (%),0.024779327998969657,0.0016693569213121111,Has_Hypertension,Non-Hispanic White,5,0.07590557059445362
DR1TCARB,Daily Carbohydrates (g),0.022993415227086145,0.0011217508437509531,Has_Hypertension,Non-Hispanic White,6,0.07043485209928793
LBXTC,Total Cholesterol (mg/dL),0.005418794777260827,0.00122582165723658,Has_Hypertension,Non-Hispanic White,7,0.016599187416193494
BPXODI1,Diastolic BP (mmHg),0.004471965611063678,0.0013963904180492638,Has_Hypertension,Non-Hispanic White,8,0.013698801735086495
DR1TPROT,Daily Protein (g),0.002192945116159262,0.000994574346836831,Has_Hypertension,Non-Hispanic White,9,0.00671756515476572
PAD680,Moderate Activity (min/wk),0.002004649590262897,0.0007766552284132846,Has_Hypertension,Non-Hispanic White,10,0.006140766650216259
DR1TTFAT,Daily Total Fat (g),0.0018440906090512522,0.0006701177609204504,Has_Hypertension,Non-Hispanic White,11,0.005648932445372575
DR1TSUGR,Daily Sugar (g),0.001069373561090292,0.0005686125346283205,Has_Hypertension,Non-Hispanic White,12,0.003275771253221903
SMQ040,Smoking Frequency,0.0006975351375718807,0.0007343063946937303,Has_Hypertension,Non-Hispanic White,13,0.002136732789092419
RIAGENDR,Gender,0.0002750792909697042,0.00011554266729466942,Has_Hypertension,Non-Hispanic White,14,0.0008426399029320463
LBDHDD,HDL Cholesterol (mg/dL),0.0001426561267367732,0.0006606726554755254,Has_Hypertension,Non-Hispanic White,15,0.0004369930733876121
PAD800,Vigorous Activity (min/wk),7.557838133727124e-05,0.00031327734502360077,Has_Hypertension,Non-Hispanic White,16,0.00023151637365828964
ALQ121,Alcohol Days/Year,6.132049651446092e-05,0.0002864956295583297,Has_Hypertension,Non-Hispanic White,17,0.00018784073875041733
ALQ130,Avg Drinks/Day,1.656980020289245e-05,8.30613613829369e-05,Has_Hypertension,Non-Hispanic White,18,5.075763713563752e-05
DR1TSFAT,Daily Saturated Fat (g),-8.36217860995081e-05,0.00029595862609186864,Has_Hypertension,Non-Hispanic White,19,-0.0002561554287620084
DR1TFIBE,Daily Fiber (g),-0.00015185870912687305,0.00032521089931800037,Has_Hypertension,Non-Hispanic White,20,-0.00046518299311796343
INDFMPIR,Income-Poverty Ratio,-0.00016223334889634567,0.00015061502175810944,Has_Hypertension,Non-Hispanic White,21,-0.0004969632315266271
DR1TSODI,Daily Sodium (mg),-0.0002459710527586645,0.000286793529653746,Has_Hypertension,Non-Hispanic White,22,-0.0007534737467513736
