Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.08854920215554296,0.006376635278889813,Has_Hypertension,Other/Multi-racial,1,0.23009736774713857
BMXBMI,BMI (kg/m²),0.0690242044271106,0.00727803250936362,Has_Hypertension,Other/Multi-racial,2,0.17936116151131629
SMQ020,Ever Smoked,0.0373613470046759,0.006125779685177912,Has_Hypertension,Other/Multi-racial,3,0.09708441625665432
LBXGH,HbA1c (%),0.03376912485234801,0.004628806134134527,Has_Hypertension,Other/Multi-racial,4,0.0877499350700063
DR1TCARB,Daily Carbohydrates (g),0.024107273909123306,0.0041234715677874074,Has_Hypertension,Other/Multi-racial,5,0.06264336815033984
DR1TTFAT,Daily Total Fat (g),0.022961005920054733,0.004755794187048002,Has_Hypertension,Other/Multi-racial,6,0.05966476144811137
ALQ121,Alcohol Days/Year,0.0178031494411943,0.002930358876286662,Has_Hypertension,Other/Multi-racial,7,0.04626193939988336
ALQ130,Avg Drinks/Day,0.013413781775736832,0.003728291172661804,Has_Hypertension,Other/Multi-racial,8,0.03485605519866762
DR1TFIBE,Daily Fiber (g),0.012106756690640385,0.0026758015463963056,Has_Hypertension,Other/Multi-racial,9,0.03145971706868768
DR1TPROT,Daily Protein (g),0.010680561671314592,0.003104050603408951,Has_Hypertension,Other/Multi-racial,10,0.02775371281509202
DR1TSFAT,Daily Saturated Fat (g),0.009772633550704868,0.0035391917069826024,Has_Hypertension,Other/Multi-racial,11,0.025394438360095403
SMQ040,Smoking Frequency,0.009443780447743433,0.003206082029717687,Has_Hypertension,Other/Multi-racial,12,0.02453990515680365
DR1TSODI,Daily Sodium (mg),0.00929245909430847,0.004286904737568637,Has_Hypertension,Other/Multi-racial,13,0.024146692747637526
DR1TKCAL,Daily Calories (kcal),0.0060773171737504295,0.0030259367190253635,Has_Hypertension,Other/Multi-racial,14,0.015792064192606828
INDFMPIR,Income-Poverty Ratio,0.005929141067846433,0.0022334960799871334,Has_Hypertension,Other/Multi-racial,15,0.015407024789635805
PAD800,Vigorous Activity (min/wk),0.004861853739000355,0.002600736706936465,Has_Hypertension,Other/Multi-racial,16,0.012633651354085493
LBDHDD,HDL Cholesterol (mg/dL),0.0034576754523913842,0.00191992980026217,Has_Hypertension,Other/Multi-racial,17,0.008984858143855691
RIAGENDR,Gender,0.002762575748044671,0.0018381395606971937,Has_Hypertension,Other/Multi-racial,18,0.007178623774730084
LBXTC,Total Cholesterol (mg/dL),0.0015261439964213697,0.0013400606992760944,Has_Hypertension,Other/Multi-racial,19,0.003965724228241098
DR1TSUGR,Daily Sugar (g),0.0014342328741271503,0.0015241202067078036,Has_Hypertension,Other/Multi-racial,20,0.003726890824983141
BPXODI1,Diastolic BP (mmHg),0.00034562775645996524,0.00033766098241332955,Has_Hypertension,Other/Multi-racial,21,0.0008981225696657371
PAD680,Moderate Activity (min/wk),0.00015376765707009188,0.00019532324505888626,Has_Hypertension,Other/Multi-racial,22,0.000399569191762142
