Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
RIDAGEYR,Age (Years),0.26972998884146937,0.003394581908096209,Has_Hypertension,with_age,1,0.8759531855153966
BMXBMI,BMI (kg/m²),0.014217439247216534,0.0008828886624487511,Has_Hypertension,with_age,2,0.04617139996913923
BPXOSY1,Systolic BP (mmHg),0.008508813117354653,0.0006132384887171709,Has_Hypertension,with_age,3,0.027632529801803394
LBXTC,Total Cholesterol (mg/dL),0.0032767579294091464,0.00036167401159951554,Has_Hypertension,with_age,4,0.01064133268516818
DR1TFIBE,Daily Fiber (g),0.002490486130989689,0.00028789105301562366,Has_Hypertension,with_age,5,0.008087900308350634
LBXGH,HbA1c (%),0.0023578541988875878,0.00022667740617362278,Has_Hypertension,with_age,6,0.0076571756272541605
PAD680,Moderate Activity (min/wk),0.001845177260223163,0.0003026653217023692,Has_Hypertension,with_age,7,0.005992247676557041
INDFMPIR,Income-Poverty Ratio,0.001573395694600177,0.00026469012306150596,Has_Hypertension,with_age,8,0.005109631957057872
BPXODI1,Diastolic BP (mmHg),0.0012234562612575828,0.00022572637429173363,Has_Hypertension,with_age,9,0.003973197099775251
DR1TSODI,Daily Sodium (mg),0.0009458943503359741,0.00021877378550628883,Has_Hypertension,with_age,10,0.0030718096007663013
SMQ020,Ever Smoked,0.00035103982449117275,0.00013875266783202705,Has_Hypertension,with_age,11,0.0011400083981263748
LBDHDD,HDL Cholesterol (mg/dL),0.0003306515515684283,0.00010662749982269107,Has_Hypertension,with_age,12,0.001073797100337267
DR1TSUGR,Daily Sugar (g),0.0002807389376736524,5.5434486157911296e-05,Has_Hypertension,with_age,13,0.0009117049528296142
RIDRETH3,Race Code,0.00020749238839690154,0.00011734469243001928,Has_Hypertension,with_age,14,0.000673835413582015
DR1TTFAT,Daily Total Fat (g),0.0001850933152385159,0.00010983494237899359,Has_Hypertension,with_age,15,0.0006010940044048098
DR1TPROT,Daily Protein (g),0.00011813122207707805,7.193033912635632e-05,Has_Hypertension,with_age,16,0.00038363335397630143
ALQ130,Avg Drinks/Day,9.725576743211395e-05,7.696552438531923e-05,Has_Hypertension,with_age,17,0.00031583992442892614
DR1TSFAT,Daily Saturated Fat (g),8.851471159008196e-05,7.719145991666188e-05,Has_Hypertension,with_age,18,0.0002874531820333816
DR1TKCAL,Daily Calories (kcal),7.076549641351625e-05,8.772236638375587e-05,Has_Hypertension,with_age,19,0.00022981227365278324
DR1TCARB,Daily Carbohydrates (g),4.263686524024202e-05,4.7941459237684265e-05,Has_Hypertension,with_age,20,0.00013846401761997428
PAD800,Vigorous Activity (min/wk),1.0127360588219058e-05,1.5038977707605305e-05,Has_Hypertension,with_age,21,3.2888792997086596e-05
ALQ121,Alcohol Days/Year,-2.1293038978908997e-06,5.0398502607202095e-06,Has_Hypertension,with_age,22,-6.914954248502625e-06
RIAGENDR,Gender,-7.954793448705644e-06,3.067739280270225e-05,Has_Hypertension,with_age,23,-2.5833340561942824e-05
SMQ040,Smoking Frequency,-1.4224201480050879e-05,3.3076310322095704e-05,Has_Hypertension,with_age,24,-4.6193360446792764e-05
