Race,Target,Feature,Model,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Mexican American,Has_Diabetes,Gender,LR,4.6,1.9078784028338913,2,8,0.3
Mexican American,Has_Diabetes,Race,LR,23.0,0.0,23,23,0.0
Mexican American,Has_Diabetes,Income_Ratio,LR,20.2,1.4000000000000001,18,22,0.0
Mexican American,Has_Diabetes,BMI,LR,13.1,1.0440306508910548,11,14,0.0
Mexican American,Has_Diabetes,Mod_Activity,LR,13.1,1.1357816691600546,12,15,0.0
Mexican American,Has_Diabetes,Vig_Activity,LR,17.6,2.1071307505705477,14,22,0.0
Mexican American,Has_Diabetes,Calories,LR,10.7,4.8999999999999995,2,20,0.1
Mexican American,Has_Diabetes,Sodium,LR,7.3,2.8301943396169813,2,13,0.1
Mexican American,Has_Diabetes,Carbs,LR,19.4,1.562049935181331,16,21,0.0
Mexican American,Has_Diabetes,Fat,LR,3.5,2.4596747752497685,2,10,0.8
Mexican American,Has_Diabetes,Sat_Fat,LR,3.6,1.3564659966250536,2,6,0.6
Mexican American,Has_Diabetes,Sugar,LR,8.3,2.1,5,12,0.0
Mexican American,Has_Diabetes,Fiber,LR,11.4,1.9078784028338915,9,15,0.0
Mexican American,Has_Diabetes,Protein,LR,17.9,2.0223748416156684,15,21,0.0
Mexican American,Has_Diabetes,Ever_Smoked,LR,7.2,3.5156791662493894,3,14,0.1
Mexican American,Has_Diabetes,Smoke_Freq,LR,20.7,1.9519221295943137,16,22,0.0
Mexican American,Has_Diabetes,Alc_Freq,LR,17.5,1.8027756377319946,15,20,0.0
Mexican American,Has_Diabetes,Alc_Amt,LR,15.0,2.8284271247461903,11,19,0.0
Mexican American,Has_Diabetes,HbA1c,LR,1.0,0.0,1,1,1.0
Mexican American,Has_Diabetes,Cholesterol,LR,6.6,1.2806248474865698,5,9,0.0
Mexican American,Has_Diabetes,HDL,LR,17.9,2.2561028345356955,16,22,0.0
Mexican American,Has_Diabetes,Sys_BP,LR,6.6,1.9595917942265424,4,10,0.0
Mexican American,Has_Diabetes,Dia_BP,LR,9.8,1.7776388834631178,7,13,0.0
Non-Hispanic Asian,Has_Diabetes,Gender,LR,18.4,3.8781438859330635,8,22,0.0
Non-Hispanic Asian,Has_Diabetes,Race,LR,23.0,0.0,23,23,0.0
Non-Hispanic Asian,Has_Diabetes,Income_Ratio,LR,12.0,4.538722287164087,7,21,0.0
Non-Hispanic Asian,Has_Diabetes,BMI,LR,5.2,1.1661903789690602,3,7,0.1
