Race,Target,Feature,Model,Mean_Rank,Std_Rank,Min_Rank,Max_Rank,Top_3_Freq
Mexican American,Has_Diabetes,Gender,RF,12.8,2.85657137141714,8,18,0.0
Mexican American,Has_Diabetes,Race,RF,23.0,0.0,23,23,0.0
Mexican American,Has_Diabetes,Income_Ratio,RF,3.1,0.3,3,4,0.9
Mexican American,Has_Diabetes,BMI,RF,4.6,0.66332495807108,4,6,0.0
Mexican American,Has_Diabetes,Mod_Activity,RF,2.0,0.0,2,2,1.0
Mexican American,Has_Diabetes,Vig_Activity,RF,5.9,0.3,5,6,0.0
Mexican American,Has_Diabetes,Calories,RF,16.8,2.2715633383201093,13,19,0.0
Mexican American,Has_Diabetes,Sodium,RF,15.2,1.9390719429665317,13,19,0.0
Mexican American,Has_Diabetes,Carbs,RF,11.6,0.9165151389911681,10,13,0.0
Mexican American,Has_Diabetes,Fat,RF,15.7,1.9519221295943137,13,20,0.0
Mexican American,Has_Diabetes,Sat_Fat,RF,16.7,1.791647286716892,14,19,0.0
Mexican American,Has_Diabetes,Sugar,RF,10.6,1.1135528725660044,9,12,0.0
Mexican American,Has_Diabetes,Fiber,RF,16.7,2.0024984394500787,13,20,0.0
Mexican American,Has_Diabetes,Protein,RF,18.9,1.3,16,20,0.0
Mexican American,Has_Diabetes,Ever_Smoked,RF,11.0,2.8635642126552705,7,17,0.0
Mexican American,Has_Diabetes,Smoke_Freq,RF,21.2,0.39999999999999997,21,22,0.0
Mexican American,Has_Diabetes,Alc_Freq,RF,17.4,2.1071307505705477,14,20,0.0
Mexican American,Has_Diabetes,Alc_Amt,RF,21.8,0.39999999999999997,21,22,0.0
Mexican American,Has_Diabetes,HbA1c,RF,1.0,0.0,1,1,1.0
Mexican American,Has_Diabetes,Cholesterol,RF,7.9,0.8306623862918073,7,10,0.0
Mexican American,Has_Diabetes,HDL,RF,9.8,1.469693845669907,7,13,0.0
Mexican American,Has_Diabetes,Sys_BP,RF,4.4,0.66332495807108,3,5,0.1
Mexican American,Has_Diabetes,Dia_BP,RF,7.9,1.2206555615733703,7,11,0.0
Non-Hispanic Asian,Has_Diabetes,Gender,RF,12.0,1.3416407864998738,10,15,0.0
Non-Hispanic Asian,Has_Diabetes,Race,RF,23.0,0.0,23,23,0.0
Non-Hispanic Asian,Has_Diabetes,Income_Ratio,RF,5.1,0.9433981132056604,4,7,0.0
Non-Hispanic Asian,Has_Diabetes,BMI,RF,4.4,0.66332495807108,3,5,0.1
Non-Hispanic Asian,Has_Diabetes,Mod_Activity,RF,2.6,0.66332495807108,2,4,0.9
Non-Hispanic Asian,Has_Diabetes,Vig_Activity,RF,5.6,0.7999999999999999,4,6,0.0
Non-Hispanic Asian,Has_Diabetes,Calories,RF,17.5,2.0615528128088303,14,21,0.0
Non-Hispanic Asian,Has_Diabetes,Sodium,RF,14.6,2.009975124224178,12,19,0.0
