Feature,Coefficient,Abs_Coefficient,Rank,Target
LBXGH,1.5028260198175474,1.5028260198175474,1,Has_Diabetes
RIDAGEYR,1.4073234112058575,1.4073234112058575,2,Has_Diabetes
LBXTC,-0.32410014018244115,0.32410014018244115,3,Has_Diabetes
DR1TSUGR,-0.2918161908366341,0.2918161908366341,4,Has_Diabetes
DR1TKCAL,0.28435080297689713,0.28435080297689713,5,Has_Diabetes
DR1TFIBE,-0.24692805005424742,0.24692805005424742,6,Has_Diabetes
INDFMPIR,-0.2453770764432672,0.2453770764432672,7,Has_Diabetes
PAD680,0.21842332936320638,0.21842332936320638,8,Has_Diabetes
LBDHDD,-0.19098200717722855,0.19098200717722855,9,Has_Diabetes
BMXBMI,0.19038625486735222,0.19038625486735222,10,Has_Diabetes
DR1TSFAT,-0.1024398819356863,0.1024398819356863,11,Has_Diabetes
DR1TCARB,0.0905216057330751,0.0905216057330751,12,Has_Diabetes
SMQ020,-0.07829694614921642,0.07829694614921642,13,Has_Diabetes
BPXOSY1,-0.07280412825086231,0.07280412825086231,14,Has_Diabetes
BPXODI1,-0.06740831615099593,0.06740831615099593,15,Has_Diabetes
PAD800,-0.06492159129060478,0.06492159129060478,16,Has_Diabetes
DR1TTFAT,-0.04370386376922352,0.04370386376922352,17,Has_Diabetes
ALQ121,0.038897951750743134,0.038897951750743134,18,Has_Diabetes
ALQ130,-0.03555341096394545,0.03555341096394545,19,Has_Diabetes
DR1TPROT,-0.02994416947258675,0.02994416947258675,20,Has_Diabetes
SMQ040,0.024230821763356947,0.024230821763356947,21,Has_Diabetes
DR1TSODI,0.023602945736482583,0.023602945736482583,22,Has_Diabetes
RIDRETH3,0.022628154176249183,0.022628154176249183,23,Has_Diabetes
RIAGENDR,0.01929032162071972,0.01929032162071972,24,Has_Diabetes
RIDAGEYR,1.714225191634785,1.714225191634785,1,Has_Hypertension
BMXBMI,0.442422758363338,0.442422758363338,2,Has_Hypertension
BPXOSY1,0.3216269398605973,0.3216269398605973,3,Has_Hypertension
DR1TFIBE,-0.16747862015902848,0.16747862015902848,4,Has_Hypertension
LBXTC,-0.16449837976934864,0.16449837976934864,5,Has_Hypertension
BPXODI1,0.1498337607315656,0.1498337607315656,6,Has_Hypertension
PAD680,0.1414885343647331,0.1414885343647331,7,Has_Hypertension
LBXGH,0.14085046315085867,0.14085046315085867,8,Has_Hypertension
INDFMPIR,-0.1287177604008607,0.1287177604008607,9,Has_Hypertension
DR1TSODI,0.11527136618923334,0.11527136618923334,10,Has_Hypertension
SMQ020,-0.08067306813939763,0.08067306813939763,11,Has_Hypertension
RIDRETH3,0.05814048200729444,0.05814048200729444,12,Has_Hypertension
LBDHDD,-0.050658082978808715,0.050658082978808715,13,Has_Hypertension
DR1TSUGR,-0.04943123666120374,0.04943123666120374,14,Has_Hypertension
DR1TTFAT,-0.0443594449142917,0.0443594449142917,15,Has_Hypertension
ALQ130,-0.0424719763459952,0.0424719763459952,16,Has_Hypertension
DR1TKCAL,0.042297290617504896,0.042297290617504896,17,Has_Hypertension
DR1TCARB,0.04003880695978736,0.04003880695978736,18,Has_Hypertension
DR1TPROT,-0.03499684565807939,0.03499684565807939,19,Has_Hypertension
DR1TSFAT,-0.03193620155641376,0.03193620155641376,20,Has_Hypertension
SMQ040,-0.01882293394516043,0.01882293394516043,21,Has_Hypertension
RIAGENDR,0.01197832843578958,0.01197832843578958,22,Has_Hypertension
PAD800,0.00961436683617838,0.00961436683617838,23,Has_Hypertension
ALQ121,0.0037248389369160906,0.0037248389369160906,24,Has_Hypertension
