Feature,Coefficient,Abs_Coefficient,Rank,Target
LBXGH,1.8090748534800423,1.8090748534800423,1,Has_Diabetes
SMQ020,-0.446768115416717,0.446768115416717,2,Has_Diabetes
BPXOSY1,0.3591997989394285,0.3591997989394285,3,Has_Diabetes
BMXBMI,0.30794349169289004,0.30794349169289004,4,Has_Diabetes
BPXODI1,-0.29939808915261323,0.29939808915261323,5,Has_Diabetes
DR1TKCAL,0.2950282082376058,0.2950282082376058,6,Has_Diabetes
LBXTC,-0.28806607318390437,0.28806607318390437,7,Has_Diabetes
PAD680,0.278699492767962,0.278699492767962,8,Has_Diabetes
DR1TSUGR,-0.23393714012487551,0.23393714012487551,9,Has_Diabetes
SMQ040,0.12965231272671293,0.12965231272671293,10,Has_Diabetes
PAD800,-0.11670201722223873,0.11670201722223873,11,Has_Diabetes
INDFMPIR,-0.11406812501384783,0.11406812501384783,12,Has_Diabetes
LBDHDD,-0.11363467156559003,0.11363467156559003,13,Has_Diabetes
DR1TFIBE,-0.11081481211159222,0.11081481211159222,14,Has_Diabetes
DR1TCARB,-0.09727164691248995,0.09727164691248995,15,Has_Diabetes
RIAGENDR,0.09529141921396028,0.09529141921396028,16,Has_Diabetes
DR1TSFAT,-0.07489254399277713,0.07489254399277713,17,Has_Diabetes
DR1TPROT,-0.054699940660040025,0.054699940660040025,18,Has_Diabetes
ALQ130,-0.035657598721921833,0.035657598721921833,19,Has_Diabetes
RIDRETH3,0.029910282594605257,0.029910282594605257,20,Has_Diabetes
ALQ121,-0.023297009689959885,0.023297009689959885,21,Has_Diabetes
DR1TSODI,-0.010970011824802044,0.010970011824802044,22,Has_Diabetes
DR1TTFAT,-0.0014248375318980503,0.0014248375318980503,23,Has_Diabetes
BPXOSY1,0.8723797241370079,0.8723797241370079,1,Has_Hypertension
BMXBMI,0.6448312739290227,0.6448312739290227,2,Has_Hypertension
SMQ020,-0.501657982366087,0.501657982366087,3,Has_Hypertension
LBXGH,0.4171372803215578,0.4171372803215578,4,Has_Hypertension
DR1TCARB,-0.332685389352638,0.332685389352638,5,Has_Hypertension
DR1TKCAL,0.2364592306031297,0.2364592306031297,6,Has_Hypertension
PAD680,0.18177733707288365,0.18177733707288365,7,Has_Hypertension
BPXODI1,-0.17008544712619875,0.17008544712619875,8,Has_Hypertension
LBXTC,-0.13271083675082107,0.13271083675082107,9,Has_Hypertension
DR1TSUGR,0.11864294277228507,0.11864294277228507,10,Has_Hypertension
RIAGENDR,0.09912995692448488,0.09912995692448488,11,Has_Hypertension
DR1TPROT,-0.08093265644036242,0.08093265644036242,12,Has_Hypertension
SMQ040,0.07735412127891962,0.07735412127891962,13,Has_Hypertension
DR1TTFAT,-0.07389680458723301,0.07389680458723301,14,Has_Hypertension
LBDHDD,0.07054476803811696,0.07054476803811696,15,Has_Hypertension
DR1TSODI,0.06307767528167645,0.06307767528167645,16,Has_Hypertension
INDFMPIR,0.04863963712129698,0.04863963712129698,17,Has_Hypertension
ALQ121,-0.04613176961040063,0.04613176961040063,18,Has_Hypertension
RIDRETH3,0.042314056965951787,0.042314056965951787,19,Has_Hypertension
ALQ130,-0.02779544959059514,0.02779544959059514,20,Has_Hypertension
PAD800,-0.022372617763835586,0.022372617763835586,21,Has_Hypertension
DR1TSFAT,-0.017785725998321556,0.017785725998321556,22,Has_Hypertension
DR1TFIBE,0.012511463613238688,0.012511463613238688,23,Has_Hypertension
