Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.1502393329001515,0.0068135327783926496,Has_Diabetes,Mexican American,1,0.3530702228782674
DR1TTFAT,Daily Total Fat (g),0.04582142083604064,0.007930469250470073,Has_Diabetes,Mexican American,2,0.10768271500467665
SMQ020,Ever Smoked,0.04421215074723839,0.0047285736173362045,Has_Diabetes,Mexican American,3,0.10390084684833735
BPXOSY1,Systolic BP (mmHg),0.038379358891054705,0.0065446739280842214,Has_Diabetes,Mexican American,4,0.0901934835306769
RIAGENDR,Gender,0.03157894736842097,0.007601960060695097,Has_Diabetes,Mexican American,5,0.07421216382157021
DR1TSFAT,Daily Saturated Fat (g),0.02223521767381408,0.007003291043529446,Has_Diabetes,Mexican American,6,0.05225391452621666
LBXTC,Total Cholesterol (mg/dL),0.01725416937405234,0.003569550478499663,Has_Diabetes,Mexican American,7,0.04054819273275602
BPXODI1,Diastolic BP (mmHg),0.01599252761533455,0.005424033798943272,Has_Diabetes,Mexican American,8,0.03758326917815622
BMXBMI,BMI (kg/m²),0.009137968377734396,0.00393531511334151,Has_Diabetes,Mexican American,9,0.021474699531083906
DR1TSUGR,Daily Sugar (g),0.008873727528698205,0.0035790671310436365,Has_Diabetes,Mexican American,10,0.02085371983381146
DR1TSODI,Daily Sodium (mg),0.008357158327918501,0.004546760250005013,Has_Diabetes,Mexican American,11,0.01963975542561916
PAD800,Vigorous Activity (min/wk),0.0072054364305825565,0.004580198377028968,Has_Diabetes,Mexican American,12,0.016933149245089634
LBDHDD,HDL Cholesterol (mg/dL),0.007057071691574568,0.003507455634410609,Has_Diabetes,Mexican American,13,0.016584484415063796
DR1TKCAL,Daily Calories (kcal),0.00601905999566813,0.00278205373943402,Has_Diabetes,Mexican American,14,0.014145103104262164
DR1TFIBE,Daily Fiber (g),0.003704245180853294,0.004624741373473289,Has_Diabetes,Mexican American,15,0.008705168256230333
PAD680,Moderate Activity (min/wk),0.002683560753736125,0.0018335030356573935,Has_Diabetes,Mexican American,16,0.0063065069255777385
ALQ121,Alcohol Days/Year,0.00223088585661676,0.0025795825924551942,Has_Diabetes,Mexican American,17,0.005242697444184801
INDFMPIR,Income-Poverty Ratio,0.0014365388780593013,0.0012250794564717077,Has_Diabetes,Mexican American,18,0.003375940854228741
DR1TCARB,Daily Carbohydrates (g),0.0012118258609486233,0.0013629181000236145,Has_Diabetes,Mexican American,19,0.0028478536116712696
DR1TPROT,Daily Protein (g),0.0007613168724279529,0.0010985614599753639,Has_Diabetes,Mexican American,20,0.0017891341277970472
SMQ040,Smoking Frequency,0.0006698072341346451,0.0011532498502997784,Has_Diabetes,Mexican American,21,0.001574081732634986
ALQ130,Avg Drinks/Day,0.000460797054364237,0.00016243321751487248,Has_Diabetes,Mexican American,22,0.0010828969720875683
