Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.1314598940842159,0.013805056729946323,Has_Diabetes,Non-Hispanic Asian,1,0.4270145535597237
BPXOSY1,Systolic BP (mmHg),0.06389983208473254,0.01563167664058119,Has_Diabetes,Non-Hispanic Asian,2,0.20756260652943553
BMXBMI,BMI (kg/m²),0.027081180573495168,0.012596004691372719,Has_Diabetes,Non-Hispanic Asian,3,0.08796643503343406
DR1TFIBE,Daily Fiber (g),0.023785843451304522,0.011210447817759038,Has_Diabetes,Non-Hispanic Asian,4,0.07726235741444884
BPXODI1,Diastolic BP (mmHg),0.013344420046499583,0.007888059589601742,Has_Diabetes,Non-Hispanic Asian,5,0.04334600760456283
DR1TTFAT,Daily Total Fat (g),0.008676698527512239,0.005769299872694313,Has_Diabetes,Non-Hispanic Asian,6,0.028184082863511227
DR1TSFAT,Daily Saturated Fat (g),0.007872642727977209,0.0069315920050990335,Has_Diabetes,Non-Hispanic Asian,7,0.02557230890258285
DR1TKCAL,Daily Calories (kcal),0.0066455696202531115,0.008726791864786395,Has_Diabetes,Non-Hispanic Asian,8,0.021586469122852944
DR1TCARB,Daily Carbohydrates (g),0.006456664944458712,0.006629013581522876,Has_Diabetes,Non-Hispanic Asian,9,0.020972859577815472
PAD680,Moderate Activity (min/wk),0.0055428183931799935,0.003595796466032028,Has_Diabetes,Non-Hispanic Asian,10,0.01800445784712194
SMQ040,Smoking Frequency,0.005239279256006135,0.004654960646021834,Has_Diabetes,Non-Hispanic Asian,11,0.017018486954241373
LBXTC,Total Cholesterol (mg/dL),0.004183350555411969,0.009240451424773113,Has_Diabetes,Non-Hispanic Asian,12,0.013588566933263239
INDFMPIR,Income-Poverty Ratio,0.0029482045982949677,0.004304330650421809,Has_Diabetes,Non-Hispanic Asian,13,0.009576504523403587
ALQ121,Alcohol Days/Year,0.0015467579436837299,0.0038295119769397373,Has_Diabetes,Non-Hispanic Asian,14,0.005024255932869853
SMQ020,Ever Smoked,0.0005166623611468912,0.003459929448278191,Has_Diabetes,Non-Hispanic Asian,15,0.0016782483283070142
LBDHDD,HDL Cholesterol (mg/dL),0.00036973650219574995,0.0009924405264562538,Has_Diabetes,Non-Hispanic Asian,16,0.0012009964599447264
ALQ130,Avg Drinks/Day,0.00036327822268139576,0.000552138047491044,Has_Diabetes,Non-Hispanic Asian,17,0.00118001835584083
PAD800,Vigorous Activity (min/wk),-0.0002357272022733725,0.0005627974665211853,Has_Diabetes,Non-Hispanic Asian,18,-0.000765700799790411
DR1TPROT,Daily Protein (g),-0.0003874967708603072,0.0011604703452639067,Has_Diabetes,Non-Hispanic Asian,19,-0.0012586862462307116
RIAGENDR,Gender,-0.0004133298889176351,0.00044809477547664607,Has_Diabetes,Non-Hispanic Asian,20,-0.0013425986626460081
DR1TSUGR,Daily Sugar (g),-0.0004585378455180478,0.0008224866816754291,Has_Diabetes,Non-Hispanic Asian,21,-0.0014894453913730657
DR1TSODI,Daily Sodium (mg),-0.0005796305864118722,0.004721232301716481,Has_Diabetes,Non-Hispanic Asian,22,-0.001882784843320093
