Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.1904980897127494,0.012594953346305253,Has_Diabetes,Non-Hispanic Black,1,0.5298390830311676
SMQ020,Ever Smoked,0.044976093481191304,0.006239751655921568,Has_Diabetes,Non-Hispanic Black,2,0.12509360153863844
BPXOSY1,Systolic BP (mmHg),0.03195225399000544,0.0032661122949941535,Has_Diabetes,Non-Hispanic Black,3,0.08886993554828497
DR1TSUGR,Daily Sugar (g),0.02005466475017318,0.006467769193958311,Has_Diabetes,Non-Hispanic Black,4,0.05577874926594653
BPXODI1,Diastolic BP (mmHg),0.015642012913988656,0.0034616598828415153,Has_Diabetes,Non-Hispanic Black,5,0.04350568444862867
PAD800,Vigorous Activity (min/wk),0.01353548367877384,0.002052876572604288,Has_Diabetes,Non-Hispanic Black,6,0.03764672008815893
BMXBMI,BMI (kg/m²),0.013138531201358439,0.004650382978634387,Has_Diabetes,Non-Hispanic Black,7,0.03654266210543655
RIAGENDR,Gender,0.006281046822518288,0.0024143537058370678,Has_Diabetes,Non-Hispanic Black,8,0.01746969795832126
DR1TPROT,Daily Protein (g),0.004881472820298926,0.0015030862199278568,Has_Diabetes,Non-Hispanic Black,9,0.013577013222803209
PAD680,Moderate Activity (min/wk),0.004292746866458641,0.0018535354849467433,Has_Diabetes,Non-Hispanic Black,10,0.011939568878821897
DR1TSFAT,Daily Saturated Fat (g),0.0038898363781251556,0.0030997290593961896,Has_Diabetes,Non-Hispanic Black,11,0.010818939669341868
DR1TKCAL,Daily Calories (kcal),0.003213229763243508,0.0015912050811624468,Has_Diabetes,Non-Hispanic Black,12,0.008937069730686406
SMQ040,Smoking Frequency,0.0027438502156055143,0.0014301017785420009,Has_Diabetes,Non-Hispanic Black,13,0.007631567772692469
ALQ121,Alcohol Days/Year,0.0009981530166154329,0.0017816838697987173,Has_Diabetes,Non-Hispanic Black,14,0.0027761983327275323
INDFMPIR,Income-Poverty Ratio,0.000899659648626272,0.0009934149233558976,Has_Diabetes,Non-Hispanic Black,15,0.0025022552403914425
LBDHDD,HDL Cholesterol (mg/dL),0.000626708273442933,0.0008945655196540703,Has_Diabetes,Non-Hispanic Black,16,0.0017430859145608879
DR1TCARB,Daily Carbohydrates (g),0.0005001005414342119,0.0008148670775205515,Has_Diabetes,Non-Hispanic Black,17,0.0013909473459625958
ALQ130,Avg Drinks/Day,0.00046342153671994344,0.000794391082004032,Has_Diabetes,Non-Hispanic Black,18,0.0012889307312363893
DR1TTFAT,Daily Total Fat (g),0.00041482651016957475,0.0008252771807689195,Has_Diabetes,Non-Hispanic Black,19,0.0011537716629950903
DR1TSODI,Daily Sodium (mg),0.00039918673150965975,0.0007128209220264261,Has_Diabetes,Non-Hispanic Black,20,0.0011102721927564385
DR1TFIBE,Daily Fiber (g),0.00011934640620225867,8.357096784391442e-05,Has_Diabetes,Non-Hispanic Black,21,0.0003319423859872854
LBXTC,Total Cholesterol (mg/dL),1.880497196007358e-05,2.876526826679841e-05,Has_Diabetes,Non-Hispanic Black,22,5.230293445344388e-05
