Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.21500933158222163,0.015122542160177815,Has_Diabetes,Other Hispanic,1,0.5976227964083533
SMQ020,Ever Smoked,0.046426004009124264,0.006780025836276641,Has_Diabetes,Other Hispanic,2,0.12904201942225105
BMXBMI,BMI (kg/m²),0.01693163751987282,0.005968108643704353,Has_Diabetes,Other Hispanic,3,0.0470618297723952
PAD680,Moderate Activity (min/wk),0.015400566807216442,0.004725411369634865,Has_Diabetes,Other Hispanic,4,0.04280618768438318
SMQ040,Smoking Frequency,0.013703946913665577,0.006970497150073932,Has_Diabetes,Other Hispanic,5,0.03809039829159502
DR1TTFAT,Daily Total Fat (g),0.011443975945254726,0.006855525915526427,Has_Diabetes,Other Hispanic,6,0.03180876316439172
DR1TSFAT,Daily Saturated Fat (g),0.009366143637243408,0.004716208025225255,Has_Diabetes,Other Hispanic,7,0.02603338613659753
DR1TKCAL,Daily Calories (kcal),0.006762977811571158,0.005381977461473479,Has_Diabetes,Other Hispanic,8,0.018797833945422095
LBXTC,Total Cholesterol (mg/dL),0.0050801824842745865,0.004610236464979043,Has_Diabetes,Other Hispanic,9,0.01412047021482835
BPXOSY1,Systolic BP (mmHg),0.004170180410589641,0.0011616772000626594,Has_Diabetes,Other Hispanic,10,0.011591101000892497
LBDHDD,HDL Cholesterol (mg/dL),0.0032905923826639814,0.0012824143091632245,Has_Diabetes,Other Hispanic,11,0.009146268243783891
RIAGENDR,Gender,0.003065251952719983,0.000971732108005667,Has_Diabetes,Other Hispanic,12,0.008519929950017815
DR1TCARB,Daily Carbohydrates (g),0.0019257620792147879,0.0018511100667259032,Has_Diabetes,Other Hispanic,13,0.0053526947436576666
ALQ121,Alcohol Days/Year,0.0018901638211100912,0.001973079375140466,Has_Diabetes,Other Hispanic,14,0.005253748663507376
DR1TPROT,Daily Protein (g),0.001788898873297895,0.0019093874389999055,Has_Diabetes,Other Hispanic,15,0.004972280687934753
BPXODI1,Diastolic BP (mmHg),0.0011384530310361574,0.0014957653632178363,Has_Diabetes,Other Hispanic,16,0.0031643532816956637
INDFMPIR,Income-Poverty Ratio,0.0010489389645399582,0.0009661968115787735,Has_Diabetes,Other Hispanic,17,0.002915547118987862
ALQ130,Avg Drinks/Day,0.0005768300269578975,0.0005614213418910761,Has_Diabetes,Other Hispanic,18,0.0016033107550546364
PAD800,Vigorous Activity (min/wk),0.0005588580908273855,0.0015267143406494496,Has_Diabetes,Other Hispanic,19,0.0015533573942021024
DR1TSUGR,Daily Sugar (g),0.00023709131126009586,0.0006042244895585781,Has_Diabetes,Other Hispanic,20,0.0006590001066311752
DR1TFIBE,Daily Fiber (g),4.285615538814902e-05,0.00027872962123252405,Has_Diabetes,Other Hispanic,21,0.00011911955280221094
DR1TSODI,Daily Sodium (mg),-8.432985415083306e-05,0.0007462580384319682,Has_Diabetes,Other Hispanic,22,-0.00023439653938488227
