Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
RIDAGEYR,Age (Years),0.12896808118370678,0.004691316191887484,Has_Diabetes,with_age,1,0.46306786071305467
LBXGH,HbA1c (%),0.12052070030344457,0.001315924148406565,Has_Diabetes,with_age,2,0.43273701794212593
LBXTC,Total Cholesterol (mg/dL),0.005788851037906007,0.0008483521227426562,Has_Diabetes,with_age,3,0.02078522717796579
DR1TSUGR,Daily Sugar (g),0.004026946909476903,0.000915594355621826,Has_Diabetes,with_age,4,0.01445900158753467
DR1TKCAL,Daily Calories (kcal),0.0037519928900640485,0.0007828033145974647,Has_Diabetes,with_age,5,0.013471762199343698
INDFMPIR,Income-Poverty Ratio,0.00357886642844083,0.000521286006766327,Has_Diabetes,with_age,6,0.012850140946388183
PAD680,Moderate Activity (min/wk),0.0032206621340996056,0.00035420834883132245,Has_Diabetes,with_age,7,0.01156398630443034
DR1TFIBE,Daily Fiber (g),0.0031296901563339975,0.0008515461462922659,Has_Diabetes,with_age,8,0.011237345799724765
LBDHDD,HDL Cholesterol (mg/dL),0.0019062714041680028,0.0004178525941170074,Has_Diabetes,with_age,9,0.006844585210267269
BMXBMI,BMI (kg/m²),0.001489141691157847,0.0006117446223369667,Has_Diabetes,with_age,10,0.005346855213274291
DR1TSFAT,Daily Saturated Fat (g),0.00041629401242700983,0.00032138428772416326,Has_Diabetes,with_age,11,0.0014947293624353248
DR1TCARB,Daily Carbohydrates (g),0.0003544351141601565,0.00022737952971752724,Has_Diabetes,with_age,12,0.00127262116772864
BPXOSY1,Systolic BP (mmHg),0.000314637005776941,0.00015864672242755303,Has_Diabetes,with_age,13,0.0011297236015999277
PAD800,Vigorous Activity (min/wk),0.0002880438193631374,0.0001400243137855217,Has_Diabetes,with_age,14,0.0010342391233541643
BPXODI1,Diastolic BP (mmHg),0.0002466681129403514,0.00016829357488453434,Has_Diabetes,with_age,15,0.0008856770940300322
SMQ020,Ever Smoked,0.00017678478356378813,0.0002519970465160882,Has_Diabetes,with_age,16,0.0006347566838254704
ALQ130,Avg Drinks/Day,0.00011092646107748738,0.00010197944762110206,Has_Diabetes,with_age,17,0.00039828830944963617
SMQ040,Smoking Frequency,8.315647180177078e-05,7.662637271800682e-05,Has_Diabetes,with_age,18,0.00029857844784742177
ALQ121,Alcohol Days/Year,5.429069145521659e-05,8.369673803175009e-05,Has_Diabetes,with_age,19,0.00019493408072799773
DR1TTFAT,Daily Total Fat (g),4.374210348222496e-05,0.0001411702279459434,Has_Diabetes,with_age,20,0.00015705872411756069
DR1TPROT,Daily Protein (g),2.5535769349360747e-05,0.00011171851211473367,Has_Diabetes,with_age,21,9.168775696853868e-05
RIDRETH3,Race Code,2.1429750667834036e-05,5.6338246585185717e-05,Has_Diabetes,with_age,22,7.694484329989195e-05
DR1TSODI,Daily Sodium (mg),2.0905305914176163e-05,8.228862284892301e-05,Has_Diabetes,with_age,23,7.506179202154807e-05
RIAGENDR,Gender,-3.0102276107313307e-05,5.265046198744651e-05,Has_Diabetes,with_age,24,-0.00010808408151588682
