Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.2047330994340714,0.012405231990665387,Has_Hypertension,Non-Hispanic Asian,1,0.5988318487340426
BMXBMI,BMI (kg/m²),0.035665604710247246,0.009764929715673531,Has_Hypertension,Non-Hispanic Asian,2,0.1043197219398937
DR1TKCAL,Daily Calories (kcal),0.019848503179148068,0.006871102557458275,Has_Hypertension,Non-Hispanic Asian,3,0.05805566313521419
SMQ020,Ever Smoked,0.015526743826538203,0.004900561082329429,Has_Hypertension,Non-Hispanic Asian,4,0.04541478020001298
DR1TCARB,Daily Carbohydrates (g),0.011701684343536235,0.005136401992196706,Has_Hypertension,Non-Hispanic Asian,5,0.03422671413714676
RIAGENDR,Gender,0.010669301393985864,0.005968899278222279,Has_Hypertension,Non-Hispanic Asian,6,0.031207056876109522
LBXGH,HbA1c (%),0.009871489830759129,0.004810831901338593,Has_Hypertension,Non-Hispanic Asian,7,0.02887350663597207
DR1TSFAT,Daily Saturated Fat (g),0.008382062346251573,0.004968408638245672,Has_Hypertension,Non-Hispanic Asian,8,0.02451702194166317
DR1TSUGR,Daily Sugar (g),0.007648774717371765,0.0027161291240284085,Has_Hypertension,Non-Hispanic Asian,9,0.022372200280340628
SMQ040,Smoking Frequency,0.006920191958704714,0.0018066776630850127,Has_Hypertension,Non-Hispanic Asian,10,0.02024114007788989
DR1TTFAT,Daily Total Fat (g),0.002365205468403486,0.0025892745510800916,Has_Hypertension,Non-Hispanic Asian,11,0.006918081967181014
PAD680,Moderate Activity (min/wk),0.002072831390894114,0.002615702324604642,Has_Hypertension,Non-Hispanic Asian,12,0.0060629055944263575
BPXODI1,Diastolic BP (mmHg),0.0016823271632321446,0.00279274738464686,Has_Hypertension,Non-Hispanic Asian,13,0.004920704508057417
DR1TSODI,Daily Sodium (mg),0.0016305735908914265,0.0020506273861636325,Has_Hypertension,Non-Hispanic Asian,14,0.004769328460466425
ALQ130,Avg Drinks/Day,0.0012696428331384845,0.000562584112675944,Has_Hypertension,Non-Hispanic Asian,15,0.0037136279727210428
LBXTC,Total Cholesterol (mg/dL),0.0011271524781224062,0.0014268110113855646,Has_Hypertension,Non-Hispanic Asian,16,0.0032968523611715986
DR1TFIBE,Daily Fiber (g),0.0005316503340458189,0.00119446702892763,Has_Hypertension,Non-Hispanic Asian,17,0.0015550448525264034
PAD800,Vigorous Activity (min/wk),0.0003831108601847322,0.0004890368394989281,Has_Hypertension,Non-Hispanic Asian,18,0.001120575936713108
INDFMPIR,Income-Poverty Ratio,0.0003327015364762209,0.00048777196633123537,Has_Hypertension,Non-Hispanic Asian,19,0.0009731317345140328
DR1TPROT,Daily Protein (g),0.00019760454893742453,0.0010350897773156189,Has_Hypertension,Non-Hispanic Asian,20,0.0005779812726205515
ALQ121,Alcohol Days/Year,-9.947439878477127e-05,0.0005314782389684317,Has_Hypertension,Non-Hispanic Asian,21,-0.00029095655900610414
LBDHDD,HDL Cholesterol (mg/dL),-0.000573322041644786,0.0006759181684733802,Has_Hypertension,Non-Hispanic Asian,22,-0.0016769320596774372
