Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.12336324932768164,0.008790990847041484,Has_Hypertension,Non-Hispanic Black,1,0.36043296803752256
SMQ020,Ever Smoked,0.0585770875392031,0.006522643232543297,Has_Hypertension,Non-Hispanic Black,2,0.17114589341488068
BMXBMI,BMI (kg/m²),0.0561085058515909,0.006098113515254843,Has_Hypertension,Non-Hispanic Black,3,0.16393338702129714
DR1TCARB,Daily Carbohydrates (g),0.02321090682896676,0.0048997287377136964,Has_Hypertension,Non-Hispanic Black,4,0.0678157886145241
LBXGH,HbA1c (%),0.020026706496718505,0.002817647808174915,Has_Hypertension,Non-Hispanic Black,5,0.05851244436221952
RIAGENDR,Gender,0.012651970023168013,0.001604810172836356,Has_Hypertension,Non-Hispanic Black,6,0.03696552362089042
PAD680,Moderate Activity (min/wk),0.011155177037627506,0.0028192539882390083,Has_Hypertension,Non-Hispanic Black,7,0.032592312463951056
DR1TSODI,Daily Sodium (mg),0.009371577880912151,0.002442973823385399,Has_Hypertension,Non-Hispanic Black,8,0.027381133759209503
DR1TSUGR,Daily Sugar (g),0.006456770488017571,0.0021249278821669627,Has_Hypertension,Non-Hispanic Black,9,0.018864880453591016
INDFMPIR,Income-Poverty Ratio,0.0048019547516706005,0.0012318586134881808,Has_Hypertension,Non-Hispanic Black,10,0.014029970943203313
BPXODI1,Diastolic BP (mmHg),0.004512820608327095,0.0019191545948626495,Has_Hypertension,Non-Hispanic Black,11,0.013185201710759778
LBDHDD,HDL Cholesterol (mg/dL),0.003983719093841542,0.000870549786448065,Has_Hypertension,Non-Hispanic Black,12,0.011639314825496102
DR1TSFAT,Daily Saturated Fat (g),0.002308882796844458,0.001488530803111393,Has_Hypertension,Non-Hispanic Black,13,0.006745910827193868
DR1TFIBE,Daily Fiber (g),0.0018458025730611171,0.001574820478843759,Has_Hypertension,Non-Hispanic Black,14,0.00539291971835594
SMQ040,Smoking Frequency,0.0016647794572286823,0.0005958648094742871,Has_Hypertension,Non-Hispanic Black,15,0.004864020720652222
ALQ130,Avg Drinks/Day,0.0010146233899745339,0.0007373022910824574,Has_Hypertension,Non-Hispanic Black,16,0.0029644462340434902
LBXTC,Total Cholesterol (mg/dL),0.0006911283774221011,0.000863279360169879,Has_Hypertension,Non-Hispanic Black,17,0.0020192841362951025
DR1TPROT,Daily Protein (g),0.00031315881612371533,0.0004400219758288338,Has_Hypertension,Non-Hispanic Black,18,0.0009149626179411912
ALQ121,Alcohol Days/Year,0.0002794497791220207,0.0003777539429948705,Has_Hypertension,Non-Hispanic Black,19,0.00081647422433594
DR1TTFAT,Daily Total Fat (g),0.00016640345061355032,0.00034308113072793614,Has_Hypertension,Non-Hispanic Black,20,0.00048618441815693054
DR1TKCAL,Daily Calories (kcal),-8.7438634653636e-05,0.0002304162643044662,Has_Hypertension,Non-Hispanic Black,21,-0.0002554712751254253
PAD800,Vigorous Activity (min/wk),-0.00015318056869559893,0.00038310817752044773,Has_Hypertension,Non-Hispanic Black,22,-0.00044755084939418336
