Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.09449640361065278,0.0034189893928720004,Has_Hypertension,Other Hispanic,1,0.32772801928753803
SMQ020,Ever Smoked,0.06825838308508413,0.003742589175413666,Has_Hypertension,Other Hispanic,2,0.23673054035384233
BMXBMI,BMI (kg/m²),0.04838824704036528,0.006982777166678428,Has_Hypertension,Other Hispanic,3,0.16781786135136323
DR1TKCAL,Daily Calories (kcal),0.022911954683456748,0.0036519323198738823,Has_Hypertension,Other Hispanic,4,0.07946217252196693
LBXGH,HbA1c (%),0.01642198314213735,0.003260129742006646,Has_Hypertension,Other Hispanic,5,0.05695395594229045
PAD680,Moderate Activity (min/wk),0.015728005650983968,0.0029103783656145707,Has_Hypertension,Other Hispanic,6,0.05454713557753961
ALQ121,Alcohol Days/Year,0.005308325013074822,0.0014382892674821158,Has_Hypertension,Other Hispanic,7,0.018410085207447906
DR1TSFAT,Daily Saturated Fat (g),0.004688550644905076,0.0011260256740063587,Has_Hypertension,Other Hispanic,8,0.016260612652679078
DR1TPROT,Daily Protein (g),0.0030988718408488823,0.0010841098330905212,Has_Hypertension,Other Hispanic,9,0.010747362773844672
DR1TTFAT,Daily Total Fat (g),0.0024685697984800914,0.0009968703606717114,Has_Hypertension,Other Hispanic,10,0.008561378630474301
RIAGENDR,Gender,0.0014485740095497967,0.0011932886956608308,Has_Hypertension,Other Hispanic,11,0.005023876812256205
SMQ040,Smoking Frequency,0.0013595981824481517,0.0011061168622779058,Has_Hypertension,Other Hispanic,12,0.004715294998913996
LBXTC,Total Cholesterol (mg/dL),0.0008785513920303468,0.0006617452190374456,Has_Hypertension,Other Hispanic,13,0.003046950958459083
DR1TCARB,Daily Carbohydrates (g),0.0008034992630629456,0.0011466042036874893,Has_Hypertension,Other Hispanic,14,0.002786658665525446
INDFMPIR,Income-Poverty Ratio,0.0005515142870728074,0.0008569716178705149,Has_Hypertension,Other Hispanic,15,0.0019127361254494752
DR1TSUGR,Daily Sugar (g),0.0005240064931979038,0.0006285829310329048,Has_Hypertension,Other Hispanic,16,0.0018173348778132558
PAD800,Vigorous Activity (min/wk),0.0003564127119969229,0.00046545939859215027,Has_Hypertension,Other Hispanic,17,0.0012360939431401118
DR1TFIBE,Daily Fiber (g),0.0002550413975319077,0.0008154523876178462,Has_Hypertension,Other Hispanic,18,0.0008845226787026111
ALQ130,Avg Drinks/Day,0.00023296724195327468,0.000926474231099693,Has_Hypertension,Other Hispanic,19,0.0008079661219574737
LBDHDD,HDL Cholesterol (mg/dL),0.00011121978387719222,0.0006018432094480678,Has_Hypertension,Other Hispanic,20,0.00038572726667823363
DR1TSODI,Daily Sodium (mg),7.607093614808713e-05,0.00022851582369864273,Has_Hypertension,Other Hispanic,21,0.00026382567247618403
BPXODI1,Diastolic BP (mmHg),-2.8866203448851825e-05,0.00019932953736368536,Has_Hypertension,Other Hispanic,22,-0.00010011242035857577
