Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.11926517233423284,0.0026745812916152793,Has_Hypertension,without_age,1,0.38023767465977026
BMXBMI,BMI (kg/m²),0.06716649128751669,0.0024675613711199708,Has_Hypertension,without_age,2,0.21413820952397605
SMQ020,Ever Smoked,0.05267224253358267,0.001929849822349565,Has_Hypertension,without_age,3,0.16792807680651184
LBXGH,HbA1c (%),0.025242600509069145,0.0012671842717647127,Has_Hypertension,without_age,4,0.08047770805240353
DR1TCARB,Daily Carbohydrates (g),0.015236384521736368,0.0008573403132403813,Has_Hypertension,without_age,5,0.04857618789608919
DR1TKCAL,Daily Calories (kcal),0.009452978819031631,0.0006275149232366641,Has_Hypertension,without_age,6,0.030137705873460176
PAD680,Moderate Activity (min/wk),0.0059968985146299225,0.00045127706783117555,Has_Hypertension,without_age,7,0.0191191334548469
BPXODI1,Diastolic BP (mmHg),0.003922301926489557,0.0005892631291229046,Has_Hypertension,without_age,8,0.012504966325478121
LBXTC,Total Cholesterol (mg/dL),0.0031270633509667967,0.0007461254453730787,Has_Hypertension,without_age,9,0.00996961035492602
DR1TSUGR,Daily Sugar (g),0.0028513862125766785,0.00028712941751515635,Has_Hypertension,without_age,10,0.009090704702867268
RIAGENDR,Gender,0.0024412375138051835,0.0006364284181853828,Has_Hypertension,without_age,11,0.007783080822120649
SMQ040,Smoking Frequency,0.001403734189589334,0.0004151305878530565,Has_Hypertension,without_age,12,0.0044753435864248675
DR1TTFAT,Daily Total Fat (g),0.0009365400850675498,0.00025264504619168976,Has_Hypertension,without_age,13,0.0029858492399925415
DR1TPROT,Daily Protein (g),0.0008973059678406226,0.00024824558119815245,Has_Hypertension,without_age,14,0.0028607641945453412
DR1TSODI,Daily Sodium (mg),0.0008367054522255612,0.00016161655442398806,Has_Hypertension,without_age,15,0.0026675594333424764
LBDHDD,HDL Cholesterol (mg/dL),0.0007054071565753217,0.00031176124159644833,Has_Hypertension,without_age,16,0.0022489581128754435
ALQ121,Alcohol Days/Year,0.000485605435398051,0.0002793148051742156,Has_Hypertension,without_age,17,0.0015481928038509293
INDFMPIR,Income-Poverty Ratio,0.0004855565291247865,0.0002523097448951945,Has_Hypertension,without_age,18,0.0015480368823253203
RIDRETH3,Race Code,0.00026256837614281326,0.00014752714527591207,Has_Hypertension,without_age,19,0.0008371126862077109
ALQ130,Avg Drinks/Day,9.329812131817495e-05,0.00011561419473453536,Has_Hypertension,without_age,20,0.000297450295051185
DR1TFIBE,Daily Fiber (g),7.942943082461795e-05,6.431795823018667e-05,Has_Hypertension,without_age,21,0.00025323454857099865
DR1TSFAT,Daily Saturated Fat (g),6.61777117785367e-05,7.585584825307776e-05,Has_Hypertension,without_age,22,0.00021098581210662992
PAD800,Vigorous Activity (min/wk),3.2449312315696587e-05,9.35390235272339e-05,Has_Hypertension,without_age,23,0.00010345393225653012
