Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.056898418886723,0.0028424074377253,Has_Diabetes,Mexican American,1,0.4579826622094576
INDFMPIR,Income-Poverty Ratio,0.0287513536928741,0.0061759146154108,Has_Diabetes,Mexican American,2,0.2314233288732178
PAD680,Sedentary Behavior (min/day),0.0158712367338097,0.0042800036744065,Has_Diabetes,Mexican American,3,0.1277496175487378
PAD800,Moderate Activity (min/wk),0.0072704136885423,0.0011835978326227,Has_Diabetes,Mexican American,4,0.0585204911066463
RIAGENDR,Gender,0.0070413688542343,0.0041914341201265,Has_Diabetes,Mexican American,5,0.0566768798950492
BMXBMI,BMI (kg/m²),0.00301602772363,0.0030943872325467,Has_Diabetes,Mexican American,6,0.0242763934954956
SMQ020,Ever Smoked,0.0013953866146848,0.0006347213995178,Has_Diabetes,Mexican American,7,0.0112316456082391
BPXOSY1,Systolic BP (mmHg),0.0012686809616634,0.0005144206761536,Has_Diabetes,Mexican American,8,0.0102117755762918
BPXODI1,Diastolic BP (mmHg),0.0004570067143166,0.0004038069247138,Has_Diabetes,Mexican American,9,0.003678505585314
ALQ121,Alcohol Days/Year,0.0003422135585878,0.0001828686262637,Has_Diabetes,Mexican American,10,0.0027545207700454
SMQ040,Smoking Frequency,0.0003308425384448,9.605536029321108e-05,Has_Diabetes,Mexican American,11,0.0026629939723065
DR1TSUGR,Daily Sugar (g),0.0002891487979207,0.0003895039012092,Has_Diabetes,Mexican American,12,0.0023273957139306
DR1TSODI,Daily Sodium (mg),0.0002474550573965,0.0002063312160616,Has_Diabetes,Mexican American,13,0.0019917974555548
LBXTC,Total Cholesterol (mg/dL),0.0002100931340697,0.0005333964948906,Has_Diabetes,Mexican American,14,0.0016910665486989
DR1TCARB,Daily Carbohydrates (g),0.000206302794022,0.0002976396017296,Has_Diabetes,Mexican American,15,0.0016605576161192
DR1TTFAT,Daily Total Fat (g),0.0001781459822395,0.0002849265933125,Has_Diabetes,Mexican American,16,0.0014339198312418
DR1TSFAT,Daily Saturated Fat (g),0.0001721897335932,0.0002484052612555,Has_Diabetes,Mexican American,17,0.0013859772229026
DR1TFIBE,Daily Fiber (g),0.0001348278102664,0.0002723952992265,Has_Diabetes,Mexican American,18,0.0010852463160464
DR1TKCAL,Daily Calories (kcal),9.74658869395628e-05,0.0002746415660061,Has_Diabetes,Mexican American,19,0.00078451540919
ALQ130,Avg Drinks/Day,5.360623781675011e-05,9.380066036968275e-05,Has_Diabetes,Mexican American,20,0.0004314834750544
DR1TPROT,Daily Protein (g),4.602555772145189e-05,0.0002650722840137,Has_Diabetes,Mexican American,21,0.0003704656098952
LBDHDD,HDL Cholesterol (mg/dL),-4.115226337449984e-05,0.0003670815733572,Has_Diabetes,Mexican American,22,-0.0003312398394359
