Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.0644189449852166,0.0024659296389346,Has_Diabetes,Non-Hispanic Black,1,0.4360454711583282
PAD680,Sedentary Behavior (min/day),0.0454549686087299,0.0045416066426877,Has_Diabetes,Non-Hispanic Black,2,0.3076801895471777
INDFMPIR,Income-Poverty Ratio,0.0161151162184504,0.002621697107988,Has_Diabetes,Non-Hispanic Black,3,0.1090816287950389
PAD800,Moderate Activity (min/wk),0.007162460062708,0.0013313030729238,Has_Diabetes,Non-Hispanic Black,4,0.0484819841959997
RIAGENDR,Gender,0.0067617838284688,0.0024473384348758,Has_Diabetes,Non-Hispanic Black,5,0.0457698463710032
SMQ020,Ever Smoked,0.0031938662277599,0.0003612669809582,Has_Diabetes,Non-Hispanic Black,6,0.0216189648001817
SMQ040,Smoking Frequency,0.0026939518741668,0.0003617083510959,Has_Diabetes,Non-Hispanic Black,7,0.018235093954403
BMXBMI,BMI (kg/m²),0.0007916707007365,0.0002988657625864,Has_Diabetes,Non-Hispanic Black,8,0.0053587407211364
BPXOSY1,Systolic BP (mmHg),0.0005304491595481,0.000189440890375,Has_Diabetes,Non-Hispanic Black,9,0.0035905579290965
LBXTC,Total Cholesterol (mg/dL),0.0001874911560775,6.125014028488863e-05,Has_Diabetes,Non-Hispanic Black,10,0.0012691091030538
BPXODI1,Diastolic BP (mmHg),0.0001539773446635,7.828329723386385e-05,Has_Diabetes,Non-Hispanic Black,11,0.001042257426242
LBDHDD,HDL Cholesterol (mg/dL),0.000100355246401,5.764280544092175e-05,Has_Diabetes,Non-Hispanic Black,12,0.0006792947433428
DR1TSUGR,Daily Sugar (g),9.71900531008374e-05,6.220346016792209e-05,Has_Diabetes,Non-Hispanic Black,13,0.0006578698627551
ALQ121,Alcohol Days/Year,3.463093846122201e-05,2.59356388095453e-05,Has_Diabetes,Non-Hispanic Black,14,0.0002344133993725
DR1TSFAT,Daily Saturated Fat (g),2.04806625308418e-05,2.460217118730696e-05,Has_Diabetes,Non-Hispanic Black,15,0.0001386315802741
DR1TPROT,Daily Protein (g),7.447513647595994e-06,2.6722982458134448e-05,Has_Diabetes,Non-Hispanic Black,16,5.0411483736179215e-05
DR1TTFAT,Daily Total Fat (g),4.468508188559817e-06,2.389015652046172e-05,Has_Diabetes,Non-Hispanic Black,17,3.024689024172256e-05
DR1TCARB,Daily Carbohydrates (g),3.5375689826033786e-06,2.4846835422015595e-05,Has_Diabetes,Non-Hispanic Black,18,2.394545477465319e-05
DR1TKCAL,Daily Calories (kcal),2.42044193549118e-06,2.014015488347941e-05,Has_Diabetes,Non-Hispanic Black,19,1.6383732214410424e-05
DR1TSODI,Daily Sodium (mg),1.1171270471677098e-06,2.1523829834169327e-05,Has_Diabetes,Non-Hispanic Black,20,7.561722560618515e-06
DR1TFIBE,Daily Fiber (g),3.3306690738754695e-17,2.2404517596953133e-05,Has_Diabetes,Non-Hispanic Black,21,2.254496974335409e-16
ALQ130,Avg Drinks/Day,-1.8618784118795688e-06,1.4325578531565242e-05,Has_Diabetes,Non-Hispanic Black,22,-1.2602870933913292e-05
