Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.0812785671221089,0.0021533690899663,Has_Diabetes,Non-Hispanic White,1,0.4120835961917148
PAD680,Sedentary Behavior (min/day),0.037768650111692,0.0029418178884987,Has_Diabetes,Non-Hispanic White,2,0.1914876419751632
INDFMPIR,Income-Poverty Ratio,0.0277556483673906,0.0037785777993231,Has_Diabetes,Non-Hispanic White,3,0.1407215677988476
SMQ020,Ever Smoked,0.0166580299700352,0.0019884566898226,Has_Diabetes,Non-Hispanic White,4,0.0844564703657802
PAD800,Moderate Activity (min/wk),0.0147894599879934,0.0017201673379636,Has_Diabetes,Non-Hispanic White,5,0.0749827915695138
RIAGENDR,Gender,0.006945594930447,0.0011324189400752,Has_Diabetes,Non-Hispanic White,6,0.0352142740450823
BMXBMI,BMI (kg/m²),0.003588072405255,0.0006193304438879,Has_Diabetes,Non-Hispanic White,7,0.018191582756773
SMQ040,Smoking Frequency,0.0020497634758233,0.0003312742192297,Has_Diabetes,Non-Hispanic White,8,0.0103923326206123
LBXTC,Total Cholesterol (mg/dL),0.0019155752973944,0.0002200983918555,Has_Diabetes,Non-Hispanic White,9,0.0097119964743028
LBDHDD,HDL Cholesterol (mg/dL),0.0007458692005844,0.0001558913800277,Has_Diabetes,Non-Hispanic White,10,0.0037815684177072
BPXOSY1,Systolic BP (mmHg),0.0006499744924908,0.00013448952866,Has_Diabetes,Non-Hispanic White,11,0.0032953807600483
BPXODI1,Diastolic BP (mmHg),0.0006001189062174,9.558731579167676e-05,Has_Diabetes,Non-Hispanic White,12,0.0030426121642278
DR1TSUGR,Daily Sugar (g),0.0003624675036909,5.1773182396218565e-05,Has_Diabetes,Non-Hispanic White,13,0.001837715866708
ALQ121,Alcohol Days/Year,0.0003320324074194,7.313968927585328e-05,Has_Diabetes,Non-Hispanic White,14,0.0016834094564687
DR1TSODI,Daily Sodium (mg),0.0002969917886432,6.959992359363624e-05,Has_Diabetes,Non-Hispanic White,15,0.0015057529756851
DR1TCARB,Daily Carbohydrates (g),0.000272434369694,6.484158477406439e-05,Has_Diabetes,Non-Hispanic White,16,0.0013812464806508
DR1TPROT,Daily Protein (g),0.0002511942152061,7.476349566339997e-05,Has_Diabetes,Non-Hispanic White,17,0.0012735585678962
DR1TTFAT,Daily Total Fat (g),0.0002470717894678,5.999189839115242e-05,Has_Diabetes,Non-Hispanic White,18,0.0012526578054514
DR1TKCAL,Daily Calories (kcal),0.0002259926672353,5.563328600090982e-05,Has_Diabetes,Non-Hispanic White,19,0.00114578632873
DR1TFIBE,Daily Fiber (g),0.0002191971060572,6.436053734221308e-05,Has_Diabetes,Non-Hispanic White,20,0.0011113327281369
DR1TSFAT,Daily Saturated Fat (g),0.0002119023448873,5.7125813003281145e-05,Has_Diabetes,Non-Hispanic White,21,0.0010743481758413
ALQ130,Avg Drinks/Day,7.344681169025868e-05,5.862062703093309e-05,Has_Diabetes,Non-Hispanic White,22,0.0003723764746574
