Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.0747608350951374,0.0038409676758424,Has_Diabetes,Other/Multi-racial,1,0.5772012690899095
PAD680,Sedentary Behavior (min/day),0.0219873150105707,0.0030603946180497,Has_Diabetes,Other/Multi-racial,2,0.1697560776552445
INDFMPIR,Income-Poverty Ratio,0.0190228594080337,0.0045934554977319,Has_Diabetes,Other/Multi-racial,3,0.1468685920651278
RIAGENDR,Gender,0.0051929175475687,0.0047183240422263,Has_Diabetes,Other/Multi-racial,4,0.0400926313212206
SMQ020,Ever Smoked,0.0029314217758984,0.0012356772564925,Has_Diabetes,Other/Multi-racial,5,0.0226324434061392
PAD800,Moderate Activity (min/wk),0.002112843551797,0.0005340767865755,Has_Diabetes,Other/Multi-racial,6,0.0163124980871834
BMXBMI,BMI (kg/m²),0.0020414904862579,0.0028923736491096,Has_Diabetes,Other/Multi-racial,7,0.0157616069697928
BPXOSY1,Systolic BP (mmHg),0.0003072145877378,0.0001066230402465,Has_Diabetes,Other/Multi-racial,8,0.0023718923109881
LBDHDD,HDL Cholesterol (mg/dL),0.0002338794926004,0.0001469377879983,Has_Diabetes,Other/Multi-racial,9,0.0018056986625586
BPXODI1,Diastolic BP (mmHg),0.0002186839323466,0.0001372061490604,Has_Diabetes,Other/Multi-racial,10,0.001688379257929
SMQ040,Smoking Frequency,0.0002133985200845,0.0001537276603355,Has_Diabetes,Other/Multi-racial,11,0.0016475725084926
ALQ121,Alcohol Days/Year,0.0001169397463001,7.642459858335622e-05,Has_Diabetes,Other/Multi-racial,12,0.0009028493312791
DR1TCARB,Daily Carbohydrates (g),0.0001004228329809,7.332021352539533e-05,Has_Diabetes,Other/Multi-racial,13,0.0007753282392907
LBXTC,Total Cholesterol (mg/dL),8.258456659617774e-05,0.0001098889992244,Has_Diabetes,Other/Multi-racial,14,0.0006376054599429
DR1TSUGR,Daily Sugar (g),7.46564482029033e-05,9.592559132973672e-05,Has_Diabetes,Other/Multi-racial,15,0.0005763953357881
DR1TPROT,Daily Protein (g),4.690803382659814e-05,9.635237333028914e-05,Has_Diabetes,Other/Multi-racial,16,0.0003621599012473
DR1TFIBE,Daily Fiber (g),2.4445031712438943e-05,8.409298951111077e-05,Has_Diabetes,Other/Multi-racial,17,0.0001887312161428
DR1TKCAL,Daily Calories (kcal),1.9159619450292985e-05,6.868812150303385e-05,Has_Diabetes,Other/Multi-racial,18,0.0001479244667066
ALQ130,Avg Drinks/Day,1.3874207188147023e-05,6.913152047327579e-05,Has_Diabetes,Other/Multi-racial,19,0.0001071177172703
DR1TTFAT,Daily Total Fat (g),7.928118393230044e-06,5.666432780760223e-05,Has_Diabetes,Other/Multi-racial,20,6.121012415449966e-05
DR1TSFAT,Daily Saturated Fat (g),7.267441860447921e-06,4.552919438165968e-05,Has_Diabetes,Other/Multi-racial,21,5.610928047485802e-05
DR1TSODI,Daily Sodium (mg),5.946088794905879e-06,7.252110004680582e-05,Has_Diabetes,Other/Multi-racial,22,4.590759311574617e-05
