Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Sedentary Behavior (min/day),0.0601931658186641,0.0058585254070151,Has_Hypertension,Non-Hispanic Black,1,0.4562037691160533
INDFMPIR,Income-Poverty Ratio,0.0183924700343423,0.0020301855286788,Has_Hypertension,Non-Hispanic Black,2,0.1393964586992917
BPXOSY1,Systolic BP (mmHg),0.0124273672683389,0.0010976467960406,Has_Hypertension,Non-Hispanic Black,3,0.0941869680867952
PAD800,Moderate Activity (min/wk),0.012405391211067,0.0007843251265759,Has_Hypertension,Non-Hispanic Black,4,0.0940204116343911
LBXGH,HbA1c (%),0.0082747305139418,0.0008858136721601,Has_Hypertension,Non-Hispanic Black,5,0.0627141503115524
RIAGENDR,Gender,0.0066844461661092,0.0012398781133847,Has_Hypertension,Non-Hispanic Black,6,0.05066139143801
BMXBMI,BMI (kg/m²),0.0041435111034961,0.001175057786345,Has_Hypertension,Non-Hispanic Black,7,0.031403654502635
SMQ020,Ever Smoked,0.0039992699479279,0.0007856966202993,Has_Hypertension,Non-Hispanic Black,8,0.0303104513468136
SMQ040,Smoking Frequency,0.0014424115556814,0.0002608276473889,Has_Hypertension,Non-Hispanic Black,9,0.0109320315582137
BPXODI1,Diastolic BP (mmHg),0.0006449414095965,0.0004647750487157,Has_Hypertension,Non-Hispanic Black,10,0.0048880084294509
LBDHDD,HDL Cholesterol (mg/dL),0.0004976273307658,0.0001966044704944,Has_Hypertension,Non-Hispanic Black,11,0.0037715156002002
LBXTC,Total Cholesterol (mg/dL),0.0004289987112346,0.0002600102266729,Has_Hypertension,Non-Hispanic Black,12,0.0032513795602773
DR1TCARB,Daily Carbohydrates (g),0.0003155799071791,5.721994581192769e-05,Has_Hypertension,Non-Hispanic Black,13,0.0023917788864293
DR1TSUGR,Daily Sugar (g),0.0002907171644182,0.0001019009980458,Has_Hypertension,Non-Hispanic Black,14,0.0022033442559554
DR1TKCAL,Daily Calories (kcal),0.0002799153735557,5.053053295923746e-05,Has_Hypertension,Non-Hispanic Black,15,0.0021214775251126
DR1TTFAT,Daily Total Fat (g),0.0002762837369727,7.955105673945809e-05,Has_Hypertension,Non-Hispanic Black,16,0.0020939533656054
DR1TPROT,Daily Protein (g),0.000273955764804,7.849518958462496e-05,Has_Hypertension,Non-Hispanic Black,17,0.0020763096736131
DR1TSFAT,Daily Saturated Fat (g),0.0002612915962067,6.121559407940282e-05,Has_Hypertension,Non-Hispanic Black,18,0.001980327989177
DR1TFIBE,Daily Fiber (g),0.0002395017767084,4.618133529139115e-05,Has_Hypertension,Non-Hispanic Black,19,0.0018151830321324
DR1TSODI,Daily Sodium (mg),0.0002209711182461,4.832331932630008e-05,Has_Hypertension,Non-Hispanic Black,20,0.0016747392438766
ALQ121,Alcohol Days/Year,0.0001700350871965,0.0003409967861135,Has_Hypertension,Non-Hispanic Black,21,0.0012886952630924
ALQ130,Avg Drinks/Day,8.101343146830198e-05,0.0001226683621389,Has_Hypertension,Non-Hispanic Black,22,0.0006140004813205
