Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Sedentary Behavior (min/day),0.0592765443626937,0.0022083549092305,Has_Hypertension,Non-Hispanic White,1,0.2249592899304577
PAD800,Moderate Activity (min/wk),0.0461801684027497,0.0022398668922207,Has_Hypertension,Non-Hispanic White,2,0.1752574817652453
SMQ020,Ever Smoked,0.0340758552959927,0.0011385647936245,Has_Hypertension,Non-Hispanic White,3,0.1293206325297197
BPXOSY1,Systolic BP (mmHg),0.0324995153993527,0.0015083166418363,Has_Hypertension,Non-Hispanic White,4,0.1233382948673313
INDFMPIR,Income-Poverty Ratio,0.0275632025501907,0.0010218038766205,Has_Hypertension,Non-Hispanic White,5,0.1046045875407456
BMXBMI,BMI (kg/m²),0.0210025147714648,0.0013956158595762,Has_Hypertension,Non-Hispanic White,6,0.0797062457088207
LBXGH,HbA1c (%),0.0184974095599954,0.0011777343466765,Has_Hypertension,Non-Hispanic White,7,0.0701991684047678
RIAGENDR,Gender,0.0121421988955612,0.0008328803399119,Has_Hypertension,Non-Hispanic White,8,0.0460806288744953
SMQ040,Smoking Frequency,0.0025949285978779,0.0002900612699647,Has_Hypertension,Non-Hispanic White,9,0.0098479643352195
LBXTC,Total Cholesterol (mg/dL),0.0019619016952971,0.0001943022955196,Has_Hypertension,Non-Hispanic White,10,0.0074455759361907
BPXODI1,Diastolic BP (mmHg),0.0015644261265756,0.0002123802680679,Has_Hypertension,Non-Hispanic White,11,0.0059371239394414
ALQ121,Alcohol Days/Year,0.0008810909149452,0.0001586823240223,Has_Hypertension,Non-Hispanic White,12,0.0033438114303271
LBDHDD,HDL Cholesterol (mg/dL),0.0007069115966061,0.0001201858027395,Has_Hypertension,Non-Hispanic White,13,0.002682786800848
DR1TFIBE,Daily Fiber (g),0.0006658316294494,6.952009016712664e-05,Has_Hypertension,Non-Hispanic White,14,0.0025268849961581
DR1TCARB,Daily Carbohydrates (g),0.0005769484648945,8.434354658817017e-05,Has_Hypertension,Non-Hispanic White,15,0.0021895661831264
DR1TTFAT,Daily Total Fat (g),0.0005294479416546,6.285399323238923e-05,Has_Hypertension,Non-Hispanic White,16,0.0020092978477458
DR1TSUGR,Daily Sugar (g),0.0005288747927164,9.4589797845329e-05,Has_Hypertension,Non-Hispanic White,17,0.0020071227010744
DR1TSODI,Daily Sodium (mg),0.0005152802150918,8.901146819794465e-05,Has_Hypertension,Non-Hispanic White,18,0.0019555301772149
DR1TPROT,Daily Protein (g),0.0005083444689516,9.667480436486535e-05,Has_Hypertension,Non-Hispanic White,19,0.0019292084585047
DR1TKCAL,Daily Calories (kcal),0.0005070500539338,9.032742948590218e-05,Has_Hypertension,Non-Hispanic White,20,0.0019242960486062
DR1TSFAT,Daily Saturated Fat (g),0.000495548435915,6.791911936736724e-05,Has_Hypertension,Non-Hispanic White,21,0.001880646476075
ALQ130,Avg Drinks/Day,0.0002249899376941,0.0001098017884464,Has_Hypertension,Non-Hispanic White,22,0.0008538550478833
