Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Sedentary Behavior (min/day),0.0229333976361718,0.0048801429655866,Has_Hypertension,Other/Multi-racial,1,0.2919289473332913
INDFMPIR,Income-Poverty Ratio,0.0153201512514591,0.0029056489044456,Has_Hypertension,Other/Multi-racial,2,0.1950167044054192
PAD800,Moderate Activity (min/wk),0.0107053741796147,0.0023481602711218,Has_Hypertension,Other/Multi-racial,3,0.1362732493738592
SMQ020,Ever Smoked,0.0095521167515885,0.0018469829172693,Has_Hypertension,Other/Multi-racial,4,0.1215929463368168
LBXGH,HbA1c (%),0.0057910996484313,0.001027947185838,Has_Hypertension,Other/Multi-racial,5,0.0737173641293457
RIAGENDR,Gender,0.0049922067755622,0.0022147232910775,Has_Hypertension,Other/Multi-racial,6,0.0635479178436847
BMXBMI,BMI (kg/m²),0.0033566780594523,0.0015371667734146,Has_Hypertension,Other/Multi-racial,7,0.0427285789911521
BPXOSY1,Systolic BP (mmHg),0.0019776617530912,0.0005881322168246,Has_Hypertension,Other/Multi-racial,8,0.0251744954201912
SMQ040,Smoking Frequency,0.0007953981533903,0.0003498079783476,Has_Hypertension,Other/Multi-racial,9,0.0101249605188832
LBXTC,Total Cholesterol (mg/dL),0.0004627008590021,0.000253757065715,Has_Hypertension,Other/Multi-racial,10,0.0058899155215304
BPXODI1,Diastolic BP (mmHg),0.0004050379876008,0.0002648778359654,Has_Hypertension,Other/Multi-racial,11,0.0051559003696784
LBDHDD,HDL Cholesterol (mg/dL),0.0003893117499459,0.0001244355711239,Has_Hypertension,Other/Multi-racial,12,0.0049557144191733
DR1TCARB,Daily Carbohydrates (g),0.0002334472611884,0.0001470674955228,Has_Hypertension,Other/Multi-racial,13,0.0029716492208335
ALQ121,Alcohol Days/Year,0.0002261083502828,0.0004033368076021,Has_Hypertension,Other/Multi-racial,14,0.0028782291105978
DR1TSUGR,Daily Sugar (g),0.0002135273601589,9.944242545931642e-05,Has_Hypertension,Other/Multi-racial,15,0.0027180803501936
DR1TPROT,Daily Protein (g),0.0001995484822434,5.836181529708333e-05,Has_Hypertension,Other/Multi-racial,16,0.0025401372830781
DR1TFIBE,Daily Fiber (g),0.0001943064030251,8.62594183560523e-05,Has_Hypertension,Other/Multi-racial,17,0.0024734086329094
DR1TKCAL,Daily Calories (kcal),0.0001876664360153,9.355214568431688e-05,Has_Hypertension,Other/Multi-racial,18,0.0023888856760296
DR1TSFAT,Daily Saturated Fat (g),0.0001859190762758,6.961074174483361e-05,Has_Hypertension,Other/Multi-racial,19,0.0023666427926403
DR1TTFAT,Daily Total Fat (g),0.0001677465349857,5.598099930291298e-05,Has_Hypertension,Other/Multi-racial,20,0.0021353168053894
DR1TSODI,Daily Sodium (mg),0.0001446813864252,0.0001102050797323,Has_Hypertension,Other/Multi-racial,21,0.0018417107446487
ALQ130,Avg Drinks/Day,0.0001240625414999,3.571630663222894e-05,Has_Hypertension,Other/Multi-racial,22,0.0015792447206532
