Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
RIDAGEYR,Age (Years),0.185835624059283,0.0031989186156698,Has_Hypertension,with_age,1,0.8367840385231796
PAD680,Sedentary Behavior (min/day),0.0072214589290571,0.0003670117766517,Has_Hypertension,with_age,2,0.0325169170188704
BMXBMI,BMI (kg/m²),0.007074429742508,0.0002910827037939,Has_Hypertension,with_age,3,0.0318548713151786
BPXOSY1,Systolic BP (mmHg),0.0059336871564263,0.0003102057130039,Has_Hypertension,with_age,4,0.0267183147861015
INDFMPIR,Income-Poverty Ratio,0.0045686472340473,0.0002051608337351,Has_Hypertension,with_age,5,0.0205717881189149
PAD800,Moderate Activity (min/wk),0.0034484584498132,0.0002606801618037,Has_Hypertension,with_age,6,0.0155277816237945
SMQ020,Ever Smoked,0.0023074355931654,0.000277692503097,Has_Hypertension,with_age,7,0.0103899630872991
RIDRETH3,Race Code,0.0016486831402807,0.0001807119856818,Has_Hypertension,with_age,8,0.0074237205237307
LBXGH,HbA1c (%),0.0015045093276865,0.0001399654428823,Has_Hypertension,with_age,9,0.0067745320499783
LBXTC,Total Cholesterol (mg/dL),0.0008448916099669,7.586467956812121e-05,Has_Hypertension,with_age,10,0.0038043933561252
RIAGENDR,Gender,0.0008408850575797,0.0001629922840915,Has_Hypertension,with_age,11,0.0037863525789377
BPXODI1,Diastolic BP (mmHg),0.0004873021068784,5.047273915310376e-05,Has_Hypertension,with_age,12,0.0021942328175168
SMQ040,Smoking Frequency,0.0002307435593164,2.0705982227130525e-05,Has_Hypertension,with_age,13,0.0010389963087295
LBDHDD,HDL Cholesterol (mg/dL),3.5511597426707286e-05,1.0721368685251372e-05,Has_Hypertension,with_age,14,0.0001599022687902
ALQ121,Alcohol Days/Year,2.393209672434393e-05,4.26837759442766e-06,Has_Hypertension,with_age,15,0.0001077618817635
DR1TFIBE,Daily Fiber (g),1.6932856615003987e-05,3.042295948937436e-06,Has_Hypertension,with_age,16,7.624557570036681e-05
DR1TSUGR,Daily Sugar (g),8.861440514662534e-06,2.420918988115412e-06,Has_Hypertension,with_age,17,3.990145602345198e-05
DR1TCARB,Daily Carbohydrates (g),8.746698873496328e-06,3.758144141600364e-06,Has_Hypertension,with_age,18,3.9384795268185785e-05
DR1TSODI,Daily Sodium (mg),8.489000433598015e-06,2.808960930195788e-06,Has_Hypertension,with_age,19,3.8224426031389486e-05
DR1TPROT,Daily Protein (g),7.708381071758197e-06,2.6891056780876394e-06,Has_Hypertension,with_age,20,3.4709438926757004e-05
DR1TSFAT,Daily Saturated Fat (g),7.531566083740504e-06,2.3800276657668667e-06,Has_Hypertension,with_age,21,3.3913273172780395e-05
DR1TTFAT,Daily Total Fat (g),7.082004571801192e-06,2.6527350447888766e-06,Has_Hypertension,with_age,22,3.188897939472007e-05
DR1TKCAL,Daily Calories (kcal),6.604227902118342e-06,2.2831229506791407e-06,Has_Hypertension,with_age,23,2.9737637889596e-05
ALQ130,Avg Drinks/Day,4.980915831587218e-06,7.310721037198302e-07,Has_Hypertension,with_age,24,2.242815868162061e-05
