Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Sedentary Behavior (min/day),0.0513032035828585,0.001747075307921,Has_Hypertension,without_age,1,0.2304857019617522
BPXOSY1,Systolic BP (mmHg),0.0367117705398917,0.0006307784275514,Has_Hypertension,without_age,2,0.1649319654956771
SMQ020,Ever Smoked,0.0269043378622925,0.0008981762032481,Has_Hypertension,without_age,3,0.1208709157507377
PAD800,Moderate Activity (min/wk),0.0230525192806398,0.0013615452678615,Has_Hypertension,without_age,4,0.1035661658010063
INDFMPIR,Income-Poverty Ratio,0.0207052777430522,0.0008217672961051,Has_Hypertension,without_age,5,0.0930209059403641
LBXGH,HbA1c (%),0.0166369793047837,0.0008634060951744,Has_Hypertension,without_age,6,0.0747435946644753
BMXBMI,BMI (kg/m²),0.0163678913462117,0.0004640413871492,Has_Hypertension,without_age,7,0.0735346852262809
RIDRETH3,Race Code,0.011410380928329,0.0005882469124736,Has_Hypertension,without_age,8,0.0512624840994457
RIAGENDR,Gender,0.0100425420623106,0.0007250341269734,Has_Hypertension,without_age,9,0.0451173064265613
SMQ040,Smoking Frequency,0.0023364896815098,0.0001827795680014,Has_Hypertension,without_age,10,0.0104969558772179
BPXODI1,Diastolic BP (mmHg),0.0013285596045393,0.0001773365949271,Has_Hypertension,without_age,11,0.0059687109510758
LBXTC,Total Cholesterol (mg/dL),0.0011521339857329,0.0001448104313693,Has_Hypertension,without_age,12,0.00517609801943
ALQ121,Alcohol Days/Year,0.0006717013292385,9.209835279017636e-05,Has_Hypertension,without_age,13,0.0030176975620666
LBDHDD,HDL Cholesterol (mg/dL),0.0005706647306804,0.000103162548574,Has_Hypertension,without_age,14,0.0025637787087365
DR1TCARB,Daily Carbohydrates (g),0.0004372051539536,5.614586832150547e-05,Has_Hypertension,without_age,15,0.0019641957962246
DR1TFIBE,Daily Fiber (g),0.0004342199902736,6.172265193667934e-05,Has_Hypertension,without_age,16,0.0019507845957886
DR1TKCAL,Daily Calories (kcal),0.0004045244773452,4.923577694218456e-05,Has_Hypertension,without_age,17,0.0018173739963633
DR1TSFAT,Daily Saturated Fat (g),0.0003961934817944,5.407844619219043e-05,Has_Hypertension,without_age,18,0.0017799460148055
DR1TTFAT,Daily Total Fat (g),0.000395595320452,4.287119662336499e-05,Has_Hypertension,without_age,19,0.0017772587043208
DR1TSODI,Daily Sodium (mg),0.0003916282692856,5.04155260381501e-05,Has_Hypertension,without_age,20,0.0017594362583727
DR1TSUGR,Daily Sugar (g),0.0003902382025183,4.700369978167617e-05,Has_Hypertension,without_age,21,0.0017531912192281
DR1TPROT,Daily Protein (g),0.0003738000516675,6.493985553280639e-05,Has_Hypertension,without_age,22,0.0016793408848785
ALQ130,Avg Drinks/Day,0.0001695016191173,6.963411777049639e-05,Has_Hypertension,without_age,23,0.0007615060451893
