Feature,Importance,Importance_Normalized,Rank,Target
LBXGH,0.2940319435334494,0.2940319435334493,1,Has_Diabetes
PAD680,0.1020574635027742,0.1020574635027741,2,Has_Diabetes
BMXBMI,0.07617757405891,0.07617757405891,3,Has_Diabetes
INDFMPIR,0.0756724664144915,0.0756724664144914,4,Has_Diabetes
BPXOSY1,0.0479894879118391,0.0479894879118391,5,Has_Diabetes
PAD800,0.0477565735240688,0.0477565735240688,6,Has_Diabetes
LBXTC,0.0398043666969816,0.0398043666969816,7,Has_Diabetes
SMQ020,0.035158680546995,0.035158680546995,8,Has_Diabetes
LBDHDD,0.0340478009823765,0.0340478009823765,9,Has_Diabetes
RIDRETH3,0.0338577758254482,0.0338577758254482,10,Has_Diabetes
BPXODI1,0.0277806039402837,0.0277806039402837,11,Has_Diabetes
DR1TSUGR,0.0213032588917542,0.0213032588917542,12,Has_Diabetes
DR1TCARB,0.0189768024251371,0.0189768024251371,13,Has_Diabetes
DR1TPROT,0.0175512956457999,0.0175512956457999,14,Has_Diabetes
DR1TFIBE,0.0170510097652667,0.0170510097652667,15,Has_Diabetes
DR1TSFAT,0.0169573374200868,0.0169573374200868,16,Has_Diabetes
ALQ121,0.0169036884691927,0.0169036884691927,17,Has_Diabetes
DR1TTFAT,0.0163276433532518,0.0163276433532518,18,Has_Diabetes
DR1TSODI,0.0161008653218731,0.0161008653218731,19,Has_Diabetes
DR1TKCAL,0.0157567573539687,0.0157567573539687,20,Has_Diabetes
RIAGENDR,0.012477674489174,0.012477674489174,21,Has_Diabetes
SMQ040,0.0089574831288605,0.0089574831288605,22,Has_Diabetes
ALQ130,0.0073014467980158,0.0073014467980158,23,Has_Diabetes
PAD680,0.1185961726252087,0.1185961726252087,1,Has_Hypertension
BPXOSY1,0.1094941326163401,0.1094941326163401,2,Has_Hypertension
LBXGH,0.0894913702660315,0.0894913702660315,3,Has_Hypertension
BMXBMI,0.0847487623838093,0.0847487623838093,4,Has_Hypertension
INDFMPIR,0.0846756775141149,0.0846756775141149,5,Has_Hypertension
PAD800,0.0632669407039507,0.0632669407039507,6,Has_Hypertension
SMQ020,0.0492147055266056,0.0492147055266056,7,Has_Hypertension
BPXODI1,0.0461177451203344,0.0461177451203344,8,Has_Hypertension
LBXTC,0.0373485113861908,0.0373485113861908,9,Has_Hypertension
RIDRETH3,0.0343787873766314,0.0343787873766314,10,Has_Hypertension
LBDHDD,0.0308588656260738,0.0308588656260738,11,Has_Hypertension
ALQ121,0.0268869379215437,0.0268869379215437,12,Has_Hypertension
DR1TSUGR,0.0245142960764886,0.0245142960764886,13,Has_Hypertension
DR1TFIBE,0.024473640486387,0.024473640486387,14,Has_Hypertension
DR1TPROT,0.0238668326839056,0.0238668326839056,15,Has_Hypertension
DR1TSODI,0.023845489268658,0.023845489268658,16,Has_Hypertension
DR1TCARB,0.023830808078891,0.023830808078891,17,Has_Hypertension
DR1TSFAT,0.0233258639683362,0.0233258639683362,18,Has_Hypertension
DR1TTFAT,0.023123541101051,0.023123541101051,19,Has_Hypertension
DR1TKCAL,0.0221687328840565,0.0221687328840565,20,Has_Hypertension
ALQ130,0.0132524006869164,0.0132524006869164,21,Has_Hypertension
RIAGENDR,0.0131203163830326,0.0131203163830326,22,Has_Hypertension
SMQ040,0.0093994693154415,0.0093994693154415,23,Has_Hypertension
