Feature,Importance,Importance_Normalized,Rank,Target
LBXGH,0.2552311754049255,0.2552311754049254,1,Has_Diabetes
RIDAGEYR,0.2083643102841531,0.208364310284153,2,Has_Diabetes
PAD680,0.0605342042378275,0.0605342042378275,3,Has_Diabetes
BMXBMI,0.059190822323395,0.059190822323395,4,Has_Diabetes
INDFMPIR,0.0482231770395415,0.0482231770395415,5,Has_Diabetes
LBXTC,0.0388807858651562,0.0388807858651562,6,Has_Diabetes
BPXOSY1,0.0335695793323417,0.0335695793323417,7,Has_Diabetes
PAD800,0.0320136090715714,0.0320136090715714,8,Has_Diabetes
LBDHDD,0.0319685685663847,0.0319685685663847,9,Has_Diabetes
BPXODI1,0.024667285847961,0.024667285847961,10,Has_Diabetes
RIDRETH3,0.023388359961154,0.023388359961154,11,Has_Diabetes
SMQ020,0.0232635562476792,0.0232635562476792,12,Has_Diabetes
DR1TSUGR,0.0184310356886017,0.0184310356886017,13,Has_Diabetes
DR1TCARB,0.0162199899092523,0.0162199899092523,14,Has_Diabetes
DR1TFIBE,0.0159404275459391,0.0159404275459391,15,Has_Diabetes
DR1TSFAT,0.0156332452948266,0.0156332452948266,16,Has_Diabetes
DR1TPROT,0.0155173629483045,0.0155173629483045,17,Has_Diabetes
DR1TSODI,0.0149399381694296,0.0149399381694296,18,Has_Diabetes
DR1TKCAL,0.0144062097081528,0.0144062097081528,19,Has_Diabetes
DR1TTFAT,0.0142370198182079,0.0142370198182079,20,Has_Diabetes
ALQ121,0.0133341758673644,0.0133341758673644,21,Has_Diabetes
RIAGENDR,0.0093276755201459,0.0093276755201459,22,Has_Diabetes
SMQ040,0.0066305767433476,0.0066305767433476,23,Has_Diabetes
ALQ130,0.0060869086043357,0.0060869086043357,24,Has_Diabetes
RIDAGEYR,0.2815443680277564,0.2815443680277564,1,Has_Hypertension
BPXOSY1,0.0744606290651617,0.0744606290651617,2,Has_Hypertension
PAD680,0.066288308820839,0.066288308820839,3,Has_Hypertension
BMXBMI,0.0656522035935449,0.0656522035935449,4,Has_Hypertension
LBXGH,0.0617834318249394,0.0617834318249394,5,Has_Hypertension
INDFMPIR,0.0488885252120571,0.0488885252120571,6,Has_Hypertension
BPXODI1,0.0405518182049947,0.0405518182049947,7,Has_Hypertension
PAD800,0.0401401628279257,0.0401401628279257,8,Has_Hypertension
LBXTC,0.0346533800813003,0.0346533800813003,9,Has_Hypertension
SMQ020,0.0307936232170051,0.0307936232170051,10,Has_Hypertension
LBDHDD,0.0248348191854004,0.0248348191854004,11,Has_Hypertension
RIDRETH3,0.0241865585370346,0.0241865585370346,12,Has_Hypertension
DR1TFIBE,0.0216499754860105,0.0216499754860105,13,Has_Hypertension
DR1TSUGR,0.0202937648681895,0.0202937648681895,14,Has_Hypertension
DR1TCARB,0.0202567789540091,0.0202567789540091,15,Has_Hypertension
DR1TSODI,0.019884224843541,0.019884224843541,16,Has_Hypertension
DR1TPROT,0.0198247753137028,0.0198247753137028,17,Has_Hypertension
ALQ121,0.0197654933222148,0.0197654933222148,18,Has_Hypertension
DR1TSFAT,0.0197613391268964,0.0197613391268964,19,Has_Hypertension
DR1TTFAT,0.0191003539990143,0.0191003539990143,20,Has_Hypertension
DR1TKCAL,0.0184542403825633,0.0184542403825633,21,Has_Hypertension
ALQ130,0.0099697145011237,0.0099697145011237,22,Has_Hypertension
RIAGENDR,0.0097751348558533,0.0097751348558533,23,Has_Hypertension
SMQ040,0.007486375748921,0.007486375748921,24,Has_Hypertension
