Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Sedentary Behavior (min/day),0.0324141048824592,0.0071735366960221,Has_Diabetes,Non-Hispanic Asian,1,0.407394630572865
LBXGH,HbA1c (%),0.0304394859209506,0.0024203371848752,Has_Diabetes,Non-Hispanic Asian,2,0.3825767568335438
PAD800,Moderate Activity (min/wk),0.008999612503229,0.0028331004467496,Has_Diabetes,Non-Hispanic Asian,3,0.1131110615069305
BPXOSY1,Systolic BP (mmHg),0.0022474812709893,0.0004126355452165,Has_Diabetes,Non-Hispanic Asian,4,0.0282473264473708
INDFMPIR,Income-Poverty Ratio,0.0020424308964091,0.0012433079191861,Has_Diabetes,Non-Hispanic Asian,5,0.0256701637614397
RIAGENDR,Gender,0.0008508783260139,0.0005341298783511,Has_Diabetes,Non-Hispanic Asian,6,0.0106942105156351
SMQ020,Ever Smoked,0.0004730689744251,0.0002654040554705,Has_Diabetes,Non-Hispanic Asian,7,0.0059457375352577
BMXBMI,BMI (kg/m²),0.000318070266081,0.0003302614427873,Has_Diabetes,Non-Hispanic Asian,8,0.0039976460561286
LBXTC,Total Cholesterol (mg/dL),0.0002438000516661,0.0002857788685094,Has_Diabetes,Non-Hispanic Asian,9,0.0030641855557129
DR1TFIBE,Daily Fiber (g),0.0002147377938516,0.0001333462696328,Has_Diabetes,Non-Hispanic Asian,10,0.0026989184033761
ALQ121,Alcohol Days/Year,0.0001598424179798,3.78305816128366e-05,Has_Diabetes,Non-Hispanic Asian,11,0.0020089693378514
DR1TSODI,Daily Sodium (mg),0.0001533841384654,0.0001582360854882,Has_Diabetes,Non-Hispanic Asian,12,0.001927798859554
LBDHDD,HDL Cholesterol (mg/dL),0.0001469258589511,0.0001983293896197,Has_Diabetes,Non-Hispanic Asian,13,0.0018466283812573
DR1TTFAT,Daily Total Fat (g),0.0001469258589511,0.0001180845679619,Has_Diabetes,Non-Hispanic Asian,14,0.0018466283812571
DR1TSUGR,Daily Sugar (g),0.0001275510204081,0.0001594178256005,Has_Diabetes,Non-Hispanic Asian,15,0.0016031169463661
DR1TSFAT,Daily Saturated Fat (g),0.0001243218806509,0.0001364383198031,Has_Diabetes,Non-Hispanic Asian,16,0.0015625317072179
DR1TPROT,Daily Protein (g),0.0001243218806509,0.0001214796196459,Has_Diabetes,Non-Hispanic Asian,17,0.0015625317072177
BPXODI1,Diastolic BP (mmHg),0.0001146344613794,0.0002338006455012,Has_Diabetes,Non-Hispanic Asian,18,0.0014407759897718
DR1TCARB,Daily Carbohydrates (g),0.0001001033324721,8.866914374672772e-05,Has_Diabetes,Non-Hispanic Asian,19,0.0012581424136036
DR1TKCAL,Daily Calories (kcal),9.525962283641886e-05,0.000129457900319,Has_Diabetes,Non-Hispanic Asian,20,0.0011972645548806
SMQ040,Smoking Frequency,1.6145698785807737e-05,1.614569878587435e-05,Has_Diabetes,Non-Hispanic Asian,21,0.0002029261957421
ALQ130,Avg Drinks/Day,1.1301989150058755e-05,1.7760268664437156e-05,Has_Diabetes,Non-Hispanic Asian,22,0.0001420483370194
