Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.0651890509435266,0.0038066241285411,Has_Diabetes,Other Hispanic,1,0.5135145436527407
PAD680,Sedentary Behavior (min/day),0.0222236814819934,0.0064298609395184,Has_Diabetes,Other Hispanic,2,0.1750628899996739
SMQ020,Ever Smoked,0.0209891477154903,0.0032897224968627,Has_Diabetes,Other Hispanic,3,0.1653380813921833
PAD800,Moderate Activity (min/wk),0.00479608764775,0.0008155718617982,Has_Diabetes,Other Hispanic,4,0.0377802824877215
RIAGENDR,Gender,0.0027445220156217,0.0015114434149542,Has_Diabetes,Other Hispanic,5,0.0216194583292494
INDFMPIR,Income-Poverty Ratio,0.0023857745213243,0.0009070288463866,Has_Diabetes,Other Hispanic,6,0.0187934921101634
BPXOSY1,Systolic BP (mmHg),0.0017422409621897,0.0004978870321976,Has_Diabetes,Other Hispanic,7,0.0137241769849824
SMQ040,Smoking Frequency,0.0010869565217391,0.0001688653225433,Has_Diabetes,Other Hispanic,8,0.0085622964923171
BMXBMI,BMI (kg/m²),0.0009245178682518,0.0002783267087593,Has_Diabetes,Other Hispanic,9,0.007282716412384
BPXODI1,Diastolic BP (mmHg),0.0006058616160917,0.0003375291632652,Has_Diabetes,Other Hispanic,10,0.0047725614470688
LBXTC,Total Cholesterol (mg/dL),0.0005833966959286,0.0003720189237813,Has_Diabetes,Other Hispanic,11,0.0045955982445247
DR1TSFAT,Daily Saturated Fat (g),0.0004368562936337,0.0002103209100404,Has_Diabetes,Other Hispanic,12,0.0034412536617767
LBDHDD,HDL Cholesterol (mg/dL),0.0004292527821939,0.000289478626911,Has_Diabetes,Other Hispanic,13,0.0033813584239926
DR1TSUGR,Daily Sugar (g),0.0004140457593142,0.0002083614850971,Has_Diabetes,Other Hispanic,14,0.0032615679484245
DR1TTFAT,Daily Total Fat (g),0.0003469966129812,0.0001841328953073,Has_Diabetes,Other Hispanic,15,0.0027334008516012
DR1TCARB,Daily Carbohydrates (g),0.0003418124006359,0.000234368449056,Has_Diabetes,Other Hispanic,16,0.0026925631894758
DR1TKCAL,Daily Calories (kcal),0.0003414667864795,0.0002046654548227,Has_Diabetes,Other Hispanic,17,0.0026898406786673
DR1TPROT,Daily Protein (g),0.0003279878343816,0.0002036805418451,Has_Diabetes,Other Hispanic,18,0.0025836627571407
DR1TFIBE,Daily Fiber (g),0.0002847860648371,0.0002023434376548,Has_Diabetes,Other Hispanic,19,0.0022433489060949
DR1TSODI,Daily Sodium (mg),0.0002796018524918,0.0001998740781609,Has_Diabetes,Other Hispanic,20,0.0022025112439692
ALQ121,Alcohol Days/Year,0.0002789106241791,0.0001856887440478,Has_Diabetes,Other Hispanic,21,0.0021970662223527
ALQ130,Avg Drinks/Day,0.0001938895417156,9.962384260314292e-05,Has_Diabetes,Other Hispanic,22,0.0015273285634943
