Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.0588066468554463,0.0006978377226137,Has_Diabetes,with_age,1,0.4637295930596692
RIDAGEYR,Age (Years),0.0523527913422785,0.0021778858242197,Has_Diabetes,with_age,2,0.4128366421634213
PAD680,Sedentary Behavior (min/day),0.0041759105384232,0.0002460402133125,Has_Diabetes,with_age,3,0.0329298369858888
INDFMPIR,Income-Poverty Ratio,0.0039847738764774,0.0006885270744017,Has_Diabetes,with_age,4,0.0314225970529481
RIDRETH3,Race Code,0.0014392384277641,0.0001408919971735,Has_Diabetes,with_age,5,0.0113493539610158
PAD800,Moderate Activity (min/wk),0.0013185990792968,6.907865730545242e-05,Has_Diabetes,with_age,6,0.0103980323168949
SMQ020,Ever Smoked,0.0011967957193029,0.0001761242220143,Has_Diabetes,with_age,7,0.0094375316663118
BMXBMI,BMI (kg/m²),0.0011198984743178,0.0001211938022771,Has_Diabetes,with_age,8,0.0088311456533157
LBXTC,Total Cholesterol (mg/dL),0.0010478917832554,8.694520822247435e-05,Has_Diabetes,with_age,9,0.0082633249165546
RIAGENDR,Gender,0.0007097613580237,0.0002341354964274,Has_Diabetes,with_age,10,0.0055969412188197
BPXOSY1,Systolic BP (mmHg),0.0001555213202569,3.106406679604554e-05,Has_Diabetes,with_age,11,0.0012263892333823
LBDHDD,HDL Cholesterol (mg/dL),0.0001431307799782,2.513240781747287e-05,Has_Diabetes,with_age,12,0.0011286815675236
BPXODI1,Diastolic BP (mmHg),0.000137754155308,2.103264317972305e-05,Has_Diabetes,with_age,13,0.0010862832995783
SMQ040,Smoking Frequency,5.797459606676769e-05,2.435415666741941e-05,Has_Diabetes,with_age,14,0.0004571683181992
DR1TSUGR,Daily Sugar (g),3.216168111581652e-05,9.181649736402083e-06,Has_Diabetes,with_age,15,0.0002536162847817
DR1TCARB,Daily Carbohydrates (g),1.9754085723167057e-05,9.14484669325997e-06,Has_Diabetes,with_age,16,0.0001557741279856
DR1TFIBE,Daily Fiber (g),1.9297861425204844e-05,5.801158556590405e-06,Has_Diabetes,with_age,17,0.000152176495416
DR1TSFAT,Daily Saturated Fat (g),1.7438854005558112e-05,5.364538269232178e-06,Has_Diabetes,with_age,18,0.0001375169832638
DR1TSODI,Daily Sodium (mg),1.5430614338951543e-05,4.218402811460203e-06,Has_Diabetes,with_age,19,0.0001216806754116
DR1TTFAT,Daily Total Fat (g),1.5034082939779924e-05,4.1424182460117744e-06,Has_Diabetes,with_age,20,0.000118553761122
ALQ121,Alcohol Days/Year,1.4761201116708644e-05,4.160180707527738e-06,Has_Diabetes,with_age,21,0.0001164019061272
DR1TPROT,Daily Protein (g),1.40619414450871e-05,6.34569429843928e-06,Has_Diabetes,with_age,22,0.0001108877777028
DR1TKCAL,Daily Calories (kcal),1.331578021015467e-05,5.398928587377614e-06,Has_Diabetes,with_age,23,0.0001050037992015
ALQ130,Avg Drinks/Day,4.42153828945635e-06,1.9934293034457434e-06,Has_Diabetes,with_age,24,3.4866775463451585e-05
