Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
LBXGH,HbA1c (%),0.081374860489168,0.0009015077798182,Has_Diabetes,without_age,1,0.4033800634019202
PAD680,Sedentary Behavior (min/day),0.0452351891685017,0.0026730387428356,Has_Diabetes,without_age,2,0.2242335454107105
INDFMPIR,Income-Poverty Ratio,0.0205075636019309,0.0017211873077682,Has_Diabetes,without_age,3,0.1016572225898557
SMQ020,Ever Smoked,0.0147119544751254,0.0015430097010962,Has_Diabetes,without_age,4,0.0729280405922442
PAD800,Moderate Activity (min/wk),0.0110019256929152,0.0009446395426403,Has_Diabetes,without_age,5,0.0545372054326545
RIDRETH3,Race Code,0.0107596919095997,0.0008042404202575,Has_Diabetes,without_age,6,0.0533364380422773
RIAGENDR,Gender,0.0062890348920342,0.0010205693650026,Has_Diabetes,without_age,7,0.0311751231060281
BMXBMI,BMI (kg/m²),0.0038152375163388,0.0007401569930056,Has_Diabetes,without_age,8,0.0189123611639126
SMQ040,Smoking Frequency,0.0016750680157944,0.0003807456267358,Has_Diabetes,without_age,9,0.008303412606202
LBXTC,Total Cholesterol (mg/dL),0.0014210789951945,0.0001157993372496,Has_Diabetes,without_age,10,0.007044373799658
BPXOSY1,Systolic BP (mmHg),0.0013976921702018,0.0001402800140436,Has_Diabetes,without_age,11,0.0069284439056881
LBDHDD,HDL Cholesterol (mg/dL),0.0006866388872971,5.645096185704906e-05,Has_Diabetes,without_age,12,0.0034037101412789
BPXODI1,Diastolic BP (mmHg),0.0005795114528501,6.290645681059083e-05,Has_Diabetes,without_age,13,0.0028726730244158
DR1TSUGR,Daily Sugar (g),0.0003627409546498,3.722670420350372e-05,Has_Diabetes,without_age,14,0.0017981286653586
DR1TCARB,Daily Carbohydrates (g),0.0003087060899037,3.964076752529378e-05,Has_Diabetes,without_age,15,0.001530274600403
ALQ121,Alcohol Days/Year,0.000255553827304,3.965541936602704e-05,Has_Diabetes,without_age,16,0.0012667956472163
DR1TTFAT,Daily Total Fat (g),0.0002262275588811,3.580094903408502e-05,Has_Diabetes,without_age,17,0.0011214235759813
DR1TFIBE,Daily Fiber (g),0.0002185911316136,3.110402324485866e-05,Has_Diabetes,without_age,18,0.0010835693480685
DR1TSFAT,Daily Saturated Fat (g),0.0002148475341034,2.959577962991888e-05,Has_Diabetes,without_age,19,0.001065012110711
DR1TPROT,Daily Protein (g),0.0002117136569166,3.494692936874038e-05,Has_Diabetes,without_age,20,0.0010494772935612
DR1TSODI,Daily Sodium (mg),0.0002005382935062,2.926055101249962e-05,Has_Diabetes,without_age,21,0.0009940803469621
DR1TKCAL,Daily Calories (kcal),0.0001983850853711,3.640773912402409e-05,Has_Diabetes,without_age,22,0.0009834067651109
ALQ130,Avg Drinks/Day,7.972839389946973e-05,1.5577952041421372e-05,Has_Diabetes,without_age,23,0.00039521842978
