Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Sedentary Behavior (min/day),0.0444112460815045,0.0102291654124465,Has_Hypertension,Mexican American,1,0.3890748369378718
PAD800,Moderate Activity (min/wk),0.0218031609195401,0.0027396408183099,Has_Hypertension,Mexican American,2,0.1910115573864316
INDFMPIR,Income-Poverty Ratio,0.0196721525600835,0.0055158120736037,Has_Hypertension,Mexican American,3,0.1723423732692557
RIAGENDR,Gender,0.0133868861024032,0.0049707756043323,Has_Hypertension,Mexican American,4,0.1172788648586813
BMXBMI,BMI (kg/m²),0.0032402690700103,0.0013133391428406,Has_Hypertension,Mexican American,5,0.0283871152305751
SMQ020,Ever Smoked,0.0030756922675024,0.001093013645034,Has_Hypertension,Mexican American,6,0.0269453026662082
BPXOSY1,Systolic BP (mmHg),0.0026871081504701,0.0008125400102293,Has_Hypertension,Mexican American,7,0.0235410230003428
LBXGH,HbA1c (%),0.0020356583072098,0.0003628524529949,Has_Hypertension,Mexican American,8,0.0178338482663912
BPXODI1,Diastolic BP (mmHg),0.0008561912225704,0.0004580078676459,Has_Hypertension,Mexican American,9,0.0075008582217638
LBXTC,Total Cholesterol (mg/dL),0.000558712121212,0.0002129061632525,Has_Hypertension,Mexican American,10,0.0048947247968866
LBDHDD,HDL Cholesterol (mg/dL),0.0003487460815045,0.0001974254613051,Has_Hypertension,Mexican American,11,0.0030552694816327
DR1TSUGR,Daily Sugar (g),0.0003311128526644,0.0002232797452287,Has_Hypertension,Mexican American,12,0.0029007895640225
DR1TSODI,Daily Sodium (mg),0.0002449059561127,9.721940473319064e-05,Has_Hypertension,Mexican American,13,0.0021455544112588
DR1TTFAT,Daily Total Fat (g),0.0002373955067919,0.0001172465079625,Has_Hypertension,Mexican American,14,0.0020797574093138
DR1TCARB,Daily Carbohydrates (g),0.0002331504702193,0.0001113424348232,Has_Hypertension,Mexican American,15,0.0020425677995183
DR1TPROT,Daily Protein (g),0.0001704545454544,0.0001460833406094,Has_Hypertension,Mexican American,16,0.0014933058702358
DR1TKCAL,Daily Calories (kcal),0.000162291013584,0.0001043916246366,Has_Hypertension,Mexican American,17,0.0014217873898605
DR1TSFAT,Daily Saturated Fat (g),0.0001606583072099,0.0001008774738389,Has_Hypertension,Mexican American,18,0.0014074836937855
DR1TFIBE,Daily Fiber (g),0.0001557601880876,0.0001647403158665,Has_Hypertension,Mexican American,19,0.0013645726055605
SMQ040,Smoking Frequency,0.0001531478578891,0.0001019148867827,Has_Hypertension,Mexican American,20,0.0013416866918403
ALQ121,Alcohol Days/Year,0.0001332288401252,3.4148162127505925e-05,Has_Hypertension,Mexican American,21,0.0011671815997245
ALQ130,Avg Drinks/Day,8.783960292571002e-05,1.994041880978817e-05,Has_Hypertension,Mexican American,22,0.0007695388488376
