Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
BPXOSY1,Systolic BP (mmHg),0.0573100240620506,0.0051065058385405,Has_Hypertension,Non-Hispanic Asian,1,0.4140400798294599
PAD680,Sedentary Behavior (min/day),0.0423586186501055,0.0050160811979043,Has_Hypertension,Non-Hispanic Asian,2,0.3060226571946031
PAD800,Moderate Activity (min/wk),0.0093384952480811,0.0038739617709064,Has_Hypertension,Non-Hispanic Asian,3,0.0674665799095847
INDFMPIR,Income-Poverty Ratio,0.0079324111787716,0.002596242846078,Has_Hypertension,Non-Hispanic Asian,4,0.0573082320492959
BMXBMI,BMI (kg/m²),0.0056693686064175,0.0024371365796924,Has_Hypertension,Non-Hispanic Asian,5,0.0409587304978659
RIAGENDR,Gender,0.0052318156766275,0.0029605000172038,Has_Hypertension,Non-Hispanic Asian,6,0.0377976002602708
SMQ020,Ever Smoked,0.0034533747361912,0.0009200584042913,Has_Hypertension,Non-Hispanic Asian,7,0.0249491354235964
LBXGH,HbA1c (%),0.002374615208829,0.0004083845265031,Has_Hypertension,Non-Hispanic Asian,8,0.017155565482983
BPXODI1,Diastolic BP (mmHg),0.0011090051215873,0.0005237138155656,Has_Hypertension,Non-Hispanic Asian,9,0.0080120812473601
LBXTC,Total Cholesterol (mg/dL),0.0007010256617064,0.000208142695974,Has_Hypertension,Non-Hispanic Asian,10,0.0050646065096951
LBDHDD,HDL Cholesterol (mg/dL),0.0005289618367813,0.0001649938569002,Has_Hypertension,Non-Hispanic Asian,11,0.0038215199646501
DR1TSUGR,Daily Sugar (g),0.0003185869258379,0.0001789467091368,Has_Hypertension,Non-Hispanic Asian,12,0.0023016524310603
DR1TCARB,Daily Carbohydrates (g),0.0003158984285734,0.0001940333382864,Has_Hypertension,Non-Hispanic Asian,13,0.0022822292037937
DR1TPROT,Daily Protein (g),0.000272210348026,0.0001553537972513,Has_Hypertension,Non-Hispanic Asian,14,0.0019666017607161
DR1TFIBE,Daily Fiber (g),0.0002681776021293,0.0001566626481057,Has_Hypertension,Non-Hispanic Asian,15,0.0019374669198165
ALQ121,Alcohol Days/Year,0.0002634727319165,6.977155447491671e-05,Has_Hypertension,Non-Hispanic Asian,16,0.0019034762721004
DR1TSFAT,Daily Saturated Fat (g),0.0002587678617037,0.0001553537972513,Has_Hypertension,Non-Hispanic Asian,17,0.0018694856243844
DR1TKCAL,Daily Calories (kcal),0.0002063421650469,0.0001661670206678,Has_Hypertension,Non-Hispanic Asian,18,0.001490732692691
DR1TSODI,Daily Sodium (mg),0.000183489938299,0.000215395657668,Has_Hypertension,Non-Hispanic Asian,19,0.0013256352609273
DR1TTFAT,Daily Total Fat (g),0.0001398018577516,0.0001251956710018,Has_Hypertension,Non-Hispanic Asian,20,0.0010100078178494
ALQ130,Avg Drinks/Day,9.409740425598832e-05,5.62339548153377e-05,Has_Hypertension,Non-Hispanic Asian,21,0.0006798129543221
SMQ040,Smoking Frequency,8.804828541094655e-05,4.391497956451349e-05,Has_Hypertension,Non-Hispanic Asian,22,0.0006361106929727
