Feature,Feature_Label,Importance_Mean,Importance_STD,Target,Label,Rank,Importance_Normalized
PAD680,Sedentary Behavior (min/day),0.0352011464976805,0.0027114221538185,Has_Hypertension,Other Hispanic,1,0.3223578329308541
INDFMPIR,Income-Poverty Ratio,0.0146361839558245,0.0020890462850679,Has_Hypertension,Other Hispanic,2,0.1340322407591983
SMQ020,Ever Smoked,0.0127975765973198,0.0018724960915258,Has_Hypertension,Other Hispanic,3,0.1171950197403507
LBXGH,HbA1c (%),0.0121373895443215,0.0010586834321459,Has_Hypertension,Other Hispanic,4,0.1111492942766197
PAD800,Moderate Activity (min/wk),0.0107799987774314,0.0014042177478715,Has_Hypertension,Other Hispanic,5,0.0987188597712015
BPXOSY1,Systolic BP (mmHg),0.0095406198422886,0.0011991713601184,Has_Hypertension,Other Hispanic,6,0.0873691297918359
RIAGENDR,Gender,0.0055866291745624,0.0014823760108681,Has_Hypertension,Other Hispanic,7,0.0511600857721751
BMXBMI,BMI (kg/m²),0.0052887978754474,0.0007878029137486,Has_Hypertension,Other Hispanic,8,0.0484326674431153
BPXODI1,Diastolic BP (mmHg),0.0010118453314859,0.0002839474588107,Has_Hypertension,Other Hispanic,9,0.0092660694543145
SMQ040,Smoking Frequency,0.0007622375722504,0.0001579469703194,Has_Hypertension,Other Hispanic,10,0.0069802627589221
LBXTC,Total Cholesterol (mg/dL),0.0002800021734553,0.0001195512575541,Has_Hypertension,Other Hispanic,11,0.0025641464222462
ALQ121,Alcohol Days/Year,0.0002760967459298,3.827275281396947e-05,Has_Hypertension,Other Hispanic,12,0.0025283820998008
DR1TCARB,Daily Carbohydrates (g),0.0001373691681779,4.01209004288824e-05,Has_Hypertension,Other Hispanic,13,0.0012579711677363
LBDHDD,HDL Cholesterol (mg/dL),0.000119709843715,7.582436269777506e-05,Has_Hypertension,Other Hispanic,14,0.0010962542314638
DR1TPROT,Daily Protein (g),9.848469412014892e-05,5.057681925989256e-05,Has_Hypertension,Other Hispanic,15,0.0009018829138284
DR1TSODI,Daily Sodium (mg),9.0504037872452e-05,3.4766147131993924e-05,Has_Hypertension,Other Hispanic,16,0.0008287992983972
DR1TTFAT,Daily Total Fat (g),8.659861034699956e-05,2.289484387210836e-05,Has_Hypertension,Other Hispanic,17,0.0007930349759523
DR1TFIBE,Daily Fiber (g),8.405159239562864e-05,2.508521762177596e-05,Has_Hypertension,Other Hispanic,18,0.0007697104178361
DR1TKCAL,Daily Calories (kcal),8.388179119888095e-05,3.34314365987468e-05,Has_Hypertension,Other Hispanic,19,0.0007681554472952
DR1TSUGR,Daily Sugar (g),7.641053854153811e-05,2.204801684172136e-05,Has_Hypertension,Other Hispanic,20,0.0006997367434879
DR1TSFAT,Daily Saturated Fat (g),7.556153255769971e-05,2.36536175413785e-05,Has_Hypertension,Other Hispanic,21,0.0006919618907821
ALQ130,Avg Drinks/Day,4.788393748601516e-05,2.519474430112033e-05,Has_Hypertension,Other Hispanic,22,0.0004385016925856
