Feature,Importance,Target,Group,Model,Importance_Normalized,Rank
RIAGENDR,0.021952076,Has_Diabetes,Mexican American,XGBoost,0.021952078,16
RIDRETH3,0.0,Has_Diabetes,Mexican American,XGBoost,0.0,23
INDFMPIR,0.020608595,Has_Diabetes,Mexican American,XGBoost,0.020608597,17
BMXBMI,0.09183748,Has_Diabetes,Mexican American,XGBoost,0.09183749,2
PAD680,0.026676172,Has_Diabetes,Mexican American,XGBoost,0.026676174,13
PAD800,0.01843831,Has_Diabetes,Mexican American,XGBoost,0.018438311,19
DR1TKCAL,0.031556543,Has_Diabetes,Mexican American,XGBoost,0.031556547,10
DR1TSODI,0.027846707,Has_Diabetes,Mexican American,XGBoost,0.027846709,11
DR1TCARB,0.033745795,Has_Diabetes,Mexican American,XGBoost,0.0337458,9
DR1TTFAT,0.02008908,Has_Diabetes,Mexican American,XGBoost,0.020089082,18
DR1TSFAT,0.010490176,Has_Diabetes,Mexican American,XGBoost,0.010490177,22
DR1TSUGR,0.08679627,Has_Diabetes,Mexican American,XGBoost,0.086796276,3
DR1TFIBE,0.026842274,Has_Diabetes,Mexican American,XGBoost,0.026842276,12
DR1TPROT,0.011056765,Has_Diabetes,Mexican American,XGBoost,0.011056766,20
SMQ020,0.026623227,Has_Diabetes,Mexican American,XGBoost,0.026623229,14
SMQ040,0.010860527,Has_Diabetes,Mexican American,XGBoost,0.010860528,21
ALQ121,0.036449436,Has_Diabetes,Mexican American,XGBoost,0.03644944,8
ALQ130,0.07505267,Has_Diabetes,Mexican American,XGBoost,0.07505268,4
LBXGH,0.24884857,Has_Diabetes,Mexican American,XGBoost,0.24884859,1
LBXTC,0.06872478,Has_Diabetes,Mexican American,XGBoost,0.06872479,5
LBDHDD,0.0232364,Has_Diabetes,Mexican American,XGBoost,0.023236401,15
BPXOSY1,0.040099934,Has_Diabetes,Mexican American,XGBoost,0.040099937,7
BPXODI1,0.042168163,Has_Diabetes,Mexican American,XGBoost,0.042168166,6
RIAGENDR,0.008758793,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.008758794,21
RIDRETH3,0.0,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.0,23
INDFMPIR,0.027700773,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.027700774,10
BMXBMI,0.04760175,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.047601752,8
PAD680,0.024509069,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.02450907,13
PAD800,0.011538039,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.01153804,19
DR1TKCAL,0.064320944,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.06432095,4
DR1TSODI,0.01644858,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.016448582,18
DR1TCARB,0.011225968,Has_Diabetes,Non-Hispanic Asian,XGBoost,0.011225969,20
