Feature,Importance,Target,Group,Model,Importance_Normalized,Rank
RIAGENDR,0.030526856,Has_Hypertension,Mexican American,XGBoost,0.030526856,16
RIDRETH3,0.0,Has_Hypertension,Mexican American,XGBoost,0.0,23
INDFMPIR,0.022294812,Has_Hypertension,Mexican American,XGBoost,0.022294812,20
BMXBMI,0.08236568,Has_Hypertension,Mexican American,XGBoost,0.08236568,2
PAD680,0.049814414,Has_Hypertension,Mexican American,XGBoost,0.049814414,5
PAD800,0.041217394,Has_Hypertension,Mexican American,XGBoost,0.041217394,8
DR1TKCAL,0.03810294,Has_Hypertension,Mexican American,XGBoost,0.03810294,11
DR1TSODI,0.040240865,Has_Hypertension,Mexican American,XGBoost,0.040240865,9
DR1TCARB,0.03524272,Has_Hypertension,Mexican American,XGBoost,0.03524272,15
DR1TTFAT,0.051757812,Has_Hypertension,Mexican American,XGBoost,0.051757812,4
DR1TSFAT,0.028379705,Has_Hypertension,Mexican American,XGBoost,0.028379705,17
DR1TSUGR,0.045155838,Has_Hypertension,Mexican American,XGBoost,0.045155838,7
DR1TFIBE,0.026818579,Has_Hypertension,Mexican American,XGBoost,0.026818579,19
DR1TPROT,0.028156081,Has_Hypertension,Mexican American,XGBoost,0.028156081,18
SMQ020,0.02184463,Has_Hypertension,Mexican American,XGBoost,0.02184463,21
SMQ040,0.014814672,Has_Hypertension,Mexican American,XGBoost,0.014814672,22
ALQ121,0.0381869,Has_Hypertension,Mexican American,XGBoost,0.0381869,10
ALQ130,0.037843112,Has_Hypertension,Mexican American,XGBoost,0.037843112,12
LBXGH,0.06780982,Has_Hypertension,Mexican American,XGBoost,0.06780982,3
LBXTC,0.045201123,Has_Hypertension,Mexican American,XGBoost,0.045201123,6
LBDHDD,0.036440313,Has_Hypertension,Mexican American,XGBoost,0.036440313,13
BPXOSY1,0.18166128,Has_Hypertension,Mexican American,XGBoost,0.18166128,1
BPXODI1,0.036124498,Has_Hypertension,Mexican American,XGBoost,0.036124498,14
RIAGENDR,0.01919332,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.019193321,21
RIDRETH3,0.0,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.0,23
INDFMPIR,0.016537482,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.016537484,22
BMXBMI,0.06546792,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.065467924,5
PAD680,0.021675974,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.021675976,20
PAD800,0.025655158,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.02565516,17
DR1TKCAL,0.07048735,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.07048736,3
DR1TSODI,0.067802824,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.06780283,4
DR1TCARB,0.08309735,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.08309736,2
DR1TTFAT,0.026425803,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.026425805,16
DR1TSFAT,0.042220682,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.042220686,10
DR1TSUGR,0.045691874,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.045691878,8
DR1TFIBE,0.03334052,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.033340525,13
DR1TPROT,0.046997692,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.046997696,7
SMQ020,0.034829408,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.03482941,12
SMQ040,0.044445377,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.04444538,9
ALQ121,0.026528852,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.026528854,15
ALQ130,0.041949786,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.04194979,11
LBXGH,0.047314607,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.04731461,6
LBXTC,0.030874288,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.03087429,14
LBDHDD,0.025497038,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.02549704,18
BPXOSY1,0.16216631,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.16216633,1
BPXODI1,0.021800408,Has_Hypertension,Non-Hispanic Asian,XGBoost,0.02180041,19
RIAGENDR,0.03700344,Has_Hypertension,Non-Hispanic Black,XGBoost,0.03700344,10
RIDRETH3,0.0,Has_Hypertension,Non-Hispanic Black,XGBoost,0.0,23
INDFMPIR,0.022884065,Has_Hypertension,Non-Hispanic Black,XGBoost,0.022884065,22
BMXBMI,0.058032688,Has_Hypertension,Non-Hispanic Black,XGBoost,0.058032688,5
PAD680,0.079417616,Has_Hypertension,Non-Hispanic Black,XGBoost,0.079417616,2
PAD800,0.03542404,Has_Hypertension,Non-Hispanic Black,XGBoost,0.03542404,15
DR1TKCAL,0.036245152,Has_Hypertension,Non-Hispanic Black,XGBoost,0.036245152,12
DR1TSODI,0.034175657,Has_Hypertension,Non-Hispanic Black,XGBoost,0.034175657,16
DR1TCARB,0.042388428,Has_Hypertension,Non-Hispanic Black,XGBoost,0.042388428,6
DR1TTFAT,0.03567974,Has_Hypertension,Non-Hispanic Black,XGBoost,0.03567974,13
DR1TSFAT,0.033417977,Has_Hypertension,Non-Hispanic Black,XGBoost,0.033417977,18
DR1TSUGR,0.035437107,Has_Hypertension,Non-Hispanic Black,XGBoost,0.035437107,14
DR1TFIBE,0.03412427,Has_Hypertension,Non-Hispanic Black,XGBoost,0.03412427,17
DR1TPROT,0.036401387,Has_Hypertension,Non-Hispanic Black,XGBoost,0.036401387,11
SMQ020,0.0717897,Has_Hypertension,Non-Hispanic Black,XGBoost,0.0717897,3
SMQ040,0.040915877,Has_Hypertension,Non-Hispanic Black,XGBoost,0.040915877,8
ALQ121,0.040407695,Has_Hypertension,Non-Hispanic Black,XGBoost,0.040407695,9
ALQ130,0.03108815,Has_Hypertension,Non-Hispanic Black,XGBoost,0.03108815,19
LBXGH,0.068620086,Has_Hypertension,Non-Hispanic Black,XGBoost,0.068620086,4
LBXTC,0.031025898,Has_Hypertension,Non-Hispanic Black,XGBoost,0.031025898,20
LBDHDD,0.041135844,Has_Hypertension,Non-Hispanic Black,XGBoost,0.041135844,7
BPXOSY1,0.12381206,Has_Hypertension,Non-Hispanic Black,XGBoost,0.12381206,1
BPXODI1,0.030573117,Has_Hypertension,Non-Hispanic Black,XGBoost,0.030573117,21
RIAGENDR,0.026184015,Has_Hypertension,Non-Hispanic White,XGBoost,0.026184019,20
RIDRETH3,0.0,Has_Hypertension,Non-Hispanic White,XGBoost,0.0,23
INDFMPIR,0.026064722,Has_Hypertension,Non-Hispanic White,XGBoost,0.026064726,21
BMXBMI,0.07194726,Has_Hypertension,Non-Hispanic White,XGBoost,0.07194727,4
PAD680,0.049853686,Has_Hypertension,Non-Hispanic White,XGBoost,0.049853694,6
PAD800,0.050425556,Has_Hypertension,Non-Hispanic White,XGBoost,0.050425563,5
DR1TKCAL,0.027180228,Has_Hypertension,Non-Hispanic White,XGBoost,0.027180232,18
DR1TSODI,0.026801238,Has_Hypertension,Non-Hispanic White,XGBoost,0.026801242,19
DR1TCARB,0.03355384,Has_Hypertension,Non-Hispanic White,XGBoost,0.033553842,9
DR1TTFAT,0.03002345,Has_Hypertension,Non-Hispanic White,XGBoost,0.030023454,15
DR1TSFAT,0.025364013,Has_Hypertension,Non-Hispanic White,XGBoost,0.025364017,22
DR1TSUGR,0.028589582,Has_Hypertension,Non-Hispanic White,XGBoost,0.028589586,16
DR1TFIBE,0.03070957,Has_Hypertension,Non-Hispanic White,XGBoost,0.030709574,13
DR1TPROT,0.027441124,Has_Hypertension,Non-Hispanic White,XGBoost,0.027441127,17
SMQ020,0.16108695,Has_Hypertension,Non-Hispanic White,XGBoost,0.16108696,1
SMQ040,0.03946335,Has_Hypertension,Non-Hispanic White,XGBoost,0.039463352,7
ALQ121,0.032494426,Has_Hypertension,Non-Hispanic White,XGBoost,0.03249443,11
ALQ130,0.030082764,Has_Hypertension,Non-Hispanic White,XGBoost,0.030082768,14
LBXGH,0.10438718,Has_Hypertension,Non-Hispanic White,XGBoost,0.104387194,2
LBXTC,0.034646884,Has_Hypertension,Non-Hispanic White,XGBoost,0.034646887,8
LBDHDD,0.033163402,Has_Hypertension,Non-Hispanic White,XGBoost,0.033163406,10
