Target,Race_Label,Feature,Importance,Importance_Normalized,Rank
Has_Hypertension,Mexican American,RIAGENDR,0.030709619,0.030709619,17
Has_Hypertension,Mexican American,INDFMPIR,0.026858978,0.026858978,19
Has_Hypertension,Mexican American,BMXBMI,0.06186387,0.06186387,6
Has_Hypertension,Mexican American,PAD680,0.068291135,0.068291135,3
Has_Hypertension,Mexican American,PAD800,0.06691903,0.06691903,4
Has_Hypertension,Mexican American,DR1TKCAL,0.035982743,0.035982743,13
Has_Hypertension,Mexican American,DR1TSODI,0.060472976,0.060472976,7
Has_Hypertension,Mexican American,DR1TCARB,0.0358038,0.0358038,14
Has_Hypertension,Mexican American,DR1TTFAT,0.05046622,0.05046622,9
Has_Hypertension,Mexican American,DR1TSFAT,0.047770888,0.047770888,10
Has_Hypertension,Mexican American,DR1TSUGR,0.06879426,0.06879426,2
Has_Hypertension,Mexican American,DR1TFIBE,0.03899938,0.03899938,11
Has_Hypertension,Mexican American,DR1TPROT,0.03414115,0.03414115,15
Has_Hypertension,Mexican American,SMQ020,0.033966053,0.033966053,16
Has_Hypertension,Mexican American,SMQ040,0.021487279,0.021487279,20
Has_Hypertension,Mexican American,ALQ121,0.06280583,0.06280583,5
Has_Hypertension,Mexican American,ALQ130,0.036233947,0.036233947,12
Has_Hypertension,Mexican American,LBXGH,0.13836192,0.13836192,1
Has_Hypertension,Mexican American,LBXTC,0.050972454,0.050972454,8
Has_Hypertension,Mexican American,LBDHDD,0.029098453,0.029098453,18
Has_Hypertension,Non-Hispanic Asian,RIAGENDR,0.013668206,0.013668204,20
Has_Hypertension,Non-Hispanic Asian,INDFMPIR,0.022563552,0.02256355,19
Has_Hypertension,Non-Hispanic Asian,BMXBMI,0.050218347,0.05021834,6
Has_Hypertension,Non-Hispanic Asian,PAD680,0.035154466,0.03515446,15
Has_Hypertension,Non-Hispanic Asian,PAD800,0.030498484,0.03049848,17
Has_Hypertension,Non-Hispanic Asian,DR1TKCAL,0.11220461,0.1122046,2
Has_Hypertension,Non-Hispanic Asian,DR1TSODI,0.03824988,0.038249876,12
Has_Hypertension,Non-Hispanic Asian,DR1TCARB,0.08409672,0.084096715,3
Has_Hypertension,Non-Hispanic Asian,DR1TTFAT,0.03718369,0.037183687,13
Has_Hypertension,Non-Hispanic Asian,DR1TSFAT,0.048048668,0.04804866,7
Has_Hypertension,Non-Hispanic Asian,DR1TSUGR,0.044383265,0.04438326,9
Has_Hypertension,Non-Hispanic Asian,DR1TFIBE,0.03643647,0.036436465,14
Has_Hypertension,Non-Hispanic Asian,DR1TPROT,0.04592132,0.045921315,8
Has_Hypertension,Non-Hispanic Asian,SMQ020,0.040251765,0.04025176,11
Has_Hypertension,Non-Hispanic Asian,SMQ040,0.079489574,0.07948957,4
Has_Hypertension,Non-Hispanic Asian,ALQ121,0.057761732,0.057761725,5
Has_Hypertension,Non-Hispanic Asian,ALQ130,0.04095298,0.040952977,10
Has_Hypertension,Non-Hispanic Asian,LBXGH,0.118792266,0.11879225,1
Has_Hypertension,Non-Hispanic Asian,LBXTC,0.035021227,0.035021223,16
Has_Hypertension,Non-Hispanic Asian,LBDHDD,0.029102836,0.029102832,18
Has_Hypertension,Non-Hispanic Black,RIAGENDR,0.032161824,0.032161824,16
Has_Hypertension,Non-Hispanic Black,INDFMPIR,0.026814789,0.026814789,20
Has_Hypertension,Non-Hispanic Black,BMXBMI,0.052489217,0.052489217,4
Has_Hypertension,Non-Hispanic Black,PAD680,0.08227257,0.08227257,3
Has_Hypertension,Non-Hispanic Black,PAD800,0.04211362,0.04211362,9
Has_Hypertension,Non-Hispanic Black,DR1TKCAL,0.03840385,0.03840385,12
Has_Hypertension,Non-Hispanic Black,DR1TSODI,0.035181902,0.035181902,14
Has_Hypertension,Non-Hispanic Black,DR1TCARB,0.046870552,0.046870552,5
Has_Hypertension,Non-Hispanic Black,DR1TTFAT,0.031429756,0.031429756,18
Has_Hypertension,Non-Hispanic Black,DR1TSFAT,0.04087744,0.04087744,11
Has_Hypertension,Non-Hispanic Black,DR1TSUGR,0.031327683,0.031327683,19
Has_Hypertension,Non-Hispanic Black,DR1TFIBE,0.044496298,0.044496298,7
Has_Hypertension,Non-Hispanic Black,DR1TPROT,0.034754734,0.034754734,15
Has_Hypertension,Non-Hispanic Black,SMQ020,0.1300954,0.1300954,2
Has_Hypertension,Non-Hispanic Black,SMQ040,0.04607513,0.04607513,6
Has_Hypertension,Non-Hispanic Black,ALQ121,0.04339752,0.04339752,8
Has_Hypertension,Non-Hispanic Black,ALQ130,0.04148603,0.04148603,10
Has_Hypertension,Non-Hispanic Black,LBXGH,0.13107917,0.13107917,1
Has_Hypertension,Non-Hispanic Black,LBXTC,0.031601023,0.031601023,17
Has_Hypertension,Non-Hispanic Black,LBDHDD,0.037071537,0.037071537,13
Has_Hypertension,Non-Hispanic White,RIAGENDR,0.025934136,0.025934137,20
Has_Hypertension,Non-Hispanic White,INDFMPIR,0.032067247,0.03206725,16
Has_Hypertension,Non-Hispanic White,BMXBMI,0.07456655,0.07456656,3
Has_Hypertension,Non-Hispanic White,PAD680,0.052899618,0.05289962,5
Has_Hypertension,Non-Hispanic White,PAD800,0.054011364,0.054011367,4
Has_Hypertension,Non-Hispanic White,DR1TKCAL,0.029529992,0.029529994,19
Has_Hypertension,Non-Hispanic White,DR1TSODI,0.035111897,0.0351119,14
Has_Hypertension,Non-Hispanic White,DR1TCARB,0.033295233,0.033295237,15
Has_Hypertension,Non-Hispanic White,DR1TTFAT,0.03577308,0.035773084,13
Has_Hypertension,Non-Hispanic White,DR1TSFAT,0.030734662,0.030734664,18
Has_Hypertension,Non-Hispanic White,DR1TSUGR,0.037737325,0.03773733,10
Has_Hypertension,Non-Hispanic White,DR1TFIBE,0.037092805,0.03709281,11
Has_Hypertension,Non-Hispanic White,DR1TPROT,0.030957637,0.03095764,17
Has_Hypertension,Non-Hispanic White,SMQ020,0.17538749,0.1753875,1
Has_Hypertension,Non-Hispanic White,SMQ040,0.040324803,0.040324807,8
Has_Hypertension,Non-Hispanic White,ALQ121,0.04042106,0.040421065,7
Has_Hypertension,Non-Hispanic White,ALQ130,0.040924106,0.04092411,6
Has_Hypertension,Non-Hispanic White,LBXGH,0.11786945,0.11786946,2
Has_Hypertension,Non-Hispanic White,LBXTC,0.038360175,0.03836018,9
Has_Hypertension,Non-Hispanic White,LBDHDD,0.03700131,0.037001316,12
Has_Hypertension,Other Hispanic,RIAGENDR,0.020476608,0.020476608,20
Has_Hypertension,Other Hispanic,INDFMPIR,0.033024874,0.033024874,16
Has_Hypertension,Other Hispanic,BMXBMI,0.06213963,0.06213963,3
Has_Hypertension,Other Hispanic,PAD680,0.057271816,0.057271816,4
